motion_type,target_scope,cascade_scheme,adaptive_filter,objective_mode,data_split_mode,n_trials,n_repeats,best_repeat_idx,best_trial_idx,success,reason,train_aae_bpm,train_accuracy_pct,train_baseline_aae_bpm,train_baseline_accuracy_pct,train_num_windows,val_aae_bpm,val_accuracy_pct,val_baseline_aae_bpm,val_baseline_accuracy_pct,val_num_windows,test_aae_bpm,test_accuracy_pct,test_baseline_aae_bpm,test_baseline_accuracy_pct,test_num_windows,Fs_Target,TW,Kstop,max_order,M_base,C_scale,K_max,Spec_Penalty_Width,Spec_Penalty_Weight,smooth_win_len,hr_range_hz,slew_limit_bpm,slew_step_bpm,LMS_Mu_Base,LMS_Mu_Min,alpha_u,M2,rff_D,rff_sigma,rff_seed
tiaosheng,motion_only,ACC3,lms,accuracy,split,1,1,0,0,True,,66.37831115722656,4.6875,14.503707885742188,20.3125,64,3.3090345594618054,79.16666666666666,5.127224392361111,66.66666666666666,72,53.77024274553571,10.0,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_only,HF2,lms,accuracy,split,1,1,0,0,True,,10.3209228515625,28.125,14.503707885742188,20.3125,64,8.109598795572916,56.94444444444444,5.127224392361111,66.66666666666666,72,53.71154436383929,15.714285714285714,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_only,CF2,lms,accuracy,split,1,1,0,0,True,,9.534469604492188,25.0,14.503707885742188,20.3125,64,24.38211398654514,56.94444444444444,5.127224392361111,66.66666666666666,72,51.39677036830357,18.571428571428573,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_only,HF2_CF2,lms,accuracy,split,1,1,0,0,True,,8.181480407714844,35.9375,14.503707885742188,20.3125,64,8.4752197265625,52.77777777777778,5.127224392361111,66.66666666666666,72,53.323214285714286,15.714285714285714,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_only,CF2_HF2,lms,accuracy,split,1,1,0,0,True,,9.160324096679688,29.6875,14.503707885742188,20.3125,64,26.444322374131943,58.333333333333336,5.127224392361111,66.66666666666666,72,49.386446707589286,15.714285714285714,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_only,ACC3_HF2,lms,accuracy,split,1,1,0,0,True,,67.48552703857422,4.6875,14.503707885742188,20.3125,64,10.779127332899305,59.72222222222222,5.127224392361111,66.66666666666666,72,52.84303152901786,10.0,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_only,HF2_ACC3,lms,accuracy,split,1,1,0,0,True,,8.977378845214844,29.6875,14.503707885742188,20.3125,64,8.431816948784721,58.333333333333336,5.127224392361111,66.66666666666666,72,52.747467912946426,10.0,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_recovery,ACC3,lms,accuracy,split,1,1,0,0,True,,54.43549670911815,16.43835616438356,10.985498715753424,27.397260273972602,146,4.339567057291666,66.0,5.391959635416667,57.333333333333336,150,46.13112130070364,13.90728476821192,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_recovery,HF2,lms,accuracy,split,1,1,0,0,True,,8.899327108304794,32.19178082191781,10.985498715753424,27.397260273972602,146,8.392659505208334,50.66666666666667,5.391959635416667,57.333333333333336,150,33.086202659354306,21.192052980132452,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_recovery,CF2,lms,accuracy,split,1,1,0,0,True,,8.684737532106164,30.82191780821918,10.985498715753424,27.397260273972602,146,32.89155598958333,37.333333333333336,5.391959635416667,57.333333333333336,150,40.463142849751655,22.516556291390728,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_recovery,HF2_CF2,lms,accuracy,split,1,1,0,0,True,,8.022942529965754,34.93150684931507,10.985498715753424,27.397260273972602,146,7.697796223958333,50.0,5.391959635416667,57.333333333333336,150,35.13740105028973,21.192052980132452,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_recovery,CF2_HF2,lms,accuracy,split,1,1,0,0,True,,8.305289490582192,32.87671232876712,10.985498715753424,27.397260273972602,146,24.775113932291667,44.666666666666664,5.391959635416667,57.333333333333336,150,33.24935326986755,21.192052980132452,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_recovery,ACC3_HF2,lms,accuracy,split,1,1,0,0,True,,57.69377073523116,15.753424657534246,10.985498715753424,27.397260273972602,146,9.733870442708334,50.0,5.391959635416667,57.333333333333336,150,37.12322149213576,15.2317880794702,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_recovery,HF2_ACC3,lms,accuracy,split,1,1,0,0,True,,8.128524989297945,32.19178082191781,10.985498715753424,27.397260273972602,146,8.551009114583334,52.0,5.391959635416667,57.333333333333336,150,37.80891711506622,13.90728476821192,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
tiaosheng,motion_post10,ACC3,lms,accuracy,split,1,1,0,0,True,,70.14044024493244,4.054054054054054,13.769966744087839,17.56756756756757,74,3.569865901295732,75.60975609756098,5.216606326219512,64.63414634146342,82,58.35579833984375,8.75,55.95289306640625,17.5,80,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.1,3,100,1.0,0
