motion_type,target_scope,cascade_scheme,adaptive_filter,objective_mode,data_split_mode,n_trials,n_repeats,best_repeat_idx,best_trial_idx,success,reason,train_aae_bpm,train_accuracy_pct,train_baseline_aae_bpm,train_baseline_accuracy_pct,train_num_windows,val_aae_bpm,val_accuracy_pct,val_baseline_aae_bpm,val_baseline_accuracy_pct,val_num_windows,test_aae_bpm,test_accuracy_pct,test_baseline_aae_bpm,test_baseline_accuracy_pct,test_num_windows,Fs_Target,TW,Kstop,max_order,M_base,C_scale,K_max,Spec_Penalty_Width,Spec_Penalty_Weight,smooth_win_len,hr_range_hz,slew_limit_bpm,slew_step_bpm,LMS_Mu_Base,LMS_Mu_Min,alpha_u,M2,rff_D,rff_sigma,rff_seed
tiaosheng,motion_only,ACC3,volterra,accuracy,split,1,1,0,0,True,,8.807403564453125,32.8125,14.503707885742188,20.3125,64,67.51168484157986,9.722222222222223,5.127224392361111,66.66666666666666,72,12.812995256696428,21.428571428571427,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
tiaosheng,motion_only,HF2,volterra,accuracy,split,1,1,0,0,True,,10.022544860839844,31.25,14.503707885742188,20.3125,64,7.663079155815972,59.72222222222222,5.127224392361111,66.66666666666666,72,46.525390625,11.428571428571429,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
tiaosheng,motion_only,CF2,volterra,accuracy,split,1,1,0,0,True,,9.782722473144531,17.1875,14.503707885742188,20.3125,64,64.69634331597223,15.277777777777779,5.127224392361111,66.66666666666666,72,48.599741908482144,17.142857142857142,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
tiaosheng,motion_only,HF2_CF2,volterra,accuracy,split,1,1,0,0,True,,8.858299255371094,29.6875,14.503707885742188,20.3125,64,66.27562798394098,15.277777777777779,5.127224392361111,66.66666666666666,72,50.68096400669643,5.714285714285714,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
tiaosheng,motion_only,CF2_HF2,volterra,accuracy,split,1,1,0,0,True,,69.03081512451172,10.9375,14.503707885742188,20.3125,64,70.29003228081598,9.722222222222223,5.127224392361111,66.66666666666666,72,55.1251953125,10.0,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
tiaosheng,motion_only,ACC3_HF2,volterra,accuracy,split,1,1,0,0,True,,65.99526977539062,3.125,14.503707885742188,20.3125,64,67.18995496961806,9.722222222222223,5.127224392361111,66.66666666666666,72,12.023416573660715,20.0,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
tiaosheng,motion_only,HF2_ACC3,volterra,accuracy,split,1,1,0,0,True,,59.869483947753906,7.8125,14.503707885742188,20.3125,64,67.75582546657986,9.722222222222223,5.127224392361111,66.66666666666666,72,13.796923828125,27.142857142857142,50.929896763392854,20.0,70,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
tiaosheng,motion_recovery,ACC3,volterra,accuracy,split,1,1,0,0,True,,8.149300353167808,36.986301369863014,10.985498715753424,27.397260273972602,146,49.0966796875,16.666666666666664,5.391959635416667,57.333333333333336,150,27.042457833195364,19.867549668874172,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
tiaosheng,motion_recovery,HF2,volterra,accuracy,split,1,1,0,0,True,,8.786089335402398,32.87671232876712,10.985498715753424,27.397260273972602,146,7.970810546875,49.333333333333336,5.391959635416667,57.333333333333336,150,26.369085652938743,21.85430463576159,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
tiaosheng,motion_recovery,CF2,volterra,accuracy,split,1,1,0,0,True,,8.799831442636986,27.397260273972602,10.985498715753424,27.397260273972602,146,51.58564778645833,14.666666666666666,5.391959635416667,57.333333333333336,150,34.594134804428805,22.516556291390728,44.25849156663907,23.841059602649008,151,50,10,0.5,16,1,0.6,8,0.3,0.2,7,0.25,15,9,0.008,1e-06,0.01,2,100,1.0,0
