split,group_id,target_scope,cascade_scheme,adaptive_filter,success,reason,baseline_aae_bpm,adaptive_aae_bpm,baseline_acc_pct,adaptive_acc_pct
train,tiaosheng3,motion_only,ACC3,lms,True,,14.503707885742188,66.37831115722656,20.3125,4.6875
val,tiaosheng2,motion_only,ACC3,lms,True,,5.127224392361111,3.3090345594618054,66.66666666666666,79.16666666666666
test,tiaosheng1,motion_only,ACC3,lms,True,,50.929896763392854,53.77024274553571,20.0,10.0
train,tiaosheng3,motion_only,ACC3,volterra,True,,14.503707885742188,8.807403564453125,20.3125,32.8125
val,tiaosheng2,motion_only,ACC3,volterra,True,,5.127224392361111,67.51168484157986,66.66666666666666,9.722222222222223
test,tiaosheng1,motion_only,ACC3,volterra,True,,50.929896763392854,12.812995256696428,20.0,21.428571428571427
train,tiaosheng3,motion_only,ACC3,rff_lms,True,,14.503707885742188,10.309478759765625,20.3125,20.3125
val,tiaosheng2,motion_only,ACC3,rff_lms,True,,5.127224392361111,3.030368381076389,66.66666666666666,80.55555555555556
test,tiaosheng1,motion_only,ACC3,rff_lms,True,,50.929896763392854,50.757254464285715,20.0,18.571428571428573
train,tiaosheng3,motion_only,HF2,lms,True,,14.503707885742188,10.3209228515625,20.3125,28.125
val,tiaosheng2,motion_only,HF2,lms,True,,5.127224392361111,8.109598795572916,66.66666666666666,56.94444444444444
test,tiaosheng1,motion_only,HF2,lms,True,,50.929896763392854,53.71154436383929,20.0,15.714285714285714
train,tiaosheng3,motion_only,HF2,volterra,True,,14.503707885742188,10.022544860839844,20.3125,31.25
val,tiaosheng2,motion_only,HF2,volterra,True,,5.127224392361111,7.663079155815972,66.66666666666666,59.72222222222222
test,tiaosheng1,motion_only,HF2,volterra,True,,50.929896763392854,46.525390625,20.0,11.428571428571429
train,tiaosheng3,motion_only,HF2,rff_lms,True,,14.503707885742188,11.379501342773438,20.3125,28.125
val,tiaosheng2,motion_only,HF2,rff_lms,True,,5.127224392361111,3.091403537326389,66.66666666666666,79.16666666666666
test,tiaosheng1,motion_only,HF2,rff_lms,True,,50.929896763392854,46.535365513392854,20.0,18.571428571428573
train,tiaosheng3,motion_only,CF2,lms,True,,14.503707885742188,9.534469604492188,20.3125,25.0
val,tiaosheng2,motion_only,CF2,lms,True,,5.127224392361111,24.38211398654514,66.66666666666666,56.94444444444444
test,tiaosheng1,motion_only,CF2,lms,True,,50.929896763392854,51.39677036830357,20.0,18.571428571428573
train,tiaosheng3,motion_only,CF2,volterra,True,,14.503707885742188,9.782722473144531,20.3125,17.1875
val,tiaosheng2,motion_only,CF2,volterra,True,,5.127224392361111,64.69634331597223,66.66666666666666,15.277777777777779
test,tiaosheng1,motion_only,CF2,volterra,True,,50.929896763392854,48.599741908482144,20.0,17.142857142857142
train,tiaosheng3,motion_only,CF2,rff_lms,True,,14.503707885742188,10.063430786132812,20.3125,25.0
val,tiaosheng2,motion_only,CF2,rff_lms,True,,5.127224392361111,3.060885959201389,66.66666666666666,80.55555555555556
test,tiaosheng1,motion_only,CF2,rff_lms,True,,50.929896763392854,54.487374441964285,20.0,18.571428571428573
train,tiaosheng3,motion_only,HF2_CF2,lms,True,,14.503707885742188,8.181480407714844,20.3125,35.9375
val,tiaosheng2,motion_only,HF2_CF2,lms,True,,5.127224392361111,8.4752197265625,66.66666666666666,52.77777777777778
test,tiaosheng1,motion_only,HF2_CF2,lms,True,,50.929896763392854,53.323214285714286,20.0,15.714285714285714
train,tiaosheng3,motion_only,HF2_CF2,volterra,True,,14.503707885742188,8.858299255371094,20.3125,29.6875
val,tiaosheng2,motion_only,HF2_CF2,volterra,True,,5.127224392361111,66.27562798394098,66.66666666666666,15.277777777777779
test,tiaosheng1,motion_only,HF2_CF2,volterra,True,,50.929896763392854,50.68096400669643,20.0,5.714285714285714
train,tiaosheng3,motion_only,HF2_CF2,rff_lms,True,,14.503707885742188,11.379501342773438,20.3125,28.125
val,tiaosheng2,motion_only,HF2_CF2,rff_lms,True,,5.127224392361111,3.091403537326389,66.66666666666666,79.16666666666666
test,tiaosheng1,motion_only,HF2_CF2,rff_lms,True,,50.929896763392854,48.97328404017857,20.0,18.571428571428573
train,tiaosheng3,motion_only,CF2_HF2,lms,True,,14.503707885742188,9.160324096679688,20.3125,29.6875
val,tiaosheng2,motion_only,CF2_HF2,lms,True,,5.127224392361111,26.444322374131943,66.66666666666666,58.333333333333336
test,tiaosheng1,motion_only,CF2_HF2,lms,True,,50.929896763392854,49.386446707589286,20.0,15.714285714285714
train,tiaosheng3,motion_only,CF2_HF2,volterra,True,,14.503707885742188,69.03081512451172,20.3125,10.9375
val,tiaosheng2,motion_only,CF2_HF2,volterra,True,,5.127224392361111,70.29003228081598,66.66666666666666,9.722222222222223
test,tiaosheng1,motion_only,CF2_HF2,volterra,True,,50.929896763392854,55.1251953125,20.0,10.0
train,tiaosheng3,motion_only,CF2_HF2,rff_lms,True,,14.503707885742188,11.379501342773438,20.3125,28.125
val,tiaosheng2,motion_only,CF2_HF2,rff_lms,True,,5.127224392361111,3.091403537326389,66.66666666666666,79.16666666666666
test,tiaosheng1,motion_only,CF2_HF2,rff_lms,True,,50.929896763392854,46.315638950892854,20.0,18.571428571428573
train,tiaosheng3,motion_only,ACC3_HF2,lms,True,,14.503707885742188,67.48552703857422,20.3125,4.6875
val,tiaosheng2,motion_only,ACC3_HF2,lms,True,,5.127224392361111,10.779127332899305,66.66666666666666,59.72222222222222
test,tiaosheng1,motion_only,ACC3_HF2,lms,True,,50.929896763392854,52.84303152901786,20.0,10.0
train,tiaosheng3,motion_only,ACC3_HF2,volterra,True,,14.503707885742188,65.99526977539062,20.3125,3.125
val,tiaosheng2,motion_only,ACC3_HF2,volterra,True,,5.127224392361111,67.18995496961806,66.66666666666666,9.722222222222223
test,tiaosheng1,motion_only,ACC3_HF2,volterra,True,,50.929896763392854,12.023416573660715,20.0,20.0
train,tiaosheng3,motion_only,ACC3_HF2,rff_lms,True,,14.503707885742188,10.292312622070312,20.3125,20.3125
val,tiaosheng2,motion_only,ACC3_HF2,rff_lms,True,,5.127224392361111,3.0100233289930554,66.66666666666666,80.55555555555556
test,tiaosheng1,motion_only,ACC3_HF2,rff_lms,True,,50.929896763392854,50.77294921875,20.0,18.571428571428573
train,tiaosheng3,motion_only,HF2_ACC3,lms,True,,14.503707885742188,8.977378845214844,20.3125,29.6875
val,tiaosheng2,motion_only,HF2_ACC3,lms,True,,5.127224392361111,8.431816948784721,66.66666666666666,58.333333333333336
test,tiaosheng1,motion_only,HF2_ACC3,lms,True,,50.929896763392854,52.747467912946426,20.0,10.0
train,tiaosheng3,motion_only,HF2_ACC3,volterra,True,,14.503707885742188,59.869483947753906,20.3125,7.8125
val,tiaosheng2,motion_only,HF2_ACC3,volterra,True,,5.127224392361111,67.75582546657986,66.66666666666666,9.722222222222223
test,tiaosheng1,motion_only,HF2_ACC3,volterra,True,,50.929896763392854,13.796923828125,20.0,27.142857142857142
train,tiaosheng3,motion_only,HF2_ACC3,rff_lms,True,,14.503707885742188,10.303756713867188,20.3125,20.3125
val,tiaosheng2,motion_only,HF2_ACC3,rff_lms,True,,5.127224392361111,3.0803087022569446,66.66666666666666,79.16666666666666
test,tiaosheng1,motion_only,HF2_ACC3,rff_lms,True,,50.929896763392854,50.762486049107146,20.0,18.571428571428573
train,tiaosheng3,motion_recovery,ACC3,lms,True,,10.985498715753424,54.43549670911815,27.397260273972602,16.43835616438356
val,tiaosheng2,motion_recovery,ACC3,lms,True,,5.391959635416667,4.339567057291666,57.333333333333336,66.0
test,tiaosheng1,motion_recovery,ACC3,lms,True,,44.25849156663907,46.13112130070364,23.841059602649008,13.90728476821192
train,tiaosheng3,motion_recovery,ACC3,volterra,True,,10.985498715753424,8.149300353167808,27.397260273972602,36.986301369863014
val,tiaosheng2,motion_recovery,ACC3,volterra,True,,5.391959635416667,49.0966796875,57.333333333333336,16.666666666666664
