group_id,motion_type,data_file,ref_file,file_name,status,reason,std_ut1,std_ut2,outlier_count_ut1,outlier_count_ut2,outlier_ratio_ut1,outlier_ratio_ut2,is_good
bobi1,bobi,D:\python_notebook_base\testdata\multi_bobi1.csv,D:\python_notebook_base\testdata\multi_bobi1_ref.csv,multi_bobi1.csv,good,ok,0.21099601759050515,0.2512933791937646,6,5,0.006,0.005,True
bobi2,bobi,D:\python_notebook_base\testdata\multi_bobi2.csv,D:\python_notebook_base\testdata\multi_bobi2_ref.csv,multi_bobi2.csv,good,ok,0.18953451240939787,0.15810340923519633,16,10,0.016,0.01,True
bobi3,bobi,D:\python_notebook_base\testdata\multi_bobi3.csv,D:\python_notebook_base\testdata\multi_bobi3_ref.csv,multi_bobi3.csv,good,ok,0.20095188726265978,0.1968520795117647,5,5,0.005,0.005,True
bobi4,bobi,D:\python_notebook_base\testdata\multi_bobi4.csv,D:\python_notebook_base\testdata\multi_bobi4_ref.csv,multi_bobi4.csv,good,ok,0.23364634259431444,0.2655504535258686,2,7,0.002,0.007,True
bobi5,bobi,D:\python_notebook_base\testdata\multi_bobi5.csv,D:\python_notebook_base\testdata\multi_bobi5_ref.csv,multi_bobi5.csv,good,ok,0.1510416743635595,0.1305274965586516,13,14,0.013,0.014,True
bobi6,bobi,D:\python_notebook_base\testdata\multi_bobi6.csv,D:\python_notebook_base\testdata\multi_bobi6_ref.csv,multi_bobi6.csv,good,ok,0.14910169968770393,0.21321979333581578,8,4,0.008,0.004,True
fuwo1,fuwo,D:\python_notebook_base\testdata\multi_fuwo1.csv,D:\python_notebook_base\testdata\multi_fuwo1_ref.csv,multi_fuwo1.csv,good,ok,0.20783385398028698,0.36507202831611446,8,5,0.008,0.005,True
fuwo2,fuwo,D:\python_notebook_base\testdata\multi_fuwo2.csv,D:\python_notebook_base\testdata\multi_fuwo2_ref.csv,multi_fuwo2.csv,good,ok,0.20986904097546755,0.16793981266250418,17,4,0.017,0.004,True
fuwo3,fuwo,D:\python_notebook_base\testdata\multi_fuwo3.csv,D:\python_notebook_base\testdata\multi_fuwo3_ref.csv,multi_fuwo3.csv,good,ok,0.20505512387128993,0.15218356684228712,26,18,0.026,0.018,True
fuwo4,fuwo,D:\python_notebook_base\testdata\multi_fuwo4.csv,D:\python_notebook_base\testdata\multi_fuwo4_ref.csv,multi_fuwo4.csv,good,ok,0.15107147529879553,0.09129745629926804,10,5,0.01,0.005,True
fuwo5,fuwo,D:\python_notebook_base\testdata\multi_fuwo5.csv,D:\python_notebook_base\testdata\multi_fuwo5_ref.csv,multi_fuwo5.csv,good,ok,0.16938749907483533,0.21833283496523945,6,5,0.006,0.005,True
kaihe1,kaihe,D:\python_notebook_base\testdata\multi_kaihe1.csv,D:\python_notebook_base\testdata\multi_kaihe1_ref.csv,multi_kaihe1.csv,good,ok,0.24057645881346174,0.15540749292443903,6,10,0.006,0.01,True
kaihe2,kaihe,D:\python_notebook_base\testdata\multi_kaihe2.csv,D:\python_notebook_base\testdata\multi_kaihe2_ref.csv,multi_kaihe2.csv,good,ok,0.1922195078925165,0.2026554546146696,9,13,0.009,0.013,True
kaihe3,kaihe,D:\python_notebook_base\testdata\multi_kaihe3.csv,D:\python_notebook_base\testdata\multi_kaihe3_ref.csv,multi_kaihe3.csv,good,ok,0.17066496203152384,0.17791613156776423,8,7,0.008,0.007,True
kaihe4,kaihe,D:\python_notebook_base\testdata\multi_kaihe4.csv,D:\python_notebook_base\testdata\multi_kaihe4_ref.csv,multi_kaihe4.csv,good,ok,0.16490358016606688,0.1652627430576341,14,4,0.014,0.004,True
kaihe5,kaihe,D:\python_notebook_base\testdata\multi_kaihe5.csv,D:\python_notebook_base\testdata\multi_kaihe5_ref.csv,multi_kaihe5.csv,good,ok,0.17417778889260252,0.15342720779350086,7,24,0.007,0.024,True
tiaosheng1,tiaosheng,D:\python_notebook_base\testdata\multi_tiaosheng1.csv,D:\python_notebook_base\testdata\multi_tiaosheng1_ref.csv,multi_tiaosheng1.csv,good,ok,0.37067234578159775,0.3710817433031847,6,27,0.006,0.027,True
tiaosheng2,tiaosheng,D:\python_notebook_base\testdata\multi_tiaosheng2.csv,D:\python_notebook_base\testdata\multi_tiaosheng2_ref.csv,multi_tiaosheng2.csv,good,ok,0.17136044118824173,0.3022546245030344,6,10,0.006,0.01,True
tiaosheng3,tiaosheng,D:\python_notebook_base\testdata\multi_tiaosheng3.csv,D:\python_notebook_base\testdata\multi_tiaosheng3_ref.csv,multi_tiaosheng3.csv,good,ok,0.20028709775239997,0.16203946524322188,2,2,0.002,0.002,True
tiaosheng4,tiaosheng,D:\python_notebook_base\testdata\multi_tiaosheng4.csv,D:\python_notebook_base\testdata\multi_tiaosheng4_ref.csv,multi_tiaosheng4.csv,good,ok,0.18723586655092853,0.18180839794411666,3,4,0.003,0.004,True
tiaosheng5,tiaosheng,D:\python_notebook_base\testdata\multi_tiaosheng5.csv,D:\python_notebook_base\testdata\multi_tiaosheng5_ref.csv,multi_tiaosheng5.csv,good,ok,0.23029619913353305,0.21208515029970954,11,8,0.011,0.008,True
tiaosheng6,tiaosheng,D:\python_notebook_base\testdata\multi_tiaosheng6.csv,D:\python_notebook_base\testdata\multi_tiaosheng6_ref.csv,multi_tiaosheng6.csv,good,ok,0.1679638826970957,0.10635002941831867,15,5,0.015,0.005,True
tiaosheng7,tiaosheng,D:\python_notebook_base\testdata\multi_tiaosheng7.csv,D:\python_notebook_base\testdata\multi_tiaosheng7_ref.csv,multi_tiaosheng7.csv,good,ok,0.22246331278648115,0.10107521919624023,8,4,0.008,0.004,True
wanju1,wanju,D:\python_notebook_base\testdata\multi_wanju1.csv,D:\python_notebook_base\testdata\multi_wanju1_ref.csv,multi_wanju1.csv,good,ok,0.1884670443682733,0.14126333603055177,20,2,0.02,0.002,True
wanju2,wanju,D:\python_notebook_base\testdata\multi_wanju2.csv,D:\python_notebook_base\testdata\multi_wanju2_ref.csv,multi_wanju2.csv,good,ok,0.1853789242774325,0.1438229865048739,4,6,0.004,0.006,True
wanju3,wanju,D:\python_notebook_base\testdata\multi_wanju3.csv,D:\python_notebook_base\testdata\multi_wanju3_ref.csv,multi_wanju3.csv,good,ok,0.19858511232952472,0.1542734843039406,2,8,0.002,0.008,True
wanju4,wanju,D:\python_notebook_base\testdata\multi_wanju4.csv,D:\python_notebook_base\testdata\multi_wanju4_ref.csv,multi_wanju4.csv,good,ok,0.1648293336409214,0.13498685723057907,6,4,0.006,0.004,True
wanju5,wanju,D:\python_notebook_base\testdata\multi_wanju5.csv,D:\python_notebook_base\testdata\multi_wanju5_ref.csv,multi_wanju5.csv,good,ok,0.22260842834954725,0.12356228661281932,5,14,0.005,0.014,True
