group_id,motion_type,motion_index,data_file,ref_file
bobi1,bobi,1,multi_bobi1.csv,multi_bobi1_ref.csv
bobi2,bobi,2,multi_bobi2.csv,multi_bobi2_ref.csv
bobi3,bobi,3,multi_bobi3.csv,multi_bobi3_ref.csv
bobi4,bobi,4,multi_bobi4.csv,multi_bobi4_ref.csv
bobi5,bobi,5,multi_bobi5.csv,multi_bobi5_ref.csv
bobi6,bobi,6,multi_bobi6.csv,multi_bobi6_ref.csv
fuwo1,fuwo,1,multi_fuwo1.csv,multi_fuwo1_ref.csv
fuwo2,fuwo,2,multi_fuwo2.csv,multi_fuwo2_ref.csv
fuwo3,fuwo,3,multi_fuwo3.csv,multi_fuwo3_ref.csv
fuwo4,fuwo,4,multi_fuwo4.csv,multi_fuwo4_ref.csv
fuwo5,fuwo,5,multi_fuwo5.csv,multi_fuwo5_ref.csv
kaihe1,kaihe,1,multi_kaihe1.csv,multi_kaihe1_ref.csv
kaihe2,kaihe,2,multi_kaihe2.csv,multi_kaihe2_ref.csv
kaihe3,kaihe,3,multi_kaihe3.csv,multi_kaihe3_ref.csv
kaihe4,kaihe,4,multi_kaihe4.csv,multi_kaihe4_ref.csv
kaihe5,kaihe,5,multi_kaihe5.csv,multi_kaihe5_ref.csv
tiaosheng1,tiaosheng,1,multi_tiaosheng1.csv,multi_tiaosheng1_ref.csv
tiaosheng2,tiaosheng,2,multi_tiaosheng2.csv,multi_tiaosheng2_ref.csv
tiaosheng3,tiaosheng,3,multi_tiaosheng3.csv,multi_tiaosheng3_ref.csv
tiaosheng4,tiaosheng,4,multi_tiaosheng4.csv,multi_tiaosheng4_ref.csv
tiaosheng5,tiaosheng,5,multi_tiaosheng5.csv,multi_tiaosheng5_ref.csv
tiaosheng6,tiaosheng,6,multi_tiaosheng6.csv,multi_tiaosheng6_ref.csv
tiaosheng7,tiaosheng,7,multi_tiaosheng7.csv,multi_tiaosheng7_ref.csv
wanju1,wanju,1,multi_wanju1.csv,multi_wanju1_ref.csv
wanju2,wanju,2,multi_wanju2.csv,multi_wanju2_ref.csv
wanju3,wanju,3,multi_wanju3.csv,multi_wanju3_ref.csv
wanju4,wanju,4,multi_wanju4.csv,multi_wanju4_ref.csv
wanju5,wanju,5,multi_wanju5.csv,multi_wanju5_ref.csv
