frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
58507,78241,0,78242,3469.0,39238.0,28792.0,-0.0050019999999999995,-0.009516,0.000366,0.3325,0.07,-3.4125000000000005,0.98165625,0.0314375,-0.14078125,1.1688125,0.93565625,-0.46900000000000003,-0.866375,1.1145,0.020451898320323673,0.02917971557977389,True
58508,78242,0,78243,3469.0,39237.0,28795.0,-0.010797,0.0008539999999999999,-0.0013419999999999999,0.77,0.0,-3.5525,0.97621875,0.03371875,-0.139875,1.15709375,0.9423750000000001,-0.478625,-0.8655,1.123,0.02093025037149758,0.029181999155456356,True
58509,78243,0,78244,3470.0,39236.0,28794.0,-0.011407,0.008662,0.001647,0.8925000000000001,-0.31500000000000006,-3.5700000000000003,0.9801875,0.0315625,-0.14296875,1.175,0.96646875,-0.48828125,-0.8749687500000001,1.13521875,0.021228266071143725,0.02942717264720182,True
58510,78244,0,78245,3470.0,39235.0,28794.0,0.004514,0.002806,-0.001281,0.35000000000000003,-1.4000000000000001,-3.7975000000000003,0.9835,0.0306875,-0.14303125,1.16840625,0.95528125,-0.48340625000000004,-0.869625,1.138625,0.02099763998320291,0.029216112024206233,True
58511,78245,0,78246,3472.0,39237.0,28796.0,0.007137,0.000793,-0.0032329999999999998,0.2625,-1.7675,-3.8500000000000005,0.977375,0.03440625,-0.1410625,1.1710625000000001,0.95559375,-0.4748125,-0.86846875,1.136875,0.02080582844097376,0.029250142311234986,True
58512,78246,0,78247,3471.0,39239.0,28797.0,0.003843,0.001586,-0.001647,0.385,-1.6975000000000002,-3.7975000000000003,0.97571875,0.0398125,-0.13659375,1.16771875,0.94875,-0.4794375,-0.863125,1.1090625,0.021211680211197664,0.029221236268570427,True
58513,78247,0,78248,3474.0,39239.0,28796.0,-0.000549,0.0040869999999999995,0.00122,0.42000000000000004,-1.6625,-3.7450000000000006,0.9766875,0.0345625,-0.1394375,1.16596875,0.91915625,-0.46815625,-0.85978125,1.105875,0.020545836999876114,0.028976270658053357,True
58514,78248,0,78249,3473.0,39237.0,28795.0,-0.000549,0.0013419999999999999,0.0006709999999999999,0.31500000000000006,-1.4175000000000002,-3.7450000000000006,0.9755625,0.034,-0.1386875,1.16684375,0.9215,-0.47321875,-0.85265625,1.104875,0.020725461378062502,0.02872806603921865,True
58515,78249,0,78250,3472.0,39238.0,28794.0,-0.000122,-0.0071979999999999995,-0.001769,0.17500000000000002,-0.9625000000000001,-3.6225000000000005,0.9759375,0.03490625,-0.14046875,1.1732500000000001,0.91834375,-0.4708125,-0.850875,1.11775,0.020666201827176763,0.028586770083548367,True
58516,78250,0,78251,3475.0,39237.0,28796.0,-0.0026839999999999998,-0.005795,0.001647,0.31500000000000006,-0.6825000000000001,-3.5000000000000004,0.980375,0.035312500000000004,-0.1394375,1.16775,0.92875,-0.4720625,-0.856875,1.09759375,0.02073282544125572,0.0288627391818159,True
58517,78251,0,78252,3477.0,39239.0,28798.0,-0.003477,-0.002928,0.003904,0.42000000000000004,-0.5775,-3.5000000000000004,0.97590625,0.034625,-0.14221875,1.1725625,0.9194687500000001,-0.47650000000000003,-0.87415625,1.12675,0.02088227483504586,0.029425621220820302,True
58518,78252,0,78253,3477.0,39239.0,28798.0,-0.001952,-0.001769,0.002013,0.4025,-0.7875000000000001,-3.6400000000000006,0.9811562500000001,0.029750000000000002,-0.14278125,1.173375,0.941875,-0.4861875,-0.8671562500000001,1.133875,0.021070552530891143,0.029129788413180542,True
58519,78253,0,78254,3478.0,39239.0,28799.0,0.000244,0.000183,-0.001281,0.385,-0.9975,-3.7450000000000006,0.9695625,0.03896875,-0.143125,1.17478125,0.9500625,-0.4796875,-0.8647812500000001,1.1241875000000001,0.021187208782791858,0.029023229391973843,True
58520,78254,0,78255,3479.0,39238.0,28799.0,0.001769,0.003843,-0.000976,0.4025,-1.3825,-3.7625,0.98121875,0.031,-0.139875,1.17140625,0.93684375,-0.4794375,-0.8618750000000001,1.11515625,0.02085168419413232,0.02904044847784007,True
58521,78255,0,78256,3479.0,39240.0,28801.0,0.002379,0.003843,0.0008539999999999999,0.31500000000000006,-1.435,-3.8500000000000005,0.9801875,0.035187500000000003,-0.1395,1.1675312500000001,0.9341875000000001,-0.47500000000000003,-0.86271875,1.12171875,0.020845250255362616,0.02908848212748254,True
