frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
36846,104651,1,104652,2920.0,36242.0,28367.0,0.0048189999999999995,0.0070149999999999995,-0.000488,0.28,-2.9225000000000003,-3.9025000000000003,1.0557812500000001,0.24025,0.14890625,1.30915625,1.01384375,-0.233875,-0.34203125,1.276875,0.019564555812885888,0.02016830456579091,True
36847,104652,1,104653,2921.0,36243.0,28369.0,0.010369999999999999,0.0053679999999999995,-0.00122,0.35000000000000003,-3.8150000000000004,-4.095000000000001,1.04878125,0.24921875000000002,0.15028125,1.3154375,1.01546875,-0.2354375,-0.34321875,1.27725,0.019997833750680177,0.02027258617967273,True
36848,104653,1,104654,2921.0,36244.0,28369.0,0.012322,0.001403,0.000122,0.3325,-3.9725000000000006,-4.515000000000001,1.04790625,0.242625,0.148125,1.30865625,1.0205625,-0.23125,-0.34325,1.283625,0.01955635800876967,0.020185266963121194,True
36849,104654,1,104655,2920.0,36243.0,28369.0,0.012199999999999999,0.00183,-0.00183,0.35000000000000003,-3.4125000000000005,-4.2525,1.049,0.2405625,0.1489375,1.30940625,1.015375,-0.23290625,-0.3435,1.2770625,0.019538256993009248,0.020228705814693864,True
36850,104655,1,104656,2922.0,36242.0,28368.0,0.007442,0.0011589999999999999,-0.002562,0.385,-2.7125000000000004,-4.095000000000001,1.05428125,0.243625,0.14890625,1.31384375,1.0154375,-0.2360625,-0.34025,1.27665625,0.019792303308344746,0.020096599254321543,True
36851,104656,1,104657,2922.0,36245.0,28370.0,0.0013419999999999999,-0.001037,-0.0037819999999999998,0.28,-1.7675,-4.095000000000001,1.0474375,0.24053125,0.15009375,1.310625,1.0214375,-0.23128125,-0.34365625,1.27765625,0.019471215538798634,0.020282491460172507,True
36852,104657,1,104658,2923.0,36243.0,28370.0,-0.005856,-0.005246,0.000732,0.1925,-0.8575,-3.9550000000000005,1.047125,0.24253125,0.14881250000000001,1.30875,1.0163125,-0.23228125,-0.34265625,1.27875,0.019594213813443586,0.020189610573003922,True
36853,104658,1,104659,2923.0,36242.0,28370.0,-0.008479,-0.00366,0.000488,0.21000000000000002,0.1925,-3.7800000000000002,1.0499687500000001,0.24281250000000001,0.14890625,1.3039375,1.0149062500000001,-0.235375,-0.34178125,1.28190625,0.01973097177163547,0.020158241295509135,True
36854,104659,1,104660,2922.0,36244.0,28368.0,-0.009028,6.1e-05,0.000793,0.28,0.24500000000000002,-3.7625,1.04709375,0.2426875,0.14975,1.31271875,1.0159375,-0.23328125,-0.34153125,1.2790625,0.019641118554673646,0.020182840798070173,True
36855,104660,1,104661,2924.0,36244.0,28370.0,-0.010614,0.0026839999999999998,0.0006709999999999999,0.36750000000000005,-0.2625,-3.7625,1.04828125,0.2419375,0.14909375,1.3073125,1.0239375,-0.23209375000000002,-0.3451875,1.277125,0.019562125125898375,0.020303037304600754,True
36856,104661,1,104662,2923.0,36246.0,28372.0,-0.0077469999999999995,0.004697,6.1e-05,0.31500000000000006,-1.1375000000000002,-3.7275000000000005,1.05109375,0.24296875,0.14775,1.3095937500000001,1.0159375,-0.23625000000000002,-0.34296875,1.28678125,0.01977280932487493,0.020158541673352803,True
36857,104662,1,104663,2924.0,36247.0,28370.0,-0.000488,0.003538,-0.000549,0.42000000000000004,-2.1175,-3.8325000000000005,1.04871875,0.24265625000000002,0.14909375,1.3148125,1.00471875,-0.2363125,-0.34103125,1.28378125,0.01976244323471238,0.020135753286952458,True
36858,104663,1,104664,2926.0,36246.0,28373.0,0.012627,0.000976,-0.00061,0.24500000000000002,-3.3950000000000005,-3.8150000000000004,1.048125,0.24331250000000001,0.14921875,1.3219375,1.00884375,-0.2323125,-0.34218750000000003,1.27628125,0.019627718155252414,0.020187431799216896,True
36859,104664,1,104665,2926.0,36245.0,28370.0,0.011956,-0.000122,0.000488,0.3325,-3.0625000000000004,-3.7450000000000006,1.0484375,0.238125,0.15006250000000002,1.3349375,1.01425,-0.23259375000000002,-0.34309375000000003,1.273375,0.019425025437072745,0.0202585692297225,True
36860,104665,1,104666,2926.0,36243.0,28373.0,0.009577,-0.000915,0.001586,0.29750000000000004,-2.3975000000000004,-3.6925000000000003,1.04875,0.2325625,0.151875,1.30240625,1.0230000000000001,-0.231,-0.346125,1.27584375,0.019130968593949898,0.020455000539100165,True
36861,104666,1,104667,2927.0,36246.0,28370.0,0.0048189999999999995,-0.0017079999999999999,-0.001403,0.35000000000000003,-1.3125000000000002,-3.6575,1.0643125,0.25025000000000003,0.14090625,1.2981875,1.01296875,-0.236625,-0.34171875,1.2765625,0.020088399271763296,0.01982707157850142,True
36862,104667,1,104668,2928.0,36242.0,28370.0,-0.003172,-0.0023179999999999997,-0.0023179999999999997,0.31500000000000006,-0.2625,-3.6925000000000003,1.06571875,0.24656250000000002,0.14409375,1.29484375,1.0130937500000001,-0.2359375,-0.34071875,1.28725,0.019908452066275548,0.019917756126244218,True
36863,104668,1,104669,2928.0,36244.0,28367.0,-0.011956,-0.002074,0.000305,0.35000000000000003,0.525,-3.6575,1.05440625,0.24484375,0.14590625000000002,1.32246875,1.012,-0.23434375000000002,-0.33996875,1.270375,0.01977307514258561,0.019962022342366402,True
36864,104669,1,104670,2927.0,36241.0,28365.0,-0.011833999999999999,-0.0006709999999999999,0.0028669999999999998,0.22750000000000004,0.43750000000000006,-3.6750000000000003,1.02915625,0.23225,0.15325,1.3191875,1.0250625,-0.2323125,-0.344875,1.27415625,0.0191711996120882,0.020461185362422276,True
36865,104670,1,104671,2924.0,36241.0,28364.0,-0.0075639999999999995,-0.001647,0.002013,0.43750000000000006,-0.14,-3.6400000000000006,1.04384375,0.23884375,0.14559375,1.31021875,1.02171875,-0.2336875,-0.33796875,1.27925,0.019498941298141274,0.01986864659771576,True
36866,104671,1,104672,2923.0,36239.0,28364.0,-0.003111,0.000122,0.000549,0.5425000000000001,-1.0675000000000001,-3.6750000000000003,1.05078125,0.2410625,0.14771875,1.31615625,1.01365625,-0.234,-0.34190625,1.27746875,0.01960314021622514,0.020114488773860923,True
36867,104672,1,104673,2921.0,36236.0,28359.0,-0.0011589999999999999,0.002623,-0.00042699999999999997,0.385,-1.9250000000000003,-3.8325000000000005,1.0475,0.2405,0.152,1.3221875,1.0148125000000001,-0.23221875,-0.34225,1.27525,0.019507860789676965,0.02030420359662726,True
36868,104673,1,104674,2920.0,36237.0,28356.0,0.008662,0.0006709999999999999,-0.0011589999999999999,0.31500000000000006,-3.0450000000000004,-3.6925000000000003,1.042625,0.23928125,0.15046875,1.3265,1.0206250000000001,-0.23271875,-0.343375,1.27615625,0.019477797966850088,0.020286576943418896,True
36869,104674,1,104675,2916.0,36234.0,28352.0,0.010431,0.002013,-0.000793,0.24500000000000002,-3.2550000000000003,-3.8675,1.0359375,0.24134375,0.14996875,1.3005,1.0140625,-0.2321875,-0.34284375,1.27703125,0.019541415730626878,0.020244656091176694,True
