frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
21377,49571,0,49572,4426.0,43911.0,28120.0,-0.0064659999999999995,-0.00061,0.0021349999999999997,0.385,-0.7000000000000001,-4.0075,0.89525,-0.00478125,0.113,1.1358125000000001,0.87009375,-0.4210625,-0.4050625,1.1260937500000001,0.017045992573009466,0.02122766536656073,True
21378,49572,0,49573,4426.0,43913.0,28121.0,0.0008539999999999999,-0.002074,0.001647,0.35000000000000003,-1.4525000000000001,-4.3925,0.89771875,-0.0022500000000000003,0.10734375,1.13940625,0.87625,-0.42309375,-0.4055625,1.12503125,0.017231385765777523,0.021015956915559724,True
21379,49573,0,49574,4426.0,43914.0,28126.0,0.007686,0.0011589999999999999,-0.002379,0.15750000000000003,-2.5900000000000003,-4.8825,0.9066875,-0.0060625,0.110875,1.1346875,0.8735,-0.42159375,-0.404875,1.11965625,0.01701491124018063,0.021133072797955323,True
21380,49574,0,49575,4428.0,43911.0,28124.0,0.007869,0.00183,-0.002623,0.17500000000000002,-2.765,-5.005000000000001,0.89790625,-0.0049375,0.10765625000000001,1.1411875,0.8593125,-0.41981250000000003,-0.4059375,1.12640625,0.01698927868508409,0.021043803377764122,True
21381,49575,0,49576,4428.0,43912.0,28128.0,0.006161,0.0025009999999999998,-0.0008539999999999999,0.17500000000000002,-2.9575000000000005,-5.022500000000001,0.90496875,-0.00615625,0.108375,1.13096875,0.875125,-0.4211875,-0.40525,1.12215625,0.016994720260839077,0.02104567664744266,True
21382,49576,0,49577,4429.0,43912.0,28127.0,0.005795,0.00122,0.001403,0.15750000000000003,-2.6775,-4.795000000000001,0.89971875,-0.00803125,0.10834375,1.13490625,0.8786875000000001,-0.42121875000000003,-0.405125,1.12584375,0.01691920064390726,0.021039382096998068,True
21383,49577,0,49578,4430.0,43913.0,28129.0,0.004392,0.000976,0.00122,0.1925,-2.6950000000000003,-4.4625,0.9043125,-0.005625,0.111875,1.1401875000000001,0.86675,-0.42131250000000003,-0.40871875,1.11584375,0.01702150529378796,0.02132818831385814,True
21384,49578,0,49579,4430.0,43913.0,28128.0,0.0032329999999999998,-0.000488,0.0013419999999999999,0.2625,-2.31,-3.8325000000000005,0.90565625,0.0035,0.10859375,1.1361875000000001,0.8749375,-0.421,-0.40534375,1.12640625,0.017382580565906393,0.021058400375942258,True
21385,49579,0,49580,4432.0,43915.0,28131.0,0.001281,-0.0008539999999999999,0.0006709999999999999,0.3325,-2.0475000000000003,-3.4650000000000003,0.9042187500000001,-0.00578125,0.1095,1.1350625,0.8755625,-0.41559375,-0.40015625,1.1194375,0.016784867253125883,0.02088741747299262,True
21386,49580,0,49581,4433.0,43915.0,28131.0,0.000244,-0.000915,-0.001098,0.36750000000000005,-1.715,-3.2550000000000003,0.8985,-0.0058125,0.1061875,1.14203125,0.8716875000000001,-0.42240625,-0.40796875,1.11884375,0.017057850309078366,0.02106509784842297,True
21387,49581,0,49582,4433.0,43917.0,28131.0,-0.0046359999999999995,-0.000793,-0.002806,0.5425000000000001,-1.5225000000000002,-3.1500000000000004,0.90515625,-0.0046875,0.10915625,1.13603125,0.870375,-0.42190625,-0.405625,1.1193125,0.017083791319524862,0.021092729647366127,True
21388,49582,0,49583,4434.0,43915.0,28133.0,-0.006344,-0.000793,-0.0018909999999999999,0.56,-1.2775,-3.0625000000000004,0.8981875,-0.0049375,0.1075,1.1420000000000001,0.87334375,-0.424375,-0.40950000000000003,1.12459375,0.017172906164436143,0.02118027817038448,True
21389,49583,0,49584,4434.0,43914.0,28129.0,-0.005246,-0.000549,0.000915,0.56,-1.7500000000000002,-3.115,0.89884375,-0.00853125,0.10796875,1.14003125,0.87503125,-0.42096875,-0.40490625,1.1185,0.016888662535142058,0.021015241556193234,True
21390,49584,0,49585,4435.0,43917.0,28132.0,-0.002806,0.000549,0.0017079999999999999,0.5075000000000001,-2.0825,-3.22,0.902375,-0.00453125,0.1088125,1.13365625,0.8703125,-0.421,-0.40428125,1.11359375,0.017053714016625036,0.021024743353177017,True
21391,49585,0,49586,4438.0,43918.0,28131.0,-0.001952,0.002257,0.0030499999999999998,0.43750000000000006,-2.3625000000000003,-3.325,0.89796875,-0.00525,0.11584375000000001,1.13509375,0.875,-0.42478125,-0.40134375,1.1273125,0.01717645884750759,0.02119504176895996,True
21392,49586,0,49587,4436.0,43918.0,28130.0,6.1e-05,0.002623,0.001647,0.47250000000000003,-2.66,-3.4825000000000004,0.901,-0.006125,0.10771875,1.13534375,0.8765625,-0.41781250000000003,-0.40484375,1.1078125,0.016860130283988382,0.021002490540428066,True
21393,49587,0,49588,4439.0,43919.0,28133.0,0.00183,0.000793,-6.1e-05,0.2625,-3.0275000000000003,-3.5700000000000003,0.898,-0.00634375,0.1085625,1.135375,0.87725,-0.42296875,-0.405375,1.11990625,0.017058736972752342,0.02105837341159478,True
21394,49588,0,49589,4440.0,43918.0,28132.0,0.007686,-0.000976,-0.002074,0.17500000000000002,-3.3600000000000003,-3.3950000000000005,0.89846875,0.00021875,0.1058125,1.1390625,0.87153125,-0.42228125,-0.40459375000000003,1.119375,0.017299776203338908,0.020914351422055534,True
21395,49589,0,49590,4439.0,43918.0,28134.0,0.007076,-0.002196,-0.001464,0.14,-3.1850000000000005,-3.2725000000000004,0.90109375,-0.00459375,0.1091875,1.13571875,0.8715625,-0.42131250000000003,-0.40503125,1.119375,0.017063732753921396,0.02107019428627038,True
21396,49590,0,49591,4441.0,43916.0,28134.0,0.006405,-0.002196,-0.0006709999999999999,0.22750000000000004,-2.8175000000000003,-3.0975,0.89875,-0.0048125,0.10740625000000001,1.1389375,0.88103125,-0.42403125,-0.40128125000000003,1.11928125,0.01716419151731965,0.020846753692493097,True
21397,49591,0,49592,4444.0,43918.0,28135.0,0.005124,-0.002806,-0.0006709999999999999,0.385,-2.3975000000000004,-3.0100000000000002,0.8999375000000001,-0.00453125,0.1083125,1.13478125,0.864125,-0.42121875000000003,-0.40750000000000003,1.131625,0.017062518634537845,0.021133360647342007,True
21398,49592,0,49593,4444.0,43918.0,28138.0,0.000915,-0.0017079999999999999,-0.002928,0.36750000000000005,-2.1875,-2.8175000000000003,0.90346875,-0.00675,0.1066875,1.13553125,0.8776875000000001,-0.419625,-0.39971875,1.11721875,0.01690750779342435,0.020754593738913488,True
21399,49593,0,49594,4445.0,43922.0,28138.0,-0.00488,0.0021349999999999997,0.002257,0.805,-1.6450000000000002,-2.3975000000000004,0.898625,-0.0045000000000000005,0.10934375,1.13559375,0.8758750000000001,-0.4265625,-0.405875,1.11696875,0.01727883323738246,0.021110439597023255,True
21400,49594,0,49595,4445.0,43921.0,28138.0,-0.00549,0.000183,0.003111,0.665,-1.5925000000000002,-2.0125,0.8979375,-0.00375,0.11378125,1.13459375,0.8671562500000001,-0.4200625,-0.404375,1.12303125,0.017047970290821328,0.02123210489922401,True
21401,49595,0,49596,4448.0,43921.0,28136.0,-0.002379,0.0006709999999999999,0.0034159999999999998,0.5950000000000001,-1.61,-1.9600000000000002,0.9219375,-0.00778125,0.11340625,1.1284687500000001,0.878,-0.41996875,-0.400125,1.11684375,0.016879116604111132,0.021046254885989314,True
21402,49596,0,49597,4449.0,43922.0,28136.0,-0.0015249999999999999,0.00122,-0.001281,0.665,-1.4875,-1.9775000000000003,0.8912187500000001,-0.006125,0.10253125,1.154125,0.8711875,-0.42462500000000003,-0.40790625,1.1305,0.0171343469961156,0.020912793369976174,True
21403,49597,0,49598,4450.0,43924.0,28135.0,-0.0018909999999999999,0.001586,0.000244,0.6825000000000001,-1.3475000000000001,-1.9775000000000003,0.9165625000000001,-0.008906250000000001,0.11709375,1.11590625,0.87465625,-0.4201875,-0.404375,1.11740625,0.016841854715488977,0.021367838758419338,True
21404,49598,0,49599,4450.0,43926.0,28136.0,-0.0032329999999999998,0.000549,-0.0008539999999999999,0.8225000000000001,-0.9800000000000001,-2.1175,0.88075,-0.00715625,0.09634375,1.15340625,0.867125,-0.42284375,-0.40828125,1.1239375,0.017020438088828214,0.02067433568268966,True
21405,49599,0,49600,4451.0,43924.0,28134.0,-0.0046359999999999995,-0.000976,-0.000305,0.6300000000000001,-0.805,-2.4675000000000002,0.8938125,-0.00128125,0.11296875,1.1246875,0.86709375,-0.42090625,-0.40471875,1.12059375,0.017183023254921177,0.021212598485692447,True
21406,49600,0,49601,4452.0,43924.0,28135.0,-0.005246,-0.002196,0.0025009999999999998,0.525,-0.6300000000000001,-2.5900000000000003,0.9170625,-0.0118125,0.10903125,1.14075,0.88196875,-0.42521875000000003,-0.40459375000000003,1.11759375,0.01692538577571593,0.02104624257472018,True
21407,49601,0,49602,4453.0,43924.0,28135.0,-0.003294,-0.0021349999999999997,0.0021349999999999997,0.525,-0.7000000000000001,-2.87,0.8863125000000001,0.0064687500000000005,0.10878125,1.1548125,0.867125,-0.421125,-0.4064375,1.126875,0.01750917494587166,0.021109953060539872,True
21408,49602,0,49603,4457.0,43922.0,28134.0,-0.000976,-0.0011589999999999999,-6.1e-05,0.42000000000000004,-0.8750000000000001,-3.1850000000000005,0.9173125,-0.00975,0.1154375,1.1235625,0.8647812500000001,-0.42028125,-0.404125,1.11696875,0.016811077882241836,0.02128994585956268,True
21409,49603,0,49604,4456.0,43925.0,28134.0,0.002928,0.001037,-0.0021349999999999997,0.4025,-1.4700000000000002,-3.6400000000000006,0.88590625,-0.0031875000000000002,0.10515625,1.1524375,0.8679687500000001,-0.423,-0.40750000000000003,1.12528125,0.017189227367645252,0.021004045887534573,True
21410,49604,0,49605,4456.0,43926.0,28136.0,0.0042699999999999995,0.000244,-0.0018909999999999999,0.29750000000000004,-1.6800000000000002,-3.7800000000000002,0.9168125,-0.01425,0.105,1.14721875,0.87528125,-0.42131250000000003,-0.4020625,1.11946875,0.016668330172671927,0.02077949353666314,True
21411,49605,0,49606,4457.0,43925.0,28137.0,0.0050019999999999995,-0.000366,-0.001037,0.28,-1.8375000000000001,-3.6925000000000003,0.9059375000000001,-0.00565625,0.1154375,1.1244687500000001,0.8706875000000001,-0.42128125,-0.40528125,1.1190625,0.017018967831591555,0.021336314245507824,True
21412,49606,0,49607,4457.0,43923.0,28137.0,0.003172,0.000183,0.001586,0.385,-1.9775000000000003,-3.6050000000000004,0.88490625,-0.0008125000000000001,0.1131875,1.12475,0.8718125,-0.42184375,-0.40565625,1.1195,0.01723994528463888,0.02125915995395535,True
