frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
49863,76425,0,76426,6625.0,74780.0,118583.0,0.001647,0.002379,6.1e-05,0.5075000000000001,-1.3475000000000001,-3.535,0.729,-0.1044375,-0.040625,0.974125,0.69053125,-0.627,-0.6979375,0.93884375,0.021219088804970157,0.02661406443351798,True
49864,76426,0,76427,6625.0,74774.0,118582.0,-0.000549,0.0025009999999999998,-0.000976,0.6125,-1.4000000000000001,-3.5525,0.73128125,-0.10371875,-0.0380625,0.9685625,0.69584375,-0.6277812500000001,-0.6980937500000001,0.93025,0.02127932251306642,0.026723975408021117,True
49865,76427,0,76428,6626.0,74778.0,118579.0,-0.00061,0.002928,-0.000915,0.525,-1.2950000000000002,-3.6225000000000005,0.7299375,-0.10334375,-0.03778125,0.970375,0.68975,-0.6267812500000001,-0.6964375,0.93153125,0.02125480771060977,0.026670091587096316,True
49866,76428,0,76429,6626.0,74779.0,118582.0,0.000122,-0.000122,0.000793,0.35000000000000003,-1.54,-3.4125000000000005,0.73328125,-0.10578125000000001,-0.03803125,0.973125,0.6936875,-0.6298125,-0.70078125,0.9373125,0.021276298794398046,0.02683113514881235,True
49867,76429,0,76430,6624.0,74778.0,118576.0,0.000732,-0.000488,0.001281,0.3325,-1.6975000000000002,-3.4650000000000003,0.72259375,-0.10353125,-0.03753125,0.9656250000000001,0.6960000000000001,-0.6294375,-0.6990937500000001,0.9305625000000001,0.021352751153979867,0.026784889627782398,True
49868,76430,0,76431,6624.0,74779.0,118573.0,0.001281,-0.0006709999999999999,0.00122,0.28,-1.6975000000000002,-3.5175000000000005,0.7291562500000001,-0.1045625,-0.03875,0.97478125,0.68925,-0.6275937500000001,-0.697625,0.93415625,0.021237610759272822,0.02667766637480325,True
49869,76431,0,76432,6623.0,74778.0,118581.0,0.00061,-0.000244,0.0011589999999999999,0.42000000000000004,-1.5225000000000002,-3.4825000000000004,0.73409375,-0.10375000000000001,-0.03696875,0.96459375,0.69765625,-0.6268125,-0.6965625,0.92940625,0.021239553433884308,0.026707917346796745,True
49870,76432,0,76433,6621.0,74781.0,118578.0,-0.0023179999999999997,0.00061,-6.1e-05,0.49000000000000005,-1.4525000000000001,-3.4650000000000003,0.7244375000000001,-0.10400000000000001,-0.03559375,0.97115625,0.6900937500000001,-0.6266875000000001,-0.69734375,0.92975,0.02122443385859345,0.026794379456292743,True
49871,76433,0,76434,6625.0,74776.0,118574.0,-0.0021349999999999997,0.00061,0.00061,0.45500000000000007,-1.5050000000000001,-3.6575,0.7371562500000001,-0.1075,-0.042,0.982,0.6919375,-0.6291875,-0.69753125,0.92459375,0.021181677227476544,0.026542379615371474,True
49872,76434,0,76435,6621.0,74779.0,118576.0,-0.000183,-0.001037,0.000549,0.28,-1.6800000000000002,-3.6925000000000003,0.74640625,-0.10821875,-0.03846875,0.97178125,0.696875,-0.62925,-0.69846875,0.9378125,0.021154978328613336,0.026722304393870567,True
49873,76435,0,76436,6622.0,74779.0,118575.0,0.001952,-0.0026839999999999998,0.000122,0.35000000000000003,-1.8025000000000002,-3.535,0.7341875,-0.1058125,-0.03746875,0.97971875,0.6973125,-0.62928125,-0.6993125,0.9253750000000001,0.02125391905214449,0.026796039363443817,True
49874,76436,0,76437,6621.0,74781.0,118578.0,0.000366,-0.0025009999999999998,-6.1e-05,0.2625,-1.6975000000000002,-3.6050000000000004,0.73853125,-0.10375000000000001,-0.03534375,0.9644375000000001,0.6968125000000001,-0.63121875,-0.69846875,0.9331875000000001,0.02141464274884896,0.02684883045634155,True
49875,76437,0,76438,6623.0,74780.0,118574.0,0.0,6.1e-05,-0.0013419999999999999,0.28,-1.4875,-3.5175000000000005,0.714375,-0.10312500000000001,-0.0379375,0.96703125,0.6905625,-0.62715625,-0.69684375,0.9303750000000001,0.02127859362568506,0.026679775629223877,True
49876,76438,0,76439,6620.0,74780.0,118578.0,-0.0008539999999999999,-6.1e-05,-0.0025009999999999998,0.47250000000000003,-1.4000000000000001,-3.4825000000000004,0.7312500000000001,-0.11034375,-0.041375,0.9779375,0.6902812500000001,-0.622625,-0.691625,0.93640625,0.02080530609551175,0.02633484025453975,True
49877,76439,0,76440,6622.0,74781.0,118575.0,-0.001281,0.001464,-0.00122,0.5950000000000001,-1.4700000000000002,-3.5875000000000004,0.72671875,-0.10221875,-0.03571875,0.95628125,0.69571875,-0.6274375,-0.69671875,0.93121875,0.021326569197465225,0.026764689135069818,True
49878,76440,0,76441,6620.0,74775.0,118579.0,-0.000183,0.001769,0.002379,0.5425000000000001,-1.6625,-3.5875000000000004,0.7215312500000001,-0.1064375,-0.04490625,0.98321875,0.69021875,-0.627125,-0.69740625,0.93115625,0.021142845541247714,0.026419778392720895,True
49879,76441,0,76442,6619.0,74777.0,118579.0,0.001952,0.000122,0.002989,0.36750000000000005,-1.6275000000000002,-3.5000000000000004,0.7449687500000001,-0.10584375,-0.0406875,0.9641875,0.6933125,-0.62971875,-0.698375,0.9353125,0.021270035818009493,0.02662877618466802,True
49880,76442,0,76443,6618.0,74784.0,118578.0,0.002013,0.000305,0.000549,0.28,-1.6975000000000002,-3.6575,0.72440625,-0.10253125,-0.03803125,0.9639062500000001,0.6906875,-0.6264375,-0.6970625,0.9303125,0.021274138819307502,0.02668460064835646,True
49881,76443,0,76444,6618.0,74786.0,118584.0,-0.000366,0.000793,-0.00061,0.45500000000000007,-1.5225000000000002,-3.6400000000000006,0.724375,-0.10390625,-0.03825,0.965875,0.68715625,-0.62640625,-0.696875,0.93009375,0.0212170624773966,0.026668353789700117,True
49882,76444,0,76445,6618.0,74784.0,118584.0,-0.003111,0.000793,-0.000305,0.49000000000000005,-1.435,-3.6575,0.73146875,-0.10534375,-0.03775,0.969375,0.69078125,-0.62190625,-0.69621875,0.93084375,0.02097979314660091,0.02666273556554078,True
49883,76445,0,76446,6617.0,74784.0,118581.0,-0.002745,-0.000976,-0.00042699999999999997,0.45500000000000007,-1.4175000000000002,-3.5875000000000004,0.7313437500000001,-0.10625,-0.04015625,0.97296875,0.68990625,-0.62721875,-0.6973125,0.9306875,0.021154185346244185,0.026608411340302715,True
49884,76446,0,76447,6618.0,74783.0,118582.0,-0.002013,-0.0013419999999999999,-0.001464,0.385,-1.4000000000000001,-3.6925000000000003,0.73409375,-0.10840625,-0.039343750000000004,0.97528125,0.69203125,-0.6283125,-0.69865625,0.9324375,0.021110104478331594,0.026694266008904836,True
49885,76447,0,76448,6616.0,74785.0,118585.0,-0.000732,-0.001037,0.0011589999999999999,0.47250000000000003,-1.5750000000000002,-3.5700000000000003,0.7350625000000001,-0.106125,-0.0400625,0.97490625,0.6946875,-0.62946875,-0.6990937500000001,0.922875,0.02124868202851513,0.026682406110548087,True
49886,76448,0,76449,6616.0,74783.0,118582.0,0.001952,0.000915,0.001586,0.49000000000000005,-1.6975000000000002,-3.6050000000000004,0.73753125,-0.10771875,-0.03725,0.9635,0.6951875000000001,-0.630125,-0.700625,0.93090625,0.02121005273014246,0.026856607879355284,True
49887,76449,0,76450,6618.0,74782.0,118586.0,0.003965,0.002013,0.0017079999999999999,0.45500000000000007,-1.9250000000000003,-3.6925000000000003,0.72953125,-0.10359375,-0.03765625,0.96946875,0.67759375,-0.62746875,-0.69828125,0.93159375,0.02127197907823962,0.026747812664089734,True
