frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
61466,14378,0,14379,3863.0,42289.0,40000.0,0.003904,0.000366,-0.001952,0.35000000000000003,-1.995,-3.5000000000000004,1.04921875,0.3626875,0.20971875,1.2845625,1.02190625,-0.13390625,-0.234375,1.26759375,0.02057660060728876,0.01832495164410058,True
61467,14379,0,14380,3864.0,42288.0,40001.0,0.00122,0.002989,-0.002196,0.45500000000000007,-1.61,-3.5000000000000004,1.053125,0.364375,0.208125,1.2796875,1.028,-0.13121875,-0.23440625,1.26009375,0.020537452133452646,0.018260453564856786,True
61468,14380,0,14381,3865.0,42290.0,40003.0,-0.0034159999999999998,0.00488,-0.001037,0.5425000000000001,-1.2425000000000002,-3.535,1.04878125,0.3620625,0.20903125,1.2844375000000001,1.02215625,-0.132625,-0.23334375000000002,1.2650937500000001,0.020498702482635023,0.01825480645855981,True
61469,14381,0,14382,3865.0,42292.0,40004.0,-0.0051849999999999995,0.003477,0.000549,0.5775,-1.12,-3.5175000000000005,1.05240625,0.36090625,0.20828125,1.2800625,1.03275,-0.13453125,-0.2325,1.2600625,0.0205281592117104,0.018189672959867946,True
61470,14382,0,14383,3865.0,42290.0,40003.0,0.000244,-0.0006709999999999999,0.00183,0.49000000000000005,-1.54,-3.7625,1.0488125,0.36271875000000003,0.2084375,1.280375,1.02225,-0.12809375,-0.23309375000000002,1.2571875000000001,0.020341950967427753,0.018220176695350757,True
61471,14383,0,14384,3866.0,42289.0,40001.0,0.001769,-0.0048189999999999995,0.001403,0.4025,-1.6625,-3.7800000000000002,1.0495625,0.361875,0.21028125,1.2815625,1.02334375,-0.13153125000000002,-0.23646875,1.27190625,0.020446537142146753,0.018432965817266594,True
61472,14384,0,14385,3867.0,42292.0,40002.0,0.001037,-0.006039,0.000122,0.22750000000000004,-1.6450000000000002,-3.7625,1.05759375,0.35928125,0.20875,1.2809375,1.03609375,-0.1326875,-0.23684375,1.26003125,0.02038599099250757,0.01838497432240945,True
61473,14385,0,14386,3868.0,42291.0,40004.0,-0.000549,-0.004697,-0.0018909999999999999,0.22750000000000004,-1.33,-3.5525,1.0453125,0.3673125,0.20815625000000001,1.27028125,1.01721875,-0.13075,-0.23121875,1.2706875,0.020640158304238366,0.018132600119422387,True
61474,14386,0,14387,3866.0,42288.0,40000.0,-0.004148,-0.0015249999999999999,-0.003965,0.28,-0.9100000000000001,-3.535,1.0628125,0.3505625,0.21431250000000002,1.2705312500000001,1.03459375,-0.1250625,-0.23271875,1.25628125,0.01971497483167142,0.018447424517729773,True
61475,14387,0,14388,3863.0,42287.0,39995.0,-0.0032329999999999998,0.004575,0.0051849999999999995,0.7525000000000001,-1.1025,-3.7625,1.0354375,0.36934375,0.20940625000000002,1.2994375,1.02965625,-0.13671875,-0.24009375,1.2571875000000001,0.020966499433565305,0.018543657653964315,True
61476,14388,0,14389,3861.0,42286.0,39987.0,-0.002806,-0.002806,0.012627,0.6300000000000001,-1.5925000000000002,-4.0075,1.0581562500000001,0.36425,0.21381250000000002,1.27,1.01771875,-0.13140625,-0.23103125,1.2669062500000001,0.02053988254414307,0.01835843243361753,True
61477,14389,0,14390,3859.0,42283.0,39985.0,-0.002562,-0.011833999999999999,0.0042699999999999995,-0.052500000000000005,-1.6625,-3.9375000000000004,1.036125,0.36612500000000003,0.2149375,1.26859375,1.03115625,-0.13284375,-0.238625,1.27178125,0.020675920134774838,0.018712385706697473,True
61478,14390,0,14391,3857.0,42281.0,39980.0,-0.003294,-0.016897,-0.006344,-0.6475000000000001,-1.2950000000000002,-3.5700000000000003,1.0363437500000001,0.3705,0.21181250000000001,1.27315625,1.03046875,-0.13215625,-0.231,1.256,0.02082931358444192,0.018274627543229748,True
61479,14391,0,14392,3854.0,42281.0,39977.0,-0.002806,-0.0053679999999999995,-0.02318,-0.4025,-0.8400000000000001,-3.2375000000000003,1.03709375,0.36521875,0.214,1.270125,1.01765625,-0.1309375,-0.23153125,1.2654375,0.02056100182597547,0.01838642574434911,True
61480,14392,0,14393,3851.0,42279.0,39977.0,0.000488,0.021533,-0.000915,1.5225000000000002,-1.5750000000000002,-3.5000000000000004,1.03690625,0.36675,0.21581250000000002,1.27953125,1.0268125000000001,-0.12834375,-0.2339375,1.26428125,0.02051917674622818,0.01855868448946854,True
61481,14393,0,14394,3849.0,42279.0,39975.0,0.008539999999999999,0.022203999999999998,0.017506999999999998,1.995,-3.2550000000000003,-4.2175,1.0560625000000001,0.3585625,0.2023125,1.2990625,1.0285312500000001,-0.1371875,-0.23671875,1.25971875,0.020538846955553542,0.018114302291847982,True
61482,14394,0,14395,3847.0,42277.0,39970.0,0.019093,0.016226,0.020801,1.54,-4.7075000000000005,-5.022500000000001,1.06896875,0.34865625,0.2053125,1.27921875,1.02078125,-0.13259375,-0.2339375,1.26015625,0.019941909476680265,0.01812540780878056,True
61483,14395,0,14396,3847.0,42273.0,39971.0,0.023912,0.0032329999999999998,0.020618,0.8400000000000001,-5.32,-5.11,1.0434375,0.36275,0.2108125,1.26875,1.02190625,-0.13190625,-0.23043750000000002,1.2610000000000001,0.020498018054417064,0.018210566771648264,True
61484,14396,0,14397,3844.0,42271.0,39968.0,0.019703,-0.004575,0.012199999999999999,0.2625,-4.2700000000000005,-4.812500000000001,1.041125,0.36515625,0.21359375,1.28246875,1.01603125,-0.12687500000000002,-0.236625,1.26590625,0.02039349273372536,0.018575967157143373,True
61485,14397,0,14398,3845.0,42269.0,39966.0,-0.014701,-0.011407,-0.010309,-0.17500000000000002,0.15750000000000003,-3.1325000000000003,1.05821875,0.36246875,0.21134375,1.2769375,1.0305625,-0.1333125,-0.23353125,1.2595625,0.02054343969564891,0.018357828061067248,True
61486,14398,0,14399,3845.0,42269.0,39968.0,-0.028364999999999998,-0.014091,-0.014579,-0.43750000000000006,1.8900000000000001,-2.5025000000000004,1.048875,0.358875,0.207375,1.28609375,1.02159375,-0.13353125,-0.23384375000000002,1.26465625,0.020403406567366722,0.018206717619857562,True
61487,14399,0,14400,3844.0,42269.0,39965.0,-0.031842,-0.014518,-0.016104,-0.6300000000000001,2.2225,-2.45,1.05159375,0.36212500000000003,0.2095,1.28078125,1.026875,-0.1281875,-0.23375,1.2593125,0.02032114927820418,0.01829060710785578,True
61488,14400,0,14401,3846.0,42272.0,39964.0,-0.024949,-0.011407,-0.013054,-0.7000000000000001,1.3475000000000001,-2.6425,1.05525,0.35915625,0.20559375,1.28375,1.0261875,-0.13603125,-0.23475000000000001,1.262,0.020516525474750535,0.018169931606474177,True
61489,14401,0,14402,3847.0,42275.0,39969.0,-0.010675,-0.005612,-0.008479,-0.3325,-0.4025,-3.0975,1.04859375,0.36165625,0.21009375,1.28584375,1.0225625,-0.13046875,-0.233625,1.264,0.02039434066111957,0.018310044411432462,True
61490,14402,0,14403,3846.0,42279.0,39974.0,0.016836,0.013297999999999999,0.0048189999999999995,0.9275000000000001,-3.7275000000000005,-4.2175,1.05625,0.35981250000000004,0.20803125,1.28021875,1.02728125,-0.13543750000000002,-0.22871875,1.25871875,0.020519619750004537,0.01802612859996982,True
61491,14403,0,14404,3847.0,42277.0,39976.0,0.021899,0.017385,0.010309,1.3125000000000002,-4.7075000000000005,-4.4275,1.04890625,0.361375,0.21590625,1.2863437500000001,1.02171875,-0.1305,-0.23390625,1.2653125,0.020383953917241664,0.018561287452368517,True
61492,14404,0,14405,3848.0,42279.0,39974.0,0.022692,0.013847,0.015616,1.3650000000000002,-4.812500000000001,-4.515000000000001,1.05671875,0.36625,0.2085625,1.28759375,1.0281875,-0.13565625,-0.23550000000000001,1.26559375,0.02079521869226158,0.018322811578056986,True
61493,14405,0,14406,3849.0,42278.0,39974.0,0.019703,0.0062829999999999995,0.016226,0.8225000000000001,-4.2700000000000005,-4.532500000000001,1.05340625,0.36178125,0.20865625000000002,1.2801875,1.02696875,-0.1325,-0.2341875,1.2595625,0.0204819745156946,0.018273513399201025,True
61494,14406,0,14407,3850.0,42277.0,39975.0,0.002928,-0.008967,-0.003721,0.12250000000000001,-3.1850000000000005,-4.2875000000000005,1.03975,0.3615,0.2100625,1.28021875,1.0155625,-0.13259375,-0.23321875,1.26025,0.020474125372454004,0.018292297633800712,True
61495,14407,0,14408,3850.0,42280.0,39975.0,-0.009637999999999999,-0.010431,-0.010553,-0.4025,0.052500000000000005,-3.2550000000000003,1.05096875,0.36234375,0.21128125,1.28565625,1.0225625,-0.13246875,-0.23640625,1.26621875,0.020504014948739963,0.018471694828931167,True
61496,14408,0,14409,3851.0,42282.0,39976.0,-0.019215,-0.005856,-0.014213,-0.31500000000000006,1.2775,-2.9050000000000002,1.0566875,0.359375,0.20521875,1.2865312500000001,1.0296875,-0.13484375,-0.2378125,1.26409375,0.02047739588121427,0.018278516264617527,True
61497,14409,0,14410,3851.0,42283.0,39979.0,-0.024461,-0.002257,-0.01098,-0.07,1.5050000000000001,-2.9050000000000002,1.0549375,0.35831250000000003,0.20615625,1.2861562500000001,1.02909375,-0.136125,-0.23700000000000002,1.26465625,0.020485372030514426,0.01828428642158683,True
61498,14410,0,14411,3852.0,42283.0,39978.0,-0.021106,-0.0006709999999999999,-0.006405,0.21000000000000002,1.0850000000000002,-3.115,1.05465625,0.35865625,0.2063125,1.2855,1.02803125,-0.13259375,-0.236125,1.2639375,0.020356286816455443,0.018255290398114386,True
61499,14411,0,14412,3853.0,42286.0,39980.0,-0.000793,0.0025009999999999998,0.0048189999999999995,0.31500000000000006,-1.5925000000000002,-3.8500000000000005,1.05696875,0.35971875000000003,0.207625,1.2869375,1.0289375,-0.13475,-0.234125,1.26390625,0.020487833932400376,0.018228427888359905,True
61500,14412,0,14413,3852.0,42290.0,39983.0,0.010797,0.0042699999999999995,0.007869,0.43750000000000006,-2.9225000000000003,-4.235,1.056125,0.36103125,0.2088125,1.28646875,1.02684375,-0.13453125,-0.23659375,1.2638125,0.02053333851263426,0.018377427727442105,True
61501,14413,0,14414,3853.0,42287.0,39982.0,0.017202,0.004209,0.008357,0.5950000000000001,-3.8150000000000004,-4.2175,1.054875,0.35928125,0.20696875,1.28684375,1.01615625,-0.133625,-0.23390625,1.264,0.0204240452895079,0.018192485992636866,True
61502,14414,0,14415,3854.0,42288.0,39982.0,0.019886,0.0021349999999999997,0.006954,0.5950000000000001,-3.9375000000000004,-4.305000000000001,1.04959375,0.35878125,0.21203125,1.28678125,1.0270625,-0.13334375,-0.2351875,1.26425,0.02039191108774556,0.01845328203051864,True
61503,14415,0,14416,3853.0,42285.0,39980.0,0.015921,-0.000244,0.003111,0.43750000000000006,-3.6400000000000006,-4.235,1.05746875,0.3590625,0.20896875,1.2862500000000001,1.0266250000000001,-0.13309375,-0.2344375,1.26521875,0.02039341723437344,0.018296535663350967,True
61504,14416,0,14417,3852.0,42286.0,39983.0,0.0006709999999999999,-0.004209,-0.004209,0.07,-1.4175000000000002,-3.6575,1.05546875,0.36015625,0.20553125,1.28,1.03046875,-0.1330625,-0.2366875,1.25296875,0.02043747037907021,0.018245841144752147,True
61505,14417,0,14418,3853.0,42284.0,39979.0,-0.006893,-0.0030499999999999998,-0.007625,0.035,-0.43750000000000006,-3.535,1.0535,0.359375,0.206375,1.28765625,1.02975,-0.135,-0.23740625,1.2729375,0.020483737310959187,0.018309766541128963,True
61506,14418,0,14419,3854.0,42285.0,39981.0,-0.012688,-0.00061,-0.0064659999999999995,0.12250000000000001,0.21000000000000002,-3.4125000000000005,1.05678125,0.35928125,0.207875,1.2800625,1.027375,-0.138375,-0.2390625,1.25446875,0.020616808297990234,0.018438728808096435,True
61507,14419,0,14420,3853.0,42286.0,39981.0,-0.01464,0.001464,-0.0032329999999999998,0.21000000000000002,0.3325,-3.22,1.04890625,0.3621875,0.2081875,1.28040625,1.02125,-0.1315,-0.233125,1.25396875,0.02045821851107474,0.018211126299228844,True
61508,14420,0,14421,3853.0,42285.0,39982.0,-0.013115,0.002745,0.00122,0.47250000000000003,-0.052500000000000005,-3.3950000000000005,1.0484375,0.36262500000000003,0.20975,1.2798125,1.01571875,-0.1293125,-0.23168750000000002,1.2545,0.02038754730372032,0.018217365175248322,True
61509,14421,0,14422,3852.0,42282.0,39977.0,0.0006709999999999999,0.0032329999999999998,0.006527,0.45500000000000007,-1.61,-3.8325000000000005,1.05046875,0.36165625,0.20703125,1.28528125,1.01571875,-0.13203125,-0.2358125,1.2730000000000001,0.020457768137524684,0.01827228816859348,True
