frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
44076,109185,0,109186,4105.0,42035.0,30064.0,0.0011589999999999999,-0.000305,-0.000305,0.35000000000000003,-2.1175,-3.5875000000000004,1.02346875,0.28584375,0.273625,1.3166875,0.9818125,-0.23559375000000002,-0.22140625,1.28640625,0.02151535899548572,0.02043775843939697,True
44077,109186,0,109187,4105.0,42033.0,30063.0,-0.00042699999999999997,-0.000366,-0.002745,0.42000000000000004,-2.1350000000000002,-3.6575,1.03046875,0.28350000000000003,0.267625,1.31646875,1.00421875,-0.21887500000000001,-0.2365625,1.2921875,0.020743118745193575,0.020802764418427735,True
44078,109187,0,109188,4106.0,42034.0,30060.0,-0.001586,-0.000366,-0.0026839999999999998,0.45500000000000007,-2.1525000000000003,-3.7450000000000006,1.0230000000000001,0.28021875,0.2675625,1.316875,0.978,-0.2248125,-0.2336875,1.29159375,0.02084768457960201,0.020684016825751342,True
44079,109188,0,109189,4104.0,42033.0,30062.0,0.0018909999999999999,0.000549,0.004941,0.5425000000000001,-1.7675,-3.7275000000000005,1.02284375,0.28209375000000003,0.27103125,1.3179375,0.9788125,-0.2305,-0.2264375,1.2846250000000001,0.021154897752832177,0.020534127231872208,True
44080,109189,0,109190,4104.0,42033.0,30059.0,-0.0011589999999999999,0.000366,0.003843,0.45500000000000007,-1.715,-3.7975000000000003,1.02971875,0.28253125,0.2685625,1.3151875,1.0014687500000001,-0.22137500000000002,-0.2255,1.29490625,0.020804196706421498,0.02039431590679243,True
44081,109190,0,109191,4104.0,42032.0,30060.0,-0.002196,0.0008539999999999999,-0.000793,0.42000000000000004,-1.5575,-3.7975000000000003,1.02234375,0.28378125,0.26796875000000003,1.32096875,0.993125,-0.2218125,-0.22843750000000002,1.2985312500000001,0.020873489545838075,0.020488578762043574,True
44082,109191,0,109192,4104.0,42033.0,30060.0,-0.001647,0.0034159999999999998,-0.002379,0.47250000000000003,-1.1375000000000002,-3.7450000000000006,1.023125,0.2810625,0.26937500000000003,1.31703125,0.9969375,-0.22234375,-0.22793750000000002,1.30078125,0.020782722563748607,0.020526406756662636,True
44083,109192,0,109193,4103.0,42034.0,30060.0,-0.00366,-0.000793,-0.001098,0.49000000000000005,-0.8400000000000001,-3.5525,1.02265625,0.2805,0.271,1.31646875,0.99075,-0.21734375,-0.229625,1.2867187500000001,0.020557322683252575,0.02066168997662985,True
44084,109193,0,109194,4103.0,42034.0,30060.0,-0.002257,-0.003355,-0.00183,0.14,-0.805,-3.4650000000000003,1.025875,0.288375,0.27475,1.3215000000000001,0.9919375,-0.22409375,-0.22765625,1.29540625,0.021155332178319365,0.02073689030485563,True
44085,109194,0,109195,4103.0,42034.0,30058.0,0.000366,-0.00061,-0.000488,0.28,-0.7350000000000001,-3.6225000000000005,1.02278125,0.28171875,0.27121875,1.3160625000000001,0.98821875,-0.222,-0.231375,1.2945625,0.02079591899925687,0.020741445749570545,True
