frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
11533,168079,0,168080,3923.0,43288.0,30261.0,0.001098,-0.000793,-0.001281,0.36750000000000005,-2.1,-3.7800000000000002,1.130625,0.11175,-0.19884375,1.30490625,1.07675,-0.41040625000000003,-0.98428125,1.2414375,0.021390723474747575,0.031437266181111374,True
11534,168080,0,168081,3924.0,43287.0,30261.0,0.001647,-0.000732,-0.0013419999999999999,0.35000000000000003,-2.1525000000000003,-3.8325000000000005,1.1231875,0.11621875,-0.1914375,1.2884375000000001,1.08109375,-0.40909375000000003,-0.9808125,1.23753125,0.02152117999055168,0.03159925242623714,True
11535,168081,0,168082,3923.0,43287.0,30259.0,0.002074,-0.000366,6.1e-05,0.35000000000000003,-2.1,-3.7800000000000002,1.12003125,0.11565625,-0.19593750000000001,1.30771875,1.0765,-0.40846875,-0.980625,1.23828125,0.02147307991206945,0.03141184417923891,True
11536,168082,0,168083,3921.0,43291.0,30260.0,0.0018909999999999999,0.000244,0.0023179999999999997,0.525,-1.8725000000000003,-3.7100000000000004,1.1210625,0.11521875000000001,-0.1930625,1.295125,1.08040625,-0.40159375,-0.97990625,1.23475,0.02117945677216268,0.03149906737540298,True
11537,168083,0,168084,3922.0,43283.0,30260.0,-0.0011589999999999999,0.0008539999999999999,-0.0023179999999999997,0.47250000000000003,-1.12,-3.8325000000000005,1.13278125,0.11103125,-0.194,1.295375,1.07634375,-0.40871875,-0.9790625000000001,1.238375,0.021293620747709262,0.031428821638121926,True
11538,168084,0,168085,3921.0,43287.0,30259.0,-0.002928,-0.00042699999999999997,-0.003538,0.45500000000000007,-0.36750000000000005,-3.7450000000000006,1.11978125,0.11528125,-0.19615625,1.30265625,1.07646875,-0.40921875,-0.9800625000000001,1.236875,0.021487783176182152,0.031381276568063034,True
11539,168085,0,168086,3923.0,43284.0,30260.0,-0.004941,0.0011589999999999999,0.004331,0.36750000000000005,0.49000000000000005,-3.6400000000000006,1.1260625,0.11540625,-0.192625,1.2969375,1.0804375,-0.4000625,-0.980125,1.23471875,0.02112571432962518,0.03152506242462758,True
11540,168086,0,168087,3920.0,43283.0,30259.0,-0.010187,-0.000122,0.005307,0.385,0.77,-3.6575,1.12259375,0.1188125,-0.19390625,1.290875,1.07746875,-0.40821875,-0.98046875,1.23521875,0.02159236834928809,0.031487099296325254,True
11541,168087,0,168088,3920.0,43286.0,30261.0,-0.015493999999999999,0.0008539999999999999,0.0006709999999999999,0.385,0.385,-3.5700000000000003,1.12975,0.11146875,-0.195625,1.29765625,1.08025,-0.41103125,-0.98290625,1.23578125,0.021404257552617732,0.031512796874863185,True
11542,168088,0,168089,3922.0,43288.0,30266.0,-0.003965,0.001769,0.001403,0.5075000000000001,-2.7300000000000004,-3.7450000000000006,1.12253125,0.114625,-0.19353125000000002,1.30440625,1.0775000000000001,-0.4086875,-0.98153125,1.25515625,0.021439600142367343,0.03154330261480669,True
11543,168089,0,168090,3923.0,43292.0,30268.0,0.011773,0.001403,0.001098,0.29750000000000004,-4.2175,-3.9375000000000004,1.1289375,0.11496875000000001,-0.18803125,1.29184375,1.08190625,-0.4079375,-0.98075,1.2311875,0.021423614756470106,0.03173318455210512,True
11544,168090,0,168091,3924.0,43296.0,30273.0,0.024522,-0.0015249999999999999,-0.003355,0.0,-5.285,-4.112500000000001,1.12584375,0.11621875,-0.19696875,1.30521875,1.10384375,-0.41809375,-0.9839375,1.242375,0.02188182687274677,0.03149898809985416,True
11545,168091,0,168092,3923.0,43300.0,30277.0,0.030683,-0.002562,-0.007137,-0.28,-5.1275,-4.235,1.122125,0.1149375,-0.18790625,1.29321875,1.0641875,-0.40525,-0.9754375000000001,1.240375,0.02131457370852583,0.031532230416384095,True
11546,168092,0,168093,3924.0,43301.0,30275.0,0.02745,-0.0050019999999999995,-0.007137,-0.43750000000000006,-3.7450000000000006,-4.112500000000001,1.1213125,0.11490625,-0.19371875,1.2895625,1.08046875,-0.40471875,-0.97596875,1.22453125,0.021291988869980318,0.0313201064523273,True
11547,168093,0,168094,3925.0,43297.0,30274.0,-0.0030499999999999998,-0.00244,0.000549,-0.17500000000000002,0.665,-3.5525,1.12321875,0.1145625,-0.19321875,1.29865625,1.0694062500000001,-0.4058125,-0.97509375,1.2238437500000001,0.021321765050845983,0.03130618879058262,True
11548,168094,0,168095,3925.0,43294.0,30272.0,-0.020313,0.0,0.0048189999999999995,0.12250000000000001,2.765,-3.3775000000000004,1.11825,0.115125,-0.19340625,1.29878125,1.06303125,-0.40465625,-0.9734375000000001,1.22465625,0.02129844586522295,0.031234436588875685,True
11549,168095,0,168096,3925.0,43292.0,30273.0,-0.031415,0.002745,0.006161,0.49000000000000005,3.7625,-3.1850000000000005,1.113875,0.12165625000000001,-0.196875,1.3035625,1.05703125,-0.409375,-0.991125,1.25571875,0.02175521700166432,0.03178128235523611,True
11550,168096,0,168097,3926.0,43291.0,30271.0,-0.034709,0.005307,0.005307,0.6825000000000001,3.7100000000000004,-3.22,1.1184687500000001,0.11471875000000001,-0.19378125000000002,1.2981562500000001,1.1016875,-0.4130625,-0.9830625000000001,1.2444375,0.02161880550627354,0.03159265402310065,True
11551,168097,0,168098,3928.0,43291.0,30275.0,-0.027206,0.005795,0.0034159999999999998,0.7175,2.5025000000000004,-3.3600000000000003,1.1219375,0.11465625,-0.19315625,1.29734375,1.062625,-0.40750000000000003,-0.97778125,1.22484375,0.021393270511113387,0.03141291823107787,True
11552,168098,0,168099,3927.0,43293.0,30277.0,0.004331,0.0015249999999999999,0.000183,0.15750000000000003,-1.54,-3.6750000000000003,1.1128125,0.1155,-0.19325,1.29925,1.06365625,-0.40503125,-0.9735312500000001,1.2443125,0.021328849968180227,0.03124432993431796,True
11553,168099,0,168100,3927.0,43295.0,30279.0,0.016836,-0.00183,-0.0025009999999999998,-0.1925,-3.2725000000000004,-3.9200000000000004,1.11796875,0.1135625,-0.19496875,1.295875,1.08653125,-0.40828125,-0.9851562500000001,1.24253125,0.021379782732551065,0.03162627810262344,True
11554,168100,0,168101,3930.0,43301.0,30284.0,0.02562,-0.004148,-0.008052,-0.35000000000000003,-4.0425,-3.99,1.12825,0.11021875,-0.19775,1.300375,1.086,-0.417125,-0.9803437500000001,1.2291875,0.021597290835837554,0.03132838194030057,True
11555,168101,0,168102,3931.0,43302.0,30285.0,0.024827,-0.0046359999999999995,-0.00488,-0.3325,-4.095000000000001,-3.9725000000000006,1.12278125,0.11415625,-0.1903125,1.300125,1.0645625,-0.4073125,-0.9801875,1.2348125,0.02136526706903925,0.031620058896675615,True
11556,168102,0,168103,3934.0,43304.0,30286.0,0.019459,-0.0035989999999999998,-0.000183,-0.35000000000000003,-3.3600000000000003,-3.8675,1.127375,0.113375,-0.196125,1.30446875,1.07115625,-0.40928125,-0.98353125,1.24296875,0.0214121933639484,0.03151701183154403,True
11557,168103,0,168104,3936.0,43306.0,30286.0,0.001769,-0.000915,-0.002013,-0.2625,0.3325,-3.7100000000000004,1.12890625,0.11559375000000001,-0.19309375,1.29821875,1.08403125,-0.41115625,-0.97721875,1.2308125,0.02157824867472224,0.03139360742476582,True
11558,168104,0,168105,3933.0,43305.0,30285.0,-0.008479,-0.000183,0.000122,0.0,1.8550000000000002,-3.5525,1.12346875,0.11503125,-0.19246875,1.2980625000000001,1.0750625,-0.40815625,-0.979375,1.2351875,0.021434945542025526,0.03150223934746166,True
11559,168105,0,168106,3935.0,43304.0,30286.0,-0.017811999999999998,0.0021349999999999997,0.0044529999999999995,0.35000000000000003,2.8350000000000004,-3.3075,1.12296875,0.11421875000000001,-0.1935625,1.29359375,1.0733125000000001,-0.40815625,-0.980375,1.2356562500000001,0.021401657488979733,0.031497225321877674,True
11560,168106,0,168107,3937.0,43300.0,30286.0,-0.02257,0.0042699999999999995,0.0059169999999999995,0.49000000000000005,3.0975,-3.3075,1.12375,0.11409375000000001,-0.19590625,1.30075,1.0771875,-0.41028125,-0.98265625,1.24234375,0.021481727089891683,0.031491847469181745,True
11561,168107,0,168108,3937.0,43297.0,30284.0,-0.022021,0.003843,0.0048189999999999995,0.5425000000000001,2.5725000000000002,-3.3950000000000005,1.12078125,0.1155625,-0.19325,1.2985312500000001,1.08365625,-0.4131875,-0.9814375000000001,1.242,0.021658376236204303,0.03155092656297301,True
11562,168108,0,168109,3938.0,43296.0,30284.0,-0.0066489999999999995,0.0017079999999999999,0.0015249999999999999,0.21000000000000002,-0.24500000000000002,-3.6225000000000005,1.1231875,0.11575,-0.19275,1.29790625,1.07828125,-0.40840625,-0.9794375000000001,1.2286875,0.021474415192511802,0.031493403324234184,True
11563,168109,0,168110,3938.0,43298.0,30287.0,0.003843,-0.0017079999999999999,-6.1e-05,0.07,-1.8725000000000003,-3.8325000000000005,1.123125,0.11446875000000001,-0.19315625,1.3011875,1.0771875,-0.40859375000000003,-0.9803437500000001,1.2335,0.021429440194603588,0.03151227652741968,True
11564,168110,0,168111,3940.0,43302.0,30291.0,0.012261,-0.0032329999999999998,-0.003294,-0.22750000000000004,-3.0275000000000003,-3.7975000000000003,1.12734375,0.10975,-0.19759375,1.31615625,1.0728125,-0.40878125,-0.980125,1.2353750000000001,0.021243635423214748,0.03132615429266267,True
11565,168111,0,168112,3941.0,43305.0,30297.0,0.01525,-0.0050019999999999995,-0.0051849999999999995,-0.43750000000000006,-3.5525,-3.8500000000000005,1.14490625,0.109125,-0.19271875,1.2862500000000001,1.07653125,-0.4100625,-0.98078125,1.2366875,0.02126940477927904,0.031546751565265804,True
11566,168112,0,168113,3943.0,43307.0,30299.0,0.013054,-0.001586,-0.002257,-0.2625,-3.3425000000000002,-3.9200000000000004,1.13909375,0.117125,-0.19115625,1.2923437500000001,1.07715625,-0.41065625,-0.98184375,1.23640625,0.021620936553067883,0.03165048616557775,True
11567,168113,0,168114,3945.0,43307.0,30300.0,0.008418,-0.000183,-0.0015249999999999999,0.10500000000000001,-1.9600000000000002,-3.8325000000000005,1.1199375,0.10884375,-0.19865625,1.30984375,1.076125,-0.408625,-0.98021875,1.23715625,0.021200241717835397,0.03128725604134271,True
11568,168114,0,168115,3946.0,43309.0,30302.0,0.001647,0.001281,0.000488,0.31500000000000006,-0.9450000000000001,-3.7275000000000005,1.1176875,0.116875,-0.19015625,1.2923125,1.08415625,-0.4119375,-0.98178125,1.2435625000000001,0.021662045464437226,0.03168809269755334,True
11569,168115,0,168116,3946.0,43310.0,30300.0,-0.0064659999999999995,0.0025009999999999998,0.001403,0.525,-0.07,-3.535,1.11521875,0.115625,-0.19146875,1.29296875,1.08228125,-0.40815625,-0.97896875,1.23271875,0.021459271426943604,0.03152652168636866,True
11570,168116,0,168117,3947.0,43310.0,30302.0,-0.009577,0.0032329999999999998,0.00183,0.6125,0.385,-3.6050000000000004,1.13090625,0.109875,-0.19425,1.29496875,1.0764375,-0.40850000000000003,-0.980625,1.2433750000000001,0.021237478747157753,0.03147939653231254,True
11571,168117,0,168118,3949.0,43313.0,30304.0,-0.0060999999999999995,0.0017079999999999999,0.001647,0.36750000000000005,0.49000000000000005,-3.535,1.1142812500000001,0.11709375,-0.1831875,1.29221875,1.08375,-0.4106875,-0.9833125,1.2345,0.0216209088744428,0.03202637760705271,True
11572,168118,0,168119,3951.0,43311.0,30303.0,-0.004575,0.000976,-0.000549,0.21000000000000002,0.31500000000000006,-3.4475000000000002,1.113125,0.112375,-0.19618750000000001,1.31225,1.076875,-0.408875,-0.9798125,1.23515625,0.021354937497119388,0.031370331542720745,True
11573,168119,0,168120,3952.0,43311.0,30304.0,-0.0023179999999999997,-0.001098,0.002928,0.0175,-0.15750000000000003,-3.43,1.13678125,0.10496875,-0.20096875,1.312375,1.07590625,-0.40940625,-0.9799375,1.23521875,0.021072819008041213,0.031183774979420986,True
