frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
52946,22156,0,22157,3623.0,38406.0,28058.0,-0.0011589999999999999,-0.000122,-0.00122,0.22750000000000004,-0.24500000000000002,-4.130000000000001,1.1043125,0.24490625,0.291625,1.39815625,1.06803125,-0.251625,-0.25625,1.385,0.02047414348523037,0.02258696212316413,True
52947,22157,0,22158,3625.0,38407.0,28057.0,-0.0018909999999999999,-0.0021349999999999997,-0.00183,0.10500000000000001,-0.45500000000000007,-4.0600000000000005,1.1039375,0.24775,0.29071875,1.394375,1.0684375,-0.254375,-0.2510625,1.359875,0.0207024505888113,0.02234051600831923,True
52948,22158,0,22159,3622.0,38408.0,28057.0,-0.002257,-0.003355,-0.0042699999999999995,0.035,-0.665,-4.095000000000001,1.1121875,0.2459375,0.287875,1.39425,1.0596875000000001,-0.25440625,-0.25853125,1.38975,0.020628983651166475,0.02252429235591087,True
52949,22159,0,22160,3621.0,38410.0,28057.0,-0.000732,-0.0006709999999999999,-0.003843,0.052500000000000005,-0.6475000000000001,-4.1825,1.104125,0.24759375,0.290625,1.39878125,1.0584375,-0.24840625,-0.245875,1.36271875,0.020454952580646408,0.022127475292188874,True
52950,22160,0,22161,3620.0,38407.0,28056.0,-0.000366,0.001281,-0.002013,0.1925,-0.45500000000000007,-4.077500000000001,1.11140625,0.24428125,0.29,1.39034375,1.075375,-0.2615,-0.26140625,1.3729375,0.02084707252230901,0.022727711836571716,True
52951,22161,0,22162,3617.0,38410.0,28055.0,0.001403,0.0066489999999999995,0.004697,0.47250000000000003,-0.31500000000000006,-4.305000000000001,1.10453125,0.24765625,0.2901875,1.393875,1.067,-0.2511875,-0.25,1.36228125,0.02056986900126025,0.02227577319587629,True
52952,22162,0,22163,3617.0,38407.0,28053.0,0.002989,0.0073809999999999995,0.0066489999999999995,0.42000000000000004,-0.22750000000000004,-4.4625,1.10515625,0.24575,0.29,1.3955312500000001,1.0543125,-0.25390625,-0.26021875,1.36640625,0.02060106297310356,0.022679875877046656,True
52953,22163,0,22164,3617.0,38410.0,28049.0,0.0037819999999999998,0.0050019999999999995,0.002257,0.35000000000000003,-0.31500000000000006,-4.532500000000001,1.1104687500000001,0.24528125,0.28946875,1.38725,1.043,-0.25965625000000003,-0.2623125,1.3706562500000001,0.020813876948483145,0.02274231897722033,True
52954,22164,0,22165,3614.0,38407.0,28049.0,0.003477,0.002928,0.002257,0.17500000000000002,-0.08750000000000001,-4.69,1.103625,0.24528125,0.2874375,1.3951875,1.0458125,-0.24840625,-0.25171875,1.3931875,0.02035958548822152,0.022231671724297894,True
52955,22165,0,22166,3614.0,38407.0,28049.0,0.0011589999999999999,-0.001281,0.0021349999999999997,0.035,0.2625,-4.83,1.10478125,0.24853125,0.28759375,1.39271875,1.06946875,-0.249875,-0.249375,1.38059375,0.020552940994541212,0.022143611948761566,True
52956,22166,0,22167,3614.0,38407.0,28049.0,-0.0057339999999999995,-0.008418,-0.003904,-0.22750000000000004,0.9800000000000001,-5.022500000000001,1.104125,0.24778125,0.29109375,1.399,1.05875,-0.24884375,-0.2461875,1.37878125,0.020480357955211782,0.022159411660080577,True
52957,22167,0,22168,3611.0,38408.0,28049.0,-0.0042699999999999995,-0.005795,-0.00549,-0.14,1.12,-5.1625000000000005,1.111375,0.24525,0.2906875,1.39425,1.08215625,-0.2618125,-0.251,1.3642812500000001,0.020899613332680728,0.02233670776462826,True
52958,22168,0,22169,3612.0,38407.0,28048.0,-0.0053679999999999995,-0.003477,-0.0048189999999999995,-0.035,1.5050000000000001,-4.987500000000001,1.10471875,0.24478125,0.28865625,1.3949375,1.0628125,-0.25428125,-0.25290625,1.37059375,0.020576264242008823,0.022329798104093194,True
52959,22169,0,22170,3613.0,38406.0,28047.0,-0.007137,-0.000366,-0.0013419999999999999,0.14,1.7325000000000002,-4.9175,1.1041875,0.24746875000000002,0.29015625,1.39915625,1.06753125,-0.25271875,-0.251625,1.3808125,0.02062397643563157,0.02233999783519661,True
52960,22170,0,22171,3612.0,38406.0,28046.0,-0.006588,6.1e-05,-0.0013419999999999999,0.29750000000000004,1.4525000000000001,-4.987500000000001,1.109625,0.24690625,0.28990625000000003,1.39353125,1.068375,-0.25303125,-0.25184375000000003,1.37215625,0.020613402706105035,0.022338507768094956,True
52961,22171,0,22172,3612.0,38403.0,28044.0,-0.000976,0.002562,-0.002013,0.1925,0.12250000000000001,-4.812500000000001,1.1049375000000001,0.2471875,0.2870625,1.396375,1.07290625,-0.2550625,-0.253625,1.3744687500000001,0.02070701734947086,0.02229305928495225,True
