frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
24511,251,0,252,3166.0,35541.0,26203.0,-0.0023179999999999997,-0.006588,-0.0017079999999999999,-0.12250000000000001,-1.5050000000000001,-4.025,0.9275625000000001,0.03546875,-0.07125000000000001,1.11521875,0.84465625,-0.47628125,-0.64303125,1.03865625,0.020907996389361642,0.02320255346022012,True
24512,252,0,253,3167.0,35542.0,26205.0,0.003355,-0.000122,-0.002013,0.29750000000000004,-1.8725000000000003,-4.0425,0.92825,0.03546875,-0.06834375,1.115125,0.844,-0.48096875,-0.6423125000000001,1.04846875,0.021095468291057722,0.023292000294209404,True
24513,253,0,254,3168.0,35545.0,26210.0,0.0071979999999999995,0.004941,-0.000915,0.6825000000000001,-1.9600000000000002,-4.1825,0.92503125,0.0369375,-0.0715625,1.1087500000000001,0.84325,-0.48078125,-0.6372187500000001,1.04896875,0.02114796683622995,0.02295941988175918,True
24514,254,0,255,3167.0,35545.0,26210.0,0.0077469999999999995,0.009271999999999999,0.000549,0.8400000000000001,-2.0825,-4.0425,0.91328125,0.04221875,-0.06784375000000001,1.100625,0.84165625,-0.48,-0.64328125,1.04484375,0.021332465277777775,0.023350685087847222,True
24515,255,0,256,3168.0,35544.0,26210.0,0.009271999999999999,0.008296,0.0028669999999999998,0.805,-1.9775000000000003,-4.130000000000001,0.912,0.0410625,-0.0675625,1.1001875,0.8433125,-0.48115625,-0.63925,1.0491875,0.021331457741094233,0.023202309323538662,True
24516,256,0,257,3165.0,35544.0,26209.0,0.009028,0.003355,0.0050019999999999995,0.42000000000000004,-1.2950000000000002,-4.095000000000001,0.911375,0.0403125,-0.067125,1.092625,0.84596875,-0.48334375,-0.64003125,1.04684375,0.021388265236442636,0.023251035852480912,True
24517,257,0,258,3166.0,35543.0,26210.0,0.0064659999999999995,-0.00042699999999999997,0.0023179999999999997,0.49000000000000005,-0.5775,-4.0075,0.914875,0.0379375,-0.07459375,1.114,0.84946875,-0.48171875000000003,-0.645,1.0501562500000001,0.021226297683858496,0.023144907689186447,True
24518,258,0,259,3165.0,35544.0,26209.0,0.00061,0.000122,-0.00183,0.28,0.12250000000000001,-4.095000000000001,0.9148125,0.035375000000000004,-0.0718125,1.109125,0.84521875,-0.48071875000000003,-0.6434062500000001,1.04809375,0.02108164205758869,0.023194591859637913,True
24519,259,0,260,3164.0,35543.0,26210.0,-0.0034159999999999998,-0.002745,-0.005673,0.31500000000000006,0.8400000000000001,-4.112500000000001,0.91678125,0.0424375,-0.06740625,1.10025,0.845,-0.48,-0.64334375,1.04871875,0.02134140114379085,0.02337091532069385,True
24520,260,0,261,3162.0,35544.0,26208.0,-0.006954,-0.003172,-0.0068319999999999995,0.22750000000000004,1.54,-4.235,0.91309375,0.0404375,-0.06946875,1.1086562500000001,0.84796875,-0.48231250000000003,-0.6451250000000001,1.05134375,0.021352149638642185,0.023357814172174012,True
24521,261,0,262,3163.0,35543.0,26211.0,-0.008905999999999999,-0.002257,-0.00122,0.45500000000000007,2.2225,-4.2875000000000005,0.9108437500000001,0.0370625,-0.06996875,1.0972187500000001,0.8460625,-0.4811875,-0.643625,1.04903125,0.021169316235170373,0.023278079016378475,True
24522,262,0,263,3165.0,35546.0,26208.0,-0.005063,0.0017079999999999999,-0.000366,0.6300000000000001,2.1875,-4.41,0.915375,0.041,-0.06996875,1.11,0.846375,-0.48181250000000003,-0.64578125,1.04840625,0.021355138636079334,0.023363532044657742,True
24523,263,0,264,3165.0,35545.0,26208.0,-0.005429,0.004941,0.000183,0.7525000000000001,2.1525000000000003,-4.357500000000001,0.915875,0.03809375,-0.07034375,1.10371875,0.8458125,-0.48009375,-0.6440625,1.0486875,0.021167708967617823,0.023280201874183688,True
24524,264,0,265,3163.0,35542.0,26208.0,-0.004575,0.0070149999999999995,0.002928,0.9625000000000001,1.8900000000000001,-4.4275,0.91540625,0.041375,-0.068,1.10253125,0.8455,-0.48181250000000003,-0.6442187500000001,1.0501562500000001,0.021370456129422608,0.02338149794259556,True
24525,265,0,266,3163.0,35544.0,26209.0,-0.005124,0.008662,0.002562,1.0850000000000002,1.61,-4.6725,0.9164375,0.04025,-0.06778125,1.1051875,0.87365625,-0.48940625,-0.6432187500000001,1.0405,0.021627974340945894,0.02335074430973024,True
24526,266,0,267,3163.0,35542.0,26208.0,-0.006405,0.000305,0.004026,0.56,0.7525000000000001,-4.6025,0.9233750000000001,0.0375,-0.06884375,1.10228125,0.8250625,-0.48178125,-0.64834375,1.0690625,0.021210925981948313,0.023510707489220246,True
24527,267,0,268,3163.0,35543.0,26210.0,-0.0053679999999999995,-0.0034159999999999998,0.004026,0.45500000000000007,-0.0175,-4.445,0.9116875,0.04025,-0.06996875,1.1106875,0.86909375,-0.4811875,-0.63084375,1.03784375,0.021299518252535746,0.022771245909917318,True
24528,268,0,269,3161.0,35543.0,26212.0,-0.004026,-0.004331,0.002379,0.36750000000000005,-0.77,-4.322500000000001,0.9148437500000001,0.04053125,-0.068375,1.10359375,0.8365625,-0.48375,-0.6528437500000001,1.0689375,0.02141343748404554,0.023707964725164826,True
24529,269,0,270,3162.0,35543.0,26213.0,-0.002745,-0.004575,0.000915,0.4025,-1.54,-4.130000000000001,0.915625,0.039906250000000004,-0.0690625,1.10253125,0.8629375,-0.4835,-0.642875,1.052625,0.021377917781362957,0.02328512805425503,True
24530,270,0,271,3164.0,35547.0,26215.0,-0.001952,-0.00366,-0.002196,0.36750000000000005,-2.1525000000000003,-4.0600000000000005,0.9164375,0.039875,-0.064375,1.10321875,0.8355312500000001,-0.4720625,-0.6449375,1.04840625,0.02091926252640128,0.023557069276398047,True
24531,271,0,272,3163.0,35547.0,26216.0,0.004331,-0.004331,-0.000183,0.24500000000000002,-3.43,-3.6225000000000005,0.917625,0.04084375,-0.0691875,1.09709375,0.84571875,-0.47575,-0.6365625,1.0565625,0.021106350162916353,0.02302979565432475,True
24532,272,0,273,3164.0,35547.0,26218.0,0.006893,-0.003172,-0.00042699999999999997,0.22750000000000004,-3.7975000000000003,-3.5875000000000004,0.9158125,0.04028125,-0.069375,1.1027500000000001,0.8393125,-0.48531250000000004,-0.6443125000000001,1.049375,0.021465674575319393,0.02332941931327969,True
24533,273,0,274,3164.0,35549.0,26218.0,0.004575,-0.001586,-0.000305,0.22750000000000004,-3.9725000000000006,-3.4650000000000003,0.9150625,0.042625,-0.0689375,1.1074375,0.8359062500000001,-0.48471875000000003,-0.6428125,1.03015625,0.02153766826502755,0.023287723347324905,True
24534,274,0,275,3163.0,35546.0,26219.0,0.002745,-0.0013419999999999999,-0.0015249999999999999,0.2625,-4.2700000000000005,-3.2900000000000005,0.92171875,0.0386875,-0.07184375,1.1104687500000001,0.8336250000000001,-0.47440625000000003,-0.63284375,1.03734375,0.020964502458563218,0.022774471583290098,True
24535,275,0,276,3163.0,35548.0,26223.0,0.0026839999999999998,0.0018909999999999999,-0.004941,0.29750000000000004,-4.7075000000000005,-3.4475000000000002,0.9244375,0.0384375,-0.0728125,1.10903125,0.83165625,-0.47715625,-0.63853125,1.03696875,0.02106428315176523,0.022960733505573715,True
