frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
46296,22541,0,22542,3543.0,38021.0,28231.0,-0.002745,0.0018909999999999999,-0.000793,0.5775,-1.5050000000000001,-3.8850000000000002,0.96034375,0.09753125,0.14840625,1.224875,0.93440625,-0.35321875,-0.372125,1.21225,0.018508847008159857,0.021357647312247086,True
46297,22542,0,22543,3542.0,38020.0,28235.0,0.000915,0.005856,-0.002623,0.8225000000000001,-1.8375000000000001,-3.7625,0.973875,0.105125,0.14278125,1.22528125,0.9329375,-0.353625,-0.3655,1.2135625,0.018837031448090374,0.020860694424493648,True
46298,22543,0,22544,3544.0,38023.0,28232.0,0.002989,0.0050019999999999995,-0.002745,0.6475000000000001,-1.995,-3.8325000000000005,0.9820625000000001,0.10025,0.1499375,1.23453125,0.93175,-0.3559375,-0.37196875,1.21665625,0.018730032461283824,0.02141420150967492,True
46299,22544,0,22545,3543.0,38021.0,28234.0,0.003965,0.005856,-0.003172,0.6475000000000001,-2.0125,-3.7625,0.9594375,0.092125,0.15040625,1.24415625,0.93215625,-0.35278125,-0.3741875,1.2040625,0.018269217196701097,0.021522512288871164,True
46300,22545,0,22546,3544.0,38025.0,28236.0,0.003721,0.004575,-0.0015249999999999999,0.6300000000000001,-1.8025000000000002,-3.6925000000000003,0.96865625,0.10134375,0.1423125,1.22521875,0.9394375,-0.3534375,-0.36940625,1.21496875,0.018674211802748586,0.020998408609155177,True
46301,22546,0,22547,3545.0,38025.0,28233.0,0.005124,0.0028669999999999998,-0.003477,0.525,-1.4875,-3.7450000000000006,0.9734375000000001,0.0924375,0.1485,1.22590625,0.9316875,-0.3535,-0.3730625,1.19928125,0.018311023056234214,0.021399136854467923,True
46302,22547,0,22548,3546.0,38025.0,28235.0,0.0048189999999999995,0.000549,-0.0026839999999999998,0.4025,-1.155,-3.9375000000000004,0.98478125,0.1044375,0.15153125,1.23709375,0.93234375,-0.35728125,-0.370875,1.2111875,0.018956087309621224,0.021435678858473483,True
46303,22548,0,22549,3546.0,38024.0,28237.0,0.003843,-0.001464,-0.001037,0.15750000000000003,-0.6300000000000001,-4.112500000000001,0.98503125,0.0993125,0.1514375,1.24409375,0.93559375,-0.35590625000000004,-0.37143750000000003,1.2118125,0.018690281746342328,0.021454417696945453,True
46304,22549,0,22550,3547.0,38027.0,28237.0,0.001098,-0.004941,0.001769,0.035,0.08750000000000001,-4.165,0.9649375,0.1015625,0.1441875,1.226375,0.93996875,-0.35478125,-0.3701875,1.2130625,0.018737337252823817,0.021106731329005986,True
46305,22550,0,22551,3549.0,38028.0,28238.0,-0.002562,-0.008723,0.004331,-0.17500000000000002,0.5775,-4.2525,0.9604375,0.09946875000000001,0.14728125,1.2263125,0.9325,-0.3535625,-0.37103125000000003,1.21828125,0.018602257883215238,0.021267565360000924,True
