frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
46251,449,0,450,3316.0,39718.0,29532.0,-0.006039,-0.000732,0.000732,0.5075000000000001,-1.1900000000000002,-3.3775000000000004,1.00296875,-0.00684375,-0.32425,1.1885937500000001,0.9323750000000001,-0.49996875,-1.11159375,1.1259375,0.02012757669333762,0.03135379449980151,True
46252,450,0,451,3312.0,39716.0,29528.0,0.002257,0.001037,-0.000549,0.22750000000000004,-2.2575000000000003,-3.535,1.0034375,-0.0066875,-0.32540625,1.1880625,0.9430625,-0.50071875,-1.1125625000000001,1.1258125,0.02016394927189636,0.0313451186034878,True
46253,451,0,452,3309.0,39716.0,29524.0,0.008845,0.002989,-0.007076,0.2625,-3.4125000000000005,-3.6400000000000006,1.0055625,-0.00571875,-0.32590625,1.18871875,0.94484375,-0.50103125,-1.11121875,1.13246875,0.02021598580671987,0.03127337258371818,True
46254,452,0,453,3304.0,39717.0,29523.0,0.020557,0.005978,-0.0042699999999999995,0.1925,-3.535,-3.9025000000000003,1.006,-0.009125,-0.324375,1.18953125,0.94371875,-0.501375,-1.11196875,1.13284375,0.020090709194892125,0.03136328170207682,True
46255,453,0,454,3298.0,39716.0,29521.0,0.018605,0.004758,-0.0044529999999999995,0.21000000000000002,-3.115,-3.9375000000000004,1.00459375,-0.00534375,-0.324125,1.19328125,0.9517187500000001,-0.49953125000000004,-1.11025,1.13525,0.020171304297913865,0.03130693641043,True
46256,454,0,455,3296.0,39711.0,29516.0,0.0018909999999999999,0.000488,0.0021349999999999997,0.12250000000000001,-1.225,-3.9550000000000005,1.00203125,-0.0051875,-0.327375,1.19271875,0.94834375,-0.49893750000000003,-1.11090625,1.13821875,0.020153935247191845,0.031202826461111895,True
46257,455,0,456,3290.0,39711.0,29514.0,-0.005246,-0.0006709999999999999,0.006161,0.17500000000000002,-0.5075000000000001,-4.0600000000000005,0.9940625000000001,-0.00346875,-0.32565625,1.18828125,0.9434375,-0.49784375000000003,-1.11415625,1.13240625,0.020180347505073786,0.031396635114906556,True
46258,456,0,457,3289.0,39709.0,29510.0,-0.007808,-0.000915,0.0035989999999999998,0.29750000000000004,-0.31500000000000006,-4.095000000000001,0.99265625,-0.00825,-0.32506250000000003,1.18796875,0.944125,-0.498125,-1.111,1.13115625,0.019996428298084037,0.03129853450678985,True
46259,457,0,458,3285.0,39706.0,29509.0,-0.007259,-0.0013419999999999999,0.006527,0.385,-0.12250000000000001,-4.0075,0.99828125,-0.00821875,-0.327125,1.181875,0.9432812500000001,-0.4980625,-1.11371875,1.13165625,0.019995203702333604,0.03132127733970104,True
46260,458,0,459,3282.0,39702.0,29506.0,-0.00976,-0.0034159999999999998,0.000366,0.45500000000000007,-0.5075000000000001,-3.8675,0.999125,0.00090625,-0.32706250000000003,1.1848750000000001,0.94346875,-0.4928125,-1.1106875,1.13575,0.020157699325057097,0.031206831752416175,True
