frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
40600,199868,1,199864,5028.0,44123.0,28631.0,-0.000549,0.002806,-0.0021349999999999997,0.6825000000000001,-0.7875000000000001,-4.322500000000001,0.961125,0.042375,0.13271875,1.21075,0.93215625,-0.36853125000000003,-0.37084375,1.1975,0.016862167267467136,0.020662497579715517,True
40601,199869,1,199865,5031.0,44125.0,28634.0,-0.001464,-0.003294,-0.001403,0.29750000000000004,-0.8225000000000001,-4.2700000000000005,0.967,0.044,0.13259375,1.2155,0.9343750000000001,-0.36315625,-0.377875,1.1911875,0.016711966455495685,0.02093983786527743,True
40602,199870,1,199866,5031.0,44131.0,28635.0,-0.001769,-0.0026839999999999998,-0.000183,0.36750000000000005,-0.9100000000000001,-4.2700000000000005,0.96103125,0.0414375,0.13209375,1.2038125,0.93440625,-0.36771875,-0.3711875,1.1945937500000001,0.016790913183040573,0.020650665873380193,True
40603,199871,1,199867,5032.0,44131.0,28634.0,0.000305,-0.000244,0.001952,0.3325,-0.9625000000000001,-4.165,0.9698125,0.04403125,0.13178125000000002,1.22615625,0.9432812500000001,-0.36315625,-0.37184375000000003,1.203125,0.016713249130026003,0.02066421421235314,True
40604,199872,1,199868,5035.0,44129.0,28632.0,-0.001281,0.0006709999999999999,0.003294,0.42000000000000004,-1.12,-4.357500000000001,0.97446875,0.043250000000000004,0.1330625,1.23465625,0.9282812500000001,-0.36334375,-0.3750625,1.2027812500000001,0.016688749876543528,0.020846100394614375,True
40605,199873,1,199869,5038.0,44131.0,28627.0,-0.0015249999999999999,0.0015249999999999999,0.0040869999999999995,0.42000000000000004,-1.3125000000000002,-4.322500000000001,0.95559375,0.04015625,0.13128125000000002,1.19990625,0.929875,-0.36562500000000003,-0.37575000000000003,1.19203125,0.01665384122098243,0.020800642031527237,True
40606,199874,1,199870,5038.0,44128.0,28622.0,0.002989,-0.000244,-0.00042699999999999997,0.21000000000000002,-1.5925000000000002,-4.165,0.96665625,0.03446875,0.1373125,1.2256562500000001,0.93578125,-0.36528125,-0.370375,1.203625,0.016406541582605374,0.020832157896626544,True
40607,199875,1,199871,5038.0,44129.0,28620.0,0.0050019999999999995,-0.001098,0.0011589999999999999,0.17500000000000002,-1.5050000000000001,-4.2525,0.95025,0.04296875,0.1235625,1.2013125,0.93196875,-0.3649375,-0.373625,1.19125,0.01674152663022427,0.020398586586935673,True
40608,199876,1,199872,5039.0,44129.0,28615.0,0.0042699999999999995,-0.001769,-0.00061,0.15750000000000003,-1.5225000000000002,-4.1825,0.95103125,0.0334375,0.13846875,1.20528125,0.9266562500000001,-0.36665625,-0.37028125,1.19221875,0.01641972316164636,0.020875836219575842,True
40609,199877,1,199873,5041.0,44127.0,28610.0,0.0023179999999999997,-0.001464,-0.001464,0.24500000000000002,-1.3825,-4.165,0.983375,0.047968750000000004,0.13496875,1.23084375,0.94559375,-0.362375,-0.3723125,1.205875,0.016843339370648386,0.02081383332008401,True
