frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
26571,184207,1,184206,3960.0,40295.0,43069.0,-0.008418,-0.006588,-0.00549,-0.525,-2.2925000000000004,-3.1500000000000004,0.7780312500000001,0.50871875,-0.06334375,0.9764375000000001,0.75575,-0.108625,-0.573625,0.9745312500000001,0.025606758991854574,0.020765403964616538,True
26572,184208,1,184207,3960.0,40299.0,43072.0,-0.006527,-0.004758,-0.0040869999999999995,-0.385,-2.415,-3.1675000000000004,0.7935625000000001,0.5165625,-0.0710625,0.993375,0.74921875,-0.11068750000000001,-0.57421875,0.97403125,0.02601543402692271,0.020474964234620887,True
26573,184209,1,184208,3963.0,40298.0,43070.0,0.000488,-0.002928,-0.00061,-0.052500000000000005,-2.3275,-3.1675000000000004,0.77809375,0.5080625,-0.0673125,1.0052812500000001,0.7549375,-0.108375,-0.57546875,0.9736875,0.02556943385856575,0.020677377720414794,True
26574,184210,1,184209,3961.0,40293.0,43064.0,0.010858,0.001464,0.004209,0.36750000000000005,-2.0125,-3.2550000000000003,0.77765625,0.511375,-0.06578125,1.0020625,0.7544062500000001,-0.10790625000000001,-0.57425,0.9741875,0.025687890253845665,0.02069111976967761,True
26575,184211,1,184210,3961.0,40288.0,43060.0,0.006405,0.00122,0.0046359999999999995,0.28,-1.715,-3.43,0.7779375000000001,0.50821875,-0.06753125,1.00065625,0.75409375,-0.10840625,-0.5761875,0.96959375,0.02557717808492629,0.02069711789104799,True
26576,184212,1,184211,3961.0,40290.0,43061.0,-0.000183,0.001403,0.0035989999999999998,0.28,-1.54,-3.5175000000000005,0.78915625,0.51425,-0.07165625,0.988,0.75271875,-0.1075,-0.57378125,0.9769375,0.025790729026236647,0.020433363302605295,True
26577,184213,1,184212,3960.0,40291.0,43063.0,-0.0026839999999999998,0.001647,0.00061,0.43750000000000006,-1.6450000000000002,-3.4475000000000002,0.7896875,0.51578125,-0.07390625,0.9861562500000001,0.7488125,-0.10928125,-0.57221875,0.9773437500000001,0.025926218766890864,0.020279507726586554,True
26578,184214,1,184213,3960.0,40290.0,43062.0,-0.0034159999999999998,0.0023179999999999997,0.0008539999999999999,0.2625,-1.6275000000000002,-3.4475000000000002,0.7893125,0.51584375,-0.06821875,0.99346875,0.7485937500000001,-0.1095,-0.57159375,0.9775312500000001,0.02593764905949937,0.020486054145348223,True
26579,184215,1,184214,3960.0,40288.0,43061.0,0.00122,-0.00061,-0.0018909999999999999,-0.07,-1.8200000000000003,-3.2900000000000005,0.7811250000000001,0.5156875,-0.06771875000000001,0.9958125,0.74853125,-0.10981250000000001,-0.57259375,0.97390625,0.02594379363174226,0.02054626406705641,True
26580,184216,1,184215,3959.0,40288.0,43062.0,0.000549,-0.00671,0.000488,-0.24500000000000002,-1.3125000000000002,-2.9925,0.780875,0.51275,-0.06765625,0.99740625,0.74915625,-0.109125,-0.5730625,0.97340625,0.02579417544187108,0.020567491333243468,True
26581,184217,1,184216,3960.0,40289.0,43062.0,-0.0048189999999999995,-0.009455,0.00183,-0.15750000000000003,-0.7350000000000001,-3.0100000000000002,0.78215625,0.51259375,-0.067625,0.9973125,0.7535937500000001,-0.1083125,-0.57221875,0.9733437500000001,0.025754861523385346,0.020535131773560332,True
26582,184218,1,184217,3960.0,40290.0,43062.0,-0.006222,-0.0051849999999999995,0.003355,0.21000000000000002,-0.5775,-3.2900000000000005,0.7725625,0.51190625,-0.06853125,0.99234375,0.7485937500000001,-0.10878125,-0.57359375,0.9783125,0.02574528731102905,0.02055305809716985,True
