frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
29992,5086,0,5087,3864.0,40516.0,45442.0,-0.0030499999999999998,-0.000915,0.0006709999999999999,0.31500000000000006,-1.3825,-3.8325000000000005,0.58084375,-0.24834375,-0.27328125000000003,0.7378125,0.52025,-0.69228125,-0.9959687500000001,0.6381875,0.017978796511561684,0.02891216208613639,True
29993,5087,0,5088,3865.0,40516.0,45444.0,-0.0011589999999999999,-0.000915,-0.00061,0.31500000000000006,-1.5225000000000002,-3.8850000000000002,0.57259375,-0.25165625,-0.27290625,0.7388750000000001,0.5566875,-0.68740625,-0.996,0.62696875,0.017650699939366857,0.028928378540566492,True
29994,5088,0,5089,3864.0,40516.0,45443.0,0.001281,-0.0015249999999999999,-0.000244,0.385,-1.7500000000000002,-3.8675,0.57328125,-0.24965625,-0.27228125000000003,0.73828125,0.55203125,-0.6854375,-0.99309375,0.64165625,0.017653373572982047,0.028840467179058214,True
29995,5089,0,5090,3866.0,40515.0,45442.0,0.002257,0.0,-0.001098,0.385,-1.7675,-3.7625,0.5731875,-0.2485,-0.274625,0.727375,0.5243125,-0.6945625,-0.98565625,0.662,0.01806318698701384,0.02845757753511077,True
29996,5090,0,5091,3864.0,40517.0,45448.0,0.002928,0.00042699999999999997,-0.001647,0.35000000000000003,-1.7675,-3.7975000000000003,0.58034375,-0.24603125,-0.2674375,0.7348750000000001,0.5155625,-0.692875,-0.9935625,0.6351875,0.01809606009830771,0.02905248101386107,True
29997,5091,0,5092,3866.0,40516.0,45447.0,0.000976,0.001037,-0.000488,0.31500000000000006,-1.5575,-3.7975000000000003,0.5729375,-0.2506875,-0.27346875,0.73753125,0.54865625,-0.68621875,-0.997625,0.6315000000000001,0.017642687785062262,0.02896900205519525,True
29998,5092,0,5093,3866.0,40516.0,45449.0,-0.001647,-0.00042699999999999997,0.000183,0.35000000000000003,-1.54,-3.8850000000000002,0.57278125,-0.24909375,-0.274875,0.73171875,0.53321875,-0.6944375,-0.985125,0.658625,0.018034172675526625,0.028426914013838237,True
29999,5093,0,5094,3866.0,40518.0,45449.0,-0.001281,-0.0017079999999999999,0.000366,0.2625,-1.5925000000000002,-3.8675,0.58103125,-0.24215625000000002,-0.2763125,0.73275,0.5130625,-0.69771875,-0.9841562500000001,0.662125,0.01844552950867173,0.028331705218182027,True
30000,5094,0,5095,3869.0,40517.0,45449.0,0.000183,-0.000488,-6.1e-05,0.3325,-1.6450000000000002,-3.9550000000000005,0.57821875,-0.24778125,-0.2724375,0.72621875,0.5151875,-0.69825,-0.98571875,0.65646875,0.01823889344386748,0.028547557792388902,True
30001,5095,0,5096,3866.0,40517.0,45449.0,0.0,-0.000183,0.00183,0.28,-1.3825,-3.9025000000000003,0.5724375,-0.2515625,-0.27234375,0.738375,0.52009375,-0.6958125000000001,-0.99240625,0.63084375,0.017988879693672764,0.028811251417618106,True
