frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
23040,46450,6,46212,3622.0,38838.0,44238.0,-0.000976,-0.0028669999999999998,-0.0015249999999999999,0.17500000000000002,-1.6275000000000002,-3.8675,0.72978125,-0.1636875,-0.51803125,0.6693125,0.69496875,-0.58978125,-1.3360625,0.4675625,0.017328082168278743,0.03228722892517335,True
23041,46451,6,46213,3621.0,38839.0,44240.0,-0.002928,-0.002928,0.000122,0.21000000000000002,-1.3825,-3.8325000000000005,0.7285,-0.1598125,-0.5183125000000001,0.6704687500000001,0.6980625,-0.5895625,-1.33609375,0.46921875,0.017476927456517372,0.032277321755647514,True
23042,46452,6,46214,3621.0,38839.0,44241.0,-0.003538,-0.001769,0.002928,0.24500000000000002,-1.3650000000000002,-3.99,0.7285,-0.1600625,-0.52246875,0.6474375,0.6970937500000001,-0.5891875,-1.33515625,0.463,0.01745177631428448,0.0320774615313454,True
23043,46453,6,46215,3621.0,38841.0,44241.0,0.000366,-0.002806,0.0025009999999999998,0.35000000000000003,-1.4175000000000002,-3.7800000000000002,0.73571875,-0.1680625,-0.50846875,0.65509375,0.700875,-0.5915625,-1.3338125,0.46315625,0.017221353868832043,0.032578742342866875,True
23044,46454,6,46216,3621.0,38841.0,44242.0,-6.1e-05,-0.008601,0.000915,-0.14,-1.8025000000000002,-3.7450000000000006,0.74340625,-0.16396875,-0.51578125,0.6535,0.70165625,-0.58996875,-1.33378125,0.46296875,0.01732413751034149,0.032288902786669474,True
23045,46455,6,46217,3620.0,38839.0,44240.0,-0.000305,-0.014457,-0.001098,-0.7000000000000001,-2.0650000000000004,-3.9200000000000004,0.7418750000000001,-0.1693125,-0.5155625,0.655625,0.7021875,-0.5915312500000001,-1.3335625,0.46253125,0.017169274483466748,0.03228918159457439,True
23046,46456,6,46218,3623.0,38838.0,44242.0,-0.000915,-0.011163,-0.004392,-0.56,-2.0650000000000004,-4.077500000000001,0.73625,-0.16684375,-0.52228125,0.6546875,0.70153125,-0.5923125,-1.335875,0.46418750000000003,0.017300884168579105,0.03211232096779763,True
23047,46457,6,46219,3620.0,38839.0,44242.0,-0.002257,0.001037,-0.0013419999999999999,0.1925,-1.8200000000000003,-4.095000000000001,0.719375,-0.16446875,-0.5179375,0.65759375,0.69475,-0.59125,-1.33484375,0.46287500000000004,0.01735500432064251,0.03224437687720099,True
23048,46458,6,46220,3623.0,38840.0,44243.0,0.001769,0.026657,0.007808,2.4325,-0.9975,-3.0975,0.7289375,-0.16146875,-0.51909375,0.6641875,0.6969375,-0.58875,-1.3354375,0.46559375000000003,0.017377103350109297,0.0322214191091036,True
23049,46459,6,46221,3621.0,38837.0,44242.0,0.0037819999999999998,0.028609,0.002013,2.5375,-1.2425000000000002,-2.975,0.7388750000000001,-0.16140625,-0.515,0.66125,0.697375,-0.59003125,-1.3314062500000001,0.46325,0.017430844053929376,0.03222901413142036,True
23050,46460,6,46222,3620.0,38836.0,44242.0,0.0055509999999999995,0.020679,-0.002928,1.7500000000000002,-1.8200000000000003,-3.325,0.7324375,-0.16190625,-0.51190625,0.6589375000000001,0.68790625,-0.5905,-1.334625,0.4633125,0.017429240967040117,0.03247408438056612,True
23051,46461,6,46223,3620.0,38837.0,44238.0,0.006405,0.0055509999999999995,-0.006771,0.5950000000000001,-2.345,-3.7975000000000003,0.73803125,-0.16534375,-0.512625,0.65296875,0.6995625,-0.5923125,-1.3346875,0.46368750000000003,0.017361878839169762,0.032448101047230206,True
