frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
50075,68523,0,68524,4317.0,42366.0,41868.0,0.005307,0.00183,0.001281,0.4025,-1.3650000000000002,-3.9025000000000003,0.89378125,0.11884375,-0.08721875,0.97703125,0.8689375,-0.32690625,-0.68778125,0.9423750000000001,0.018323332832344844,0.024326305143359126,True
50076,68524,0,68525,4319.0,42367.0,41872.0,0.0034159999999999998,0.00244,0.0008539999999999999,0.47250000000000003,-1.2425000000000002,-3.9725000000000006,0.92790625,0.10121875,-0.094375,0.9878125,0.8872187500000001,-0.32796875000000003,-0.6823125,0.92796875,0.01764173180303021,0.023820195129609513,True
50077,68525,0,68526,4321.0,42366.0,41872.0,-0.00042699999999999997,0.0015249999999999999,0.000976,0.43750000000000006,-0.8400000000000001,-3.8150000000000004,0.8918125,0.1145,-0.0968125,1.0133125,0.87071875,-0.33187500000000003,-0.68925,0.9422812500000001,0.01834527754231846,0.023995767388640805,True
50078,68526,0,68527,4320.0,42366.0,41872.0,-0.002074,0.000488,0.0006709999999999999,0.4025,-0.77,-3.7275000000000005,0.9171875,0.11753125,-0.08346875000000001,0.9888125,0.87103125,-0.3263125,-0.6829375,0.9275625000000001,0.018245418412675574,0.02428676692148169,True
50079,68527,0,68528,4324.0,42369.0,41874.0,-0.002928,-0.000915,0.0,0.3325,-0.805,-3.7100000000000004,0.8831875,0.11540625,-0.09059375,1.0215,0.8747812500000001,-0.32921875,-0.6924375,0.9365625,0.018275350498050826,0.02437360629139995,True
50080,68528,0,68529,4324.0,42369.0,41877.0,-0.000976,-0.000366,-0.000305,0.28,-1.0325000000000002,-3.7275000000000005,0.91421875,0.11909375,-0.08478125,0.9955,0.8705625,-0.32653125,-0.6845,0.937625,0.018318476868747987,0.02429535741052077,True
50081,68529,0,68530,4327.0,42369.0,41877.0,0.00061,-6.1e-05,-0.001464,0.29750000000000004,-1.2600000000000002,-3.7100000000000004,0.916125,0.1019375,-0.0971875,0.99065625,0.88690625,-0.32903125,-0.6829375,0.92690625,0.017714176350527727,0.023730968001681323,True
50082,68530,0,68531,4327.0,42370.0,41880.0,0.000732,0.0021349999999999997,-0.0023179999999999997,0.2625,-1.3650000000000002,-3.8325000000000005,0.88996875,0.1148125,-0.09403125,1.02465625,0.86740625,-0.3298125,-0.689375,0.93615625,0.018274904502449413,0.024113358479102853,True
50083,68531,0,68532,4328.0,42367.0,41880.0,-0.000976,0.00122,-0.001098,0.4025,-1.225,-3.9200000000000004,0.9256562500000001,0.11146875,-0.080875,0.9905625,0.8648750000000001,-0.325875,-0.68359375,0.93021875,0.017978541367987794,0.024417787624624147,True
50084,68532,0,68533,4331.0,42367.0,41882.0,-0.000183,0.000366,0.001464,0.47250000000000003,-1.2775,-3.9725000000000006,0.9050312500000001,0.10665625000000001,-0.0935625,1.009625,0.87509375,-0.32975,-0.68759375,0.92540625,0.01793714485352295,0.024061933942023005,True
50085,68533,0,68534,4331.0,42369.0,41882.0,0.0030499999999999998,0.000183,0.0048189999999999995,0.45500000000000007,-1.7325000000000002,-3.9550000000000005,0.88125,0.11459375000000001,-0.0955,1.01503125,0.8735,-0.32896875000000003,-0.68834375,0.93459375,0.018231866075293472,0.024013103349632352,True
50086,68534,0,68535,4330.0,42369.0,41882.0,0.0053679999999999995,-0.00244,0.0059169999999999995,0.42000000000000004,-1.7675,-3.9025000000000003,0.9149375000000001,0.1149375,-0.08515625,0.99146875,0.8739375,-0.32790625,-0.68503125,0.930875,0.01820311807556394,0.02430116429364455,True
50087,68535,0,68536,4331.0,42369.0,41883.0,0.00244,-0.007991,-0.000915,0.07,-1.7325000000000002,-3.6750000000000003,0.88990625,0.110875,-0.08921875,1.0010000000000001,0.87984375,-0.3221875,-0.6839375,0.9302812500000001,0.01780524469684316,0.024093350179646176,True
50088,68536,0,68537,4335.0,42370.0,41884.0,-0.003477,-0.006222,-0.008601,0.035,-1.61,-3.4825000000000004,0.9091250000000001,0.11671875,-0.08946875,0.999375,0.87415625,-0.328625,-0.6891875000000001,0.93703125,0.018305339903097687,0.024290744683274818,True
50089,68537,0,68538,4336.0,42371.0,41887.0,-0.0059169999999999995,0.002623,-0.01098,0.14,-1.1725,-3.43,0.90865625,0.11184375,-0.09225,0.99934375,0.87909375,-0.32746875000000003,-0.68584375,0.93115625,0.01805829058972689,0.02404591700455853,True
50090,68538,0,68539,4335.0,42372.0,41887.0,-0.0046359999999999995,0.00671,0.001098,0.56,-1.2425000000000002,-3.6925000000000003,0.90446875,0.1141875,-0.09009375,1.005125,0.8749375,-0.33059375,-0.68775,0.9305625000000001,0.018280739655192346,0.024208615608955857,True
