frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
63665,128774,0,128775,3843.0,42292.0,30552.0,-0.000732,0.000915,-0.000366,0.45500000000000007,-1.3475000000000001,-3.5875000000000004,1.102,0.21481250000000002,0.16759375,1.35971875,1.0656875000000001,-0.272625,-0.49893750000000003,1.3119687500000001,0.02008177937079323,0.027206537018187014,True
63666,128775,0,128776,3843.0,42293.0,30555.0,-0.000488,6.1e-05,-0.0011589999999999999,0.47250000000000003,-1.4000000000000001,-3.7100000000000004,1.1028125,0.2171875,0.16884375000000001,1.36621875,1.06484375,-0.2750625,-0.498,1.30453125,0.02027801164260648,0.02722033431300514,True
63667,128776,0,128777,3845.0,42292.0,30555.0,-0.000732,-0.0011589999999999999,-0.000915,0.45500000000000007,-1.5225000000000002,-3.7275000000000005,1.10596875,0.2161875,0.16465625,1.362125,1.0735937500000001,-0.27846875,-0.49603125000000003,1.3110625,0.020374277105099557,0.026971205794816256,True
63668,128777,0,128778,3844.0,42295.0,30555.0,6.1e-05,-0.003355,-0.001037,0.385,-1.61,-3.7975000000000003,1.1019375,0.21365625,0.17046875,1.35853125,1.07134375,-0.27368750000000003,-0.496375,1.3110625,0.020077038150878395,0.027222140010511757,True
63669,128778,0,128779,3845.0,42295.0,30557.0,0.000915,-0.0026839999999999998,-6.1e-05,0.35000000000000003,-1.5575,-3.7800000000000002,1.122125,0.21965625,0.16925,1.37434375,1.06603125,-0.275375,-0.498875,1.30509375,0.020392321436847008,0.02727166043338725,True
63670,128779,0,128780,3844.0,42295.0,30556.0,-0.000244,0.001403,0.001952,0.56,-1.7325000000000002,-3.7275000000000005,1.09578125,0.2155,0.166875,1.3544375,1.0737812500000001,-0.27468750000000003,-0.496375,1.31134375,0.02019335985272725,0.027075434630634124,True
63671,128780,0,128781,3847.0,42297.0,30557.0,-0.0021349999999999997,0.0021349999999999997,0.00061,0.49000000000000005,-1.715,-3.7275000000000005,1.1166875,0.21459375,0.1718125,1.37553125,1.06571875,-0.274625,-0.49846875,1.3059375,0.02015350391612641,0.027360128375370402,True
63672,128781,0,128782,3846.0,42295.0,30559.0,-0.0030499999999999998,0.001586,0.000366,0.29750000000000004,-1.6275000000000002,-3.6750000000000003,1.10859375,0.2195,0.17040625,1.3733125,1.066375,-0.2754375,-0.49646875,1.3043125,0.02038840700605293,0.027223311523216998,True
63673,128782,0,128783,3845.0,42293.0,30557.0,-0.0032329999999999998,0.00042699999999999997,0.001281,0.29750000000000004,-1.5575,-3.6750000000000003,1.088625,0.20865625000000002,0.17521875,1.35346875,1.0741875,-0.27468750000000003,-0.4935,1.30078125,0.01991143037371748,0.027301886214710025,True
63674,128783,0,128784,3845.0,42293.0,30558.0,-0.004148,-6.1e-05,-0.000183,0.35000000000000003,-1.4700000000000002,-3.5700000000000003,1.11821875,0.2193125,0.1624375,1.355,1.06546875,-0.27790625,-0.4965,1.310375,0.020480297801627766,0.02689925091339579,True
63675,128784,0,128785,3846.0,42295.0,30556.0,-0.0030499999999999998,-0.0006709999999999999,-0.0028669999999999998,0.2625,-1.155,-3.535,1.0958125,0.21028125,0.16928125,1.34696875,1.072375,-0.274625,-0.49765625,1.31253125,0.019975849266466526,0.02722454316420576,True
63676,128785,0,128786,3844.0,42295.0,30554.0,-0.000366,0.0,-0.003538,0.4025,-1.2775,-3.5875000000000004,1.0969375000000001,0.21431250000000002,0.17425000000000002,1.37571875,1.06528125,-0.275,-0.497,1.30540625,0.020157054582904226,0.02740131444666694,True
63677,128786,0,128787,3844.0,42293.0,30554.0,0.0028669999999999998,0.0,6.1e-05,0.36750000000000005,-1.7850000000000001,-3.8850000000000002,1.1088437500000001,0.21878125,0.165,1.3673125,1.06875,-0.276625,-0.49609375,1.3094375,0.02040671839681175,0.0269877212565779,True
63678,128787,0,128788,3844.0,42295.0,30553.0,0.0070149999999999995,-0.0011589999999999999,0.00042699999999999997,0.36750000000000005,-2.3800000000000003,-4.0600000000000005,1.09534375,0.21421875,0.17190625,1.365625,1.0745,-0.274625,-0.4948125,1.292875,0.0201380556857212,0.027218773362727315,True
63679,128788,0,128789,3843.0,42294.0,30551.0,0.012078,-0.001952,0.0017079999999999999,0.1925,-2.9225000000000003,-4.357500000000001,1.1034375,0.21690625,0.167875,1.36184375,1.062,-0.27659375,-0.49740625,1.31153125,0.02032822252915939,0.027157211796657046,True
63680,128789,0,128790,3841.0,42294.0,30550.0,0.010003999999999999,-0.0017079999999999999,0.000305,0.36750000000000005,-2.87,-4.532500000000001,1.09990625,0.21490625,0.1670625,1.35815625,1.07146875,-0.27490625,-0.493,1.30765625,0.020177729831603364,0.026949026252398645,True
63681,128790,0,128791,3839.0,42293.0,30548.0,0.0053679999999999995,-0.0015249999999999999,-0.001464,0.2625,-2.2225,-4.322500000000001,1.10571875,0.21431250000000002,0.16878125,1.366625,1.066375,-0.2765,-0.49871875,1.3050625,0.020217597264844605,0.027246322830658237,True
63682,128791,0,128792,3839.0,42290.0,30548.0,-0.00122,0.00042699999999999997,-0.001281,0.385,-1.2600000000000002,-4.0075,1.1038125,0.217,0.16540625,1.3530625,1.07246875,-0.27396875,-0.49734375000000003,1.3066875,0.020226142459707993,0.027053953553637836,True
63683,128792,0,128793,3839.0,42291.0,30546.0,-0.009089,0.002379,0.002074,0.5075000000000001,-0.35000000000000003,-3.7975000000000003,1.1095,0.21759375,0.165625,1.36025,1.06659375,-0.27171875,-0.49584375,1.3099375,0.020159779578856566,0.02700330540767758,True
63684,128793,0,128794,3836.0,42290.0,30545.0,-0.014579,0.0046359999999999995,0.004026,0.5950000000000001,0.14,-3.4825000000000004,1.10240625,0.21431250000000002,0.16840625,1.36575,1.0658750000000001,-0.27446875,-0.49571875,1.30496875,0.02013561058880022,0.027111880519937792,True
63685,128794,0,128795,3837.0,42291.0,30548.0,-0.011101999999999999,0.003538,0.001647,0.6300000000000001,-0.36750000000000005,-3.5525,1.1031250000000001,0.2174375,0.16578125,1.36625,1.07134375,-0.27409375,-0.49584375,1.31265625,0.020249211157471123,0.027009684040787532,True
63686,128795,0,128796,3836.0,42286.0,30550.0,-0.004331,0.0030499999999999998,-0.000183,0.29750000000000004,-1.33,-3.7800000000000002,1.10225,0.21578125,0.16625,1.35928125,1.0705,-0.274125,-0.4975,1.30875,0.020182241378422495,0.027094601489947957,True
63687,128796,0,128797,3834.0,42288.0,30548.0,0.0034159999999999998,6.1e-05,-0.000549,0.28,-2.2575000000000003,-3.9550000000000005,1.10696875,0.2159375,0.168875,1.35440625,1.06590625,-0.27684375,-0.49793750000000003,1.30575,0.02029840678939164,0.027219128140889413,True
63688,128797,0,128798,3834.0,42288.0,30547.0,0.00976,-0.002928,-0.001769,0.31500000000000006,-3.0625000000000004,-4.2175,1.093375,0.21790625,0.167875,1.35696875,1.06690625,-0.27778125,-0.49625,1.30515625,0.020417331176010984,0.027111292544777264,True
63689,128798,0,128799,3835.0,42286.0,30544.0,0.010492,-0.006222,-0.003111,0.21000000000000002,-3.08,-4.235,1.1020625,0.224,0.17125,1.35796875,1.0737812500000001,-0.27453125,-0.49696875,1.312625,0.020537214287093597,0.02727760960220844,True
63690,128799,0,128800,3834.0,42287.0,30545.0,0.0057339999999999995,-0.0048189999999999995,-0.0017079999999999999,0.2625,-2.6425,-4.1475,1.10159375,0.21378125,0.16875,1.36565625,1.06609375,-0.27571875,-0.4945,1.30490625,0.02016418154457322,0.02707750719549287,True
63691,128800,0,128801,3834.0,42285.0,30543.0,0.0035989999999999998,-0.0028669999999999998,-0.00042699999999999997,0.3325,-1.8725000000000003,-3.9725000000000006,1.10659375,0.216375,0.16465625,1.36315625,1.0717812500000001,-0.27684375,-0.49715625,1.30975,0.020316428077682053,0.027015890875088818,True
63692,128801,0,128802,3833.0,42285.0,30543.0,-0.0006709999999999999,0.000793,-0.000915,0.385,-1.435,-3.8500000000000005,1.10215625,0.2163125,0.16821875,1.3689375,1.06528125,-0.27568750000000003,-0.499125,1.3037812500000001,0.020267191196953742,0.02723949324720781,True
63693,128802,0,128803,3834.0,42285.0,30542.0,-0.004514,0.004941,0.001403,0.42000000000000004,-1.0150000000000001,-3.7450000000000006,1.10171875,0.21646875000000002,0.16668750000000002,1.36021875,1.0723125,-0.2749375,-0.49896875,1.30478125,0.020243357990108114,0.027170786525453242,True
63694,128803,0,128804,3833.0,42286.0,30547.0,-0.005246,0.0042699999999999995,0.0021349999999999997,0.5425000000000001,-0.9800000000000001,-3.5875000000000004,1.108,0.21709375,0.167875,1.36696875,1.0577812500000001,-0.277375,-0.49653125000000004,1.3044375,0.02036747177155685,0.02712246249150071,True
63695,128804,0,128805,3832.0,42286.0,30543.0,-0.003294,0.00366,0.000732,0.43750000000000006,-1.0675000000000001,-3.7450000000000006,1.10165625,0.2165625,0.16603125,1.3648125,1.07296875,-0.273625,-0.4931875,1.3115625,0.020194243752220776,0.026914371598225014,True
63696,128805,0,128806,3834.0,42285.0,30541.0,-0.000915,0.0015249999999999999,0.001586,0.3325,-1.435,-3.7975000000000003,1.102125,0.21425,0.17259375,1.36,1.0664375,-0.27465625,-0.49975,1.30471875,0.020140604462730548,0.02744288207022521,True
63697,128806,0,128807,3834.0,42284.0,30543.0,-0.00042699999999999997,-0.001647,0.000305,0.3325,-1.7325000000000002,-3.7625,1.10653125,0.21625,0.16840625,1.36396875,1.06678125,-0.27571875,-0.49575,1.305125,0.020265877812577642,0.027113121663962115,True
63698,128807,0,128808,3834.0,42283.0,30542.0,0.0017079999999999999,-0.002989,-0.001098,0.2625,-1.7500000000000002,-3.9025000000000003,1.092,0.21553125,0.1684375,1.3625,1.06659375,-0.2765,-0.49584375,1.30478125,0.02026780013593393,0.027118120803656744,True
63699,128808,0,128809,3834.0,42282.0,30542.0,0.000915,-0.003965,-0.001769,0.24500000000000002,-1.6625,-3.9550000000000005,1.1025,0.21596875000000001,0.1690625,1.3606562500000001,1.07234375,-0.27521875,-0.49884375000000003,1.3055,0.020234112205477037,0.02726276622748778,True
63700,128809,0,128810,3833.0,42283.0,30539.0,0.00122,-0.002074,-0.000122,0.2625,-1.6450000000000002,-3.8500000000000005,1.10634375,0.21678125,0.16815625,1.36015625,1.066375,-0.27859375000000003,-0.496375,1.30509375,0.020403776474903948,0.02712773828780789,True
63701,128810,0,128811,3834.0,42282.0,30539.0,0.000915,-0.001647,-0.000488,0.17500000000000002,-1.5225000000000002,-3.8850000000000002,1.1055,0.21646875000000002,0.1681875,1.36459375,1.0657812500000001,-0.27934375,-0.4965,1.30965625,0.020421165625615398,0.02713397832343396,True
63702,128811,0,128812,3834.0,42279.0,30539.0,0.00042699999999999997,-0.000122,0.000305,0.15750000000000003,-1.435,-3.8500000000000005,1.1031250000000001,0.21784375,0.1663125,1.36009375,1.0665625,-0.273875,-0.496875,1.316125,0.02025711799207996,0.027072330654420208,True
63703,128812,0,128813,3834.0,42279.0,30540.0,0.000732,0.0015249999999999999,0.0011589999999999999,0.35000000000000003,-1.3650000000000002,-3.9200000000000004,1.1031250000000001,0.21209375,0.17928125,1.37053125,1.0629375,-0.277,-0.50025,1.30296875,0.020146383408164104,0.027735686370547234,True
63704,128813,0,128814,3834.0,42282.0,30540.0,-0.000976,0.0035989999999999998,0.0013419999999999999,0.42000000000000004,-1.4175000000000002,-3.8675,1.1031250000000001,0.21975,0.15653125,1.3550625,1.076875,-0.2730625,-0.49562500000000004,1.3093125,0.020302856304184935,0.026623376623376622,True
63705,128814,0,128815,3834.0,42279.0,30540.0,-0.000732,0.002196,0.001586,0.3325,-1.3650000000000002,-3.8150000000000004,1.098625,0.20359375000000002,0.1726875,1.3506562500000001,1.06921875,-0.27490625,-0.5016875000000001,1.310125,0.01971171361372405,0.02752361444492344,True
63706,128815,0,128816,3834.0,42279.0,30541.0,0.000183,0.0011589999999999999,0.000732,0.29750000000000004,-1.5750000000000002,-3.8500000000000005,1.1245625000000001,0.22209375,0.17284375,1.3575,1.0639687500000001,-0.28153125,-0.50028125,1.3022500000000001,0.02074107249722976,0.02747417440361016,True
63707,128816,0,128817,3835.0,42279.0,30541.0,0.00122,-6.1e-05,0.0,0.29750000000000004,-1.6625,-3.9375000000000004,1.12296875,0.21284375,0.1734375,1.35396875,1.0605,-0.277625,-0.499375,1.3017812500000001,0.02020250127432152,0.027462435266205773,True
63708,128817,0,128818,3835.0,42279.0,30540.0,0.00061,-0.002257,-0.0011589999999999999,0.24500000000000002,-1.8725000000000003,-3.8850000000000002,1.1216875,0.21859375,0.17215625,1.37853125,1.06265625,-0.27775,-0.4995625,1.3028125,0.020444388380307068,0.0274175814364032,True
63709,128818,0,128819,3835.0,42280.0,30540.0,0.000549,-0.0015249999999999999,-0.002562,0.15750000000000003,-1.8025000000000002,-3.7275000000000005,1.11775,0.22337500000000002,0.1698125,1.37903125,1.0700625,-0.2788125,-0.4971875,1.302625,0.020684187086992,0.027227615415034892,True
63710,128819,0,128820,3835.0,42281.0,30538.0,-6.1e-05,-0.001586,-0.0013419999999999999,0.31500000000000006,-1.6275000000000002,-3.7100000000000004,1.07790625,0.213125,0.16590625,1.34996875,1.0752187500000001,-0.27346875,-0.4975625,1.31509375,0.020046321150536017,0.027083051630136672,True
63711,128820,0,128821,3835.0,42281.0,30539.0,-0.000549,-0.000305,-0.00122,0.36750000000000005,-1.54,-3.6925000000000003,1.11671875,0.21159375,0.17159375000000002,1.37825,1.05584375,-0.27615625,-0.4990625,1.3025,0.020091730955142457,0.027374771993826295,True
63712,128821,0,128822,3835.0,42282.0,30540.0,-0.00122,-6.1e-05,-0.001769,0.43750000000000006,-1.33,-3.6050000000000004,1.08753125,0.210625,0.17421875,1.3511250000000001,1.0703125,-0.2749375,-0.4976875,1.30759375,0.02000262616536088,0.02742733370241579,True
63713,128822,0,128823,3835.0,42281.0,30542.0,-0.001037,0.000793,-0.001281,0.35000000000000003,-1.3125000000000002,-3.6575,1.121625,0.212125,0.17115625,1.37928125,1.06521875,-0.2778125,-0.49996875,1.305,0.02018046312862825,0.02739289208277051,True
63714,128823,0,128824,3836.0,42281.0,30541.0,0.001098,0.001464,0.0015249999999999999,0.31500000000000006,-1.4700000000000002,-3.6225000000000005,1.09115625,0.21378125,0.16665625,1.34915625,1.06121875,-0.27540625,-0.496625,1.31046875,0.020151568009289238,0.027076433998561026,True
63715,128824,0,128825,3834.0,42279.0,30541.0,0.0011589999999999999,0.001769,0.001586,0.35000000000000003,-1.435,-3.6925000000000003,1.11571875,0.21646875000000002,0.16946875,1.3650625,1.06646875,-0.27878125,-0.49553125000000003,1.3045625,0.020398470372148515,0.02714780884778729,True
63716,128825,0,128826,3836.0,42282.0,30540.0,0.00183,-6.1e-05,0.000793,0.12250000000000001,-1.4000000000000001,-3.7450000000000006,1.1009375000000001,0.2174375,0.16796875,1.35403125,1.07434375,-0.27471875,-0.50084375,1.30990625,0.020274436753257956,0.027297529294271754,True
