frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
40432,370,0,371,4113.0,42212.0,31361.0,0.003111,0.003172,-0.000366,0.6125,-2.9400000000000004,-3.9200000000000004,1.0168125000000001,0.19621875,0.12984375,1.2625625,0.97984375,-0.2501875,-0.31628125,1.25,0.018408362821936943,0.01834676097933355,True
40433,371,0,372,4113.0,42211.0,31363.0,0.0035989999999999998,0.002257,-0.001098,0.7175,-3.43,-3.9725000000000006,1.01621875,0.196875,0.1269375,1.26809375,0.9869375,-0.250625,-0.3081875,1.2368125,0.01845313265122033,0.017900347362385615,True
40434,372,0,373,4114.0,42210.0,31360.0,0.007442,6.1e-05,-0.0025009999999999998,0.5775,-2.8525000000000005,-4.077500000000001,1.024125,0.2015,0.1246875,1.2672812500000001,0.99503125,-0.25478125,-0.30834375,1.2633750000000001,0.018812012579993893,0.017814099325463094,True
40435,373,0,374,4112.0,42210.0,31363.0,0.007808,-0.002745,0.008296,0.29750000000000004,-1.225,-3.99,1.01865625,0.20278125,0.12678125,1.262625,1.0039375,-0.2589375,-0.3123125,1.24096875,0.019032933738338705,0.01806055059550588,True
40436,374,0,375,4113.0,42212.0,31361.0,-0.01769,-0.0017079999999999999,-0.0057339999999999995,0.5775,-0.1925,-3.43,1.01740625,0.19759375,0.128,1.26796875,0.9813125,-0.25003125,-0.3078125,1.24659375,0.018458739099563016,0.01792890660152986,True
40437,375,0,376,4114.0,42217.0,31365.0,-0.020191,0.0053679999999999995,-0.0013419999999999999,0.7875000000000001,-0.8575,-3.4650000000000003,1.02259375,0.19646875,0.124125,1.26053125,0.9949375,-0.252875,-0.3129375,1.25415625,0.018527442622781838,0.017976540267912917,True
40438,376,0,377,4113.0,42219.0,31367.0,-0.008723,0.0066489999999999995,0.008601,0.5775,-2.3625000000000003,-3.7975000000000003,1.02178125,0.19643750000000001,0.1258125,1.2546875,0.998,-0.255,-0.3126875,1.248625,0.018612141826427543,0.018035850623259974,True
40439,377,0,378,4113.0,42215.0,31366.0,0.012078,0.0013419999999999999,0.0040869999999999995,0.08750000000000001,-3.9200000000000004,-4.1475,1.01715625,0.19696875,0.12721875,1.2639375,0.98578125,-0.25228125,-0.310375,1.2450625,0.018524030600214157,0.018000287942905036,True
40440,378,0,379,4113.0,42208.0,31362.0,0.027084,-0.005124,-0.006222,-0.4025,-5.040000000000001,-4.322500000000001,1.01659375,0.1944375,0.12725,1.26234375,0.99546875,-0.25528125,-0.31121875,1.2456875,0.018541065154624833,0.018035654835280523,True
40441,379,0,380,4113.0,42203.0,31360.0,0.019947,-0.001952,-0.0068319999999999995,-0.052500000000000005,-4.2175,-4.2175,1.01759375,0.19746875,0.12709375,1.26921875,0.9870625000000001,-0.25209375,-0.31021875,1.2510937500000001,0.01853705930029237,0.017988834427909044,True
40442,380,0,381,4113.0,42200.0,31360.0,0.0040869999999999995,-0.001037,-0.001281,0.21000000000000002,-2.6950000000000003,-3.9025000000000003,1.02421875,0.1945625,0.1271875,1.2603125,0.99265625,-0.2525,-0.30362500000000003,1.24403125,0.01843366663230595,0.017726265114771975,True
40443,381,0,382,4115.0,42204.0,31361.0,-0.008967,-0.001586,0.0006709999999999999,0.24500000000000002,-0.6125,-3.6750000000000003,1.0170000000000001,0.19809375,0.12690625,1.26615625,0.98703125,-0.252375,-0.30990625,1.248625,0.01857421180399858,0.017968497924585783,True
40444,382,0,383,4117.0,42208.0,31363.0,-0.017324,-0.002623,0.004514,0.24500000000000002,1.1025,-3.535,1.02146875,0.19475,0.1249375,1.2643125,0.99271875,-0.2531875,-0.312625,1.2483125,0.018469221829089475,0.017997336774618122,True
40445,383,0,384,4119.0,42213.0,31367.0,-0.022935999999999998,-0.002745,0.00732,0.45500000000000007,2.1,-3.43,1.01646875,0.19734375,0.12675,1.26225,0.987625,-0.2531875,-0.310875,1.23725,0.01857616653481115,0.018001203165250123,True
40446,384,0,385,4119.0,42219.0,31370.0,-0.020252,0.005978,0.004392,0.9800000000000001,1.12,-3.6750000000000003,1.0170000000000001,0.197375,0.12696875,1.26246875,0.9811875,-0.25209375,-0.3116875,1.245875,0.018533193654671567,0.01804301943252602,True
40447,385,0,386,4118.0,42221.0,31372.0,-0.009394,0.007076,0.002379,1.0150000000000001,-0.49000000000000005,-3.6925000000000003,1.017125,0.19753125,0.12709375,1.26534375,0.9873437500000001,-0.25275000000000003,-0.31143750000000003,1.24446875,0.018566193524445683,0.01803806336009543,True
40448,386,0,387,4122.0,42222.0,31373.0,0.005063,0.006039,-0.000549,0.7350000000000001,-2.3800000000000003,-3.9550000000000005,1.02365625,0.19384375,0.12475,1.27446875,0.986625,-0.25428125,-0.3128125,1.2539375,0.018476119551058642,0.01799719797946042,True
40449,387,0,388,4122.0,42218.0,31370.0,0.017568,0.000732,-0.0060999999999999995,0.31500000000000006,-3.9550000000000005,-4.1475,1.030125,0.1924375,0.12275,1.2670000000000001,0.99190625,-0.25521875,-0.311875,1.24884375,0.01845607968388246,0.01787706624848968,True
40450,388,0,389,4124.0,42211.0,31369.0,0.02379,-0.0023179999999999997,-0.005978,-0.12250000000000001,-4.952500000000001,-4.2175,1.01525,0.19693750000000002,0.130375,1.26725,0.9875,-0.2518125,-0.31059375,1.252375,0.018503771625316665,0.018138954339607605,True
40451,389,0,390,4123.0,42208.0,31366.0,0.017202,-0.006222,-0.0023179999999999997,-0.2625,-3.8325000000000005,-4.095000000000001,1.02609375,0.19484375,0.122625,1.27259375,0.99421875,-0.25521875,-0.31325000000000003,1.2493750000000001,0.018555285138378726,0.017927467533135226,True
40452,390,0,391,4124.0,42208.0,31365.0,0.0068319999999999995,-0.005795,-0.003294,-0.14,-2.4850000000000003,-3.8500000000000005,1.0209375,0.20184375000000002,0.1275625,1.260625,0.98946875,-0.25253125,-0.3110625,1.2456562500000001,0.018735157799250335,0.018042197867740254,True
40453,391,0,392,4124.0,42210.0,31368.0,-0.004697,-0.003965,-0.001098,0.24500000000000002,-0.8575,-3.7275000000000005,1.01390625,0.19868750000000002,0.12884375,1.260625,0.9865625,-0.2521875,-0.31059375,1.24259375,0.018591106472354298,0.018075967395901223,True
40454,392,0,393,4127.0,42212.0,31368.0,-0.014518,0.000732,0.003477,0.5425000000000001,0.42000000000000004,-3.5875000000000004,1.0136875,0.19875,0.124,1.271375,0.9891562500000001,-0.25271875,-0.3116875,1.2518125,0.018615181029961847,0.017920907382508927,True
40455,393,0,394,4128.0,42217.0,31371.0,-0.01891,0.002806,0.005978,0.665,1.155,-3.6225000000000005,1.02378125,0.19225,0.12328125000000001,1.2730000000000001,0.98278125,-0.25496875,-0.31215625,1.253125,0.01843823237249069,0.017910278937105794,True
40456,394,0,395,4129.0,42220.0,31374.0,-0.012322,0.0035989999999999998,0.003111,0.7175,0.525,-3.6050000000000004,1.0301875,0.19165625,0.12278125000000001,1.25875,0.989625,-0.248125,-0.31159375,1.2457500000000001,0.01813671160141248,0.017866989900651824,True
40457,395,0,396,4126.0,42223.0,31374.0,-0.004209,0.002562,0.001464,0.7175,-0.5950000000000001,-3.7275000000000005,1.01209375,0.1978125,0.1275,1.260375,0.98709375,-0.25253125,-0.31025,1.24584375,0.018568938036107055,0.018006807827973797,True
40458,396,0,397,4130.0,42222.0,31374.0,0.006222,0.004697,-0.00061,0.525,-1.7500000000000002,-3.8500000000000005,1.0147187500000001,0.19715625,0.1280625,1.26053125,0.98146875,-0.25240625,-0.307125,1.24596875,0.01853682044436312,0.017903701075301995,True
40459,397,0,398,4129.0,42221.0,31373.0,0.012078,0.0028669999999999998,-0.0021349999999999997,0.36750000000000005,-2.45,-4.025,1.0138125,0.197875,0.12903125000000001,1.26065625,0.9872500000000001,-0.25175000000000003,-0.31059375,1.2484375,0.01853989918253322,0.01808368008288568,True
40460,398,0,399,4130.0,42218.0,31373.0,0.013297999999999999,-0.000366,-0.00488,0.10500000000000001,-2.765,-3.9725000000000006,1.0225312500000001,0.19640625,0.12759375,1.26215625,0.99225,-0.2513125,-0.3115625,1.24615625,0.018461629654065115,0.01806367854801599,True
40461,399,0,400,4130.0,42214.0,31372.0,0.008357,-0.005307,-0.0018909999999999999,-0.22750000000000004,-1.6975000000000002,-3.8150000000000004,1.00753125,0.19384375,0.1263125,1.2512812500000001,0.98653125,-0.25421875,-0.31140625,1.24659375,0.018473590290348976,0.01800466601967955,True
40462,400,0,401,4131.0,42214.0,31372.0,0.000732,-0.0040869999999999995,0.0008539999999999999,-0.15750000000000003,-0.7875000000000001,-3.6750000000000003,1.0204375,0.19465625,0.1265,1.26275,0.9874375,-0.25346875,-0.31090625,1.24659375,0.018476738507764996,0.017992182006789648,True
