frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
60035,59608,0,59609,4188.0,42278.0,31537.0,0.000793,0.000732,0.00061,0.35000000000000003,-1.61,-3.7800000000000002,1.0186875,0.19765625,0.15528125,1.260375,0.9815625,-0.253,-0.3585625,1.2200625,0.0185814641487651,0.021094994829846794,True
60036,59609,0,59610,4189.0,42280.0,31535.0,0.0021349999999999997,-0.000244,0.000366,0.31500000000000006,-1.7850000000000001,-3.7450000000000006,1.0179375,0.20384375000000002,0.15315625,1.26640625,0.9845,-0.2501875,-0.35984375,1.2228125,0.018722793380463554,0.02105924837879964,True
60037,59610,0,59611,4190.0,42277.0,31536.0,0.002623,-0.000244,-0.000976,0.29750000000000004,-1.9425000000000001,-3.7800000000000002,1.01959375,0.19943750000000002,0.154,1.26278125,0.98103125,-0.25075000000000003,-0.359,1.2349375,0.0185638588497263,0.02105997783160228,True
60038,59611,0,59612,4188.0,42277.0,31535.0,0.002989,-6.1e-05,-0.001647,0.2625,-1.9600000000000002,-3.8150000000000004,1.02440625,0.2060625,0.15440625,1.2628125000000001,0.9885625,-0.24990625,-0.35890625,1.23665625,0.01880290774320004,0.021072887868271998,True
60039,59612,0,59613,4189.0,42276.0,31534.0,0.001098,6.1e-05,-0.000305,0.43750000000000006,-1.8550000000000002,-3.6750000000000003,1.02259375,0.19959375000000001,0.1543125,1.2618125,0.9883125,-0.2491875,-0.3580625,1.2354687500000001,0.01850706338098957,0.02103512953873076,True
60040,59613,0,59614,4189.0,42277.0,31534.0,0.004026,0.0006709999999999999,0.0034159999999999998,0.42000000000000004,-1.8725000000000003,-3.6575,1.02278125,0.1988125,0.154,1.26284375,0.98478125,-0.249625,-0.359,1.2364375,0.018492554008567145,0.02105997783160228,True
60041,59614,0,59615,4189.0,42280.0,31536.0,0.0021349999999999997,0.000976,-0.001098,0.47250000000000003,-1.8200000000000003,-3.6925000000000003,1.02309375,0.2021875,0.1565625,1.2659375,0.98378125,-0.24509375,-0.35940625,1.2388125,0.018448320085378098,0.021181499446440735,True
60042,59615,0,59616,4190.0,42279.0,31533.0,0.000366,0.0006709999999999999,-0.001281,0.56,-1.7325000000000002,-3.7625,1.01765625,0.2014375,0.1538125,1.2698125,0.98078125,-0.2481875,-0.36359375,1.2245625,0.01854262303110284,0.02123686083872581,True
60043,59616,0,59617,4189.0,42282.0,31533.0,-0.0011589999999999999,6.1e-05,-0.000976,0.6300000000000001,-1.4875,-3.5700000000000003,1.02040625,0.20265625,0.15253125,1.26190625,0.98,-0.25534375,-0.3600625,1.2266875,0.01888243698875634,0.02104238238305012,True
60044,59617,0,59618,4190.0,42280.0,31534.0,-0.00183,-0.0006709999999999999,-0.000976,0.56,-1.3650000000000002,-3.5000000000000004,1.00865625,0.19846875,0.15878125,1.26409375,0.98659375,-0.25128125,-0.35740625,1.22696875,0.018545411904783378,0.021192219512288998,True
60045,59618,0,59619,4190.0,42280.0,31531.0,-0.0034159999999999998,-0.0025009999999999998,-6.1e-05,0.525,-1.1725,-3.5175000000000005,1.027875,0.20096875,0.15106250000000002,1.26140625,0.993125,-0.2491875,-0.35931250000000003,1.23359375,0.01856376631175787,0.020951945996012817,True
60046,59619,0,59620,4191.0,42281.0,31533.0,-0.002989,-0.0008539999999999999,-6.1e-05,0.5950000000000001,-1.1375000000000002,-3.4475000000000002,1.00640625,0.19265625,0.15815625,1.25459375,0.979,-0.2553125,-0.35709375,1.22725,0.018468892124148064,0.021154001593478286,True
60047,59620,0,59621,4192.0,42279.0,31533.0,-0.0025009999999999998,-0.000732,-0.0008539999999999999,0.6475000000000001,-1.3825,-3.5175000000000005,1.03540625,0.2046875,0.1550625,1.269375,0.99484375,-0.249,-0.36040625,1.22665625,0.018709534413790262,0.021160104831995562,True
60048,59621,0,59622,4192.0,42277.0,31534.0,-0.0006709999999999999,0.0013419999999999999,0.000732,0.6475000000000001,-1.5225000000000002,-3.5525,1.0070937500000001,0.19543750000000001,0.15962500000000002,1.26421875,0.979625,-0.2543125,-0.35784375,1.2301250000000001,0.018543094140475017,0.02124443999686959,True
60049,59622,0,59623,4193.0,42281.0,31536.0,0.002013,0.0021349999999999997,0.000305,0.6825000000000001,-1.5925000000000002,-3.6225000000000005,1.03446875,0.204125,0.14503125,1.26003125,0.9895625,-0.24440625,-0.3615625,1.229875,0.018500401510142157,0.020794797131752116,True
