frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
16859,117141,0,117142,3175.0,39054.0,27955.0,-0.006344,0.0021349999999999997,0.000976,0.5425000000000001,-0.5775,-3.9025000000000003,1.06434375,0.09346875,-0.44715625000000003,1.2571875000000001,1.01896875,-0.34553125,-1.18534375,1.2260625,0.018032056704451665,0.02931020149367625,True
16860,117142,0,117143,3174.0,39053.0,27952.0,-0.0053679999999999995,-0.000122,0.0030499999999999998,0.31500000000000006,-0.8575,-3.8150000000000004,1.06946875,0.09115625000000001,-0.445875,1.25428125,1.01934375,-0.34603125,-1.1855625,1.225875,0.017957238923695214,0.02936950485024903,True
16861,117143,0,117144,3172.0,39051.0,27950.0,-0.0040869999999999995,-0.001647,0.0059169999999999995,0.29750000000000004,-1.225,-3.8325000000000005,1.0530625,0.09121875,-0.44990625,1.254125,1.01134375,-0.34475,-1.18725,1.21859375,0.017908121874326086,0.029274484113986244,True
16862,117144,0,117145,3171.0,39050.0,27950.0,0.000732,-0.000244,0.0050019999999999995,0.2625,-1.5225000000000002,-3.6925000000000003,1.05484375,0.09059375,-0.445375,1.26078125,1.0105,-0.34509375000000003,-1.18171875,1.22271875,0.017896316377914955,0.029241203005652656,True
16863,117145,0,117146,3169.0,39051.0,27950.0,0.002928,0.000488,0.0035989999999999998,0.3325,-1.4000000000000001,-3.6400000000000006,1.06153125,0.096875,-0.44490625,1.26065625,1.01115625,-0.34318750000000003,-1.185,1.23240625,0.01807743953005333,0.02938629144331944,True
16864,117146,0,117147,3169.0,39053.0,27950.0,0.003904,0.001464,-0.000732,0.36750000000000005,-1.2075,-3.6925000000000003,1.060375,0.095875,-0.4450625,1.2693125,1.01746875,-0.34334375,-1.181625,1.23125,0.018042663099640945,0.029249998759015745,True
16865,117147,0,117148,3167.0,39052.0,27947.0,0.004331,0.001464,-0.0046359999999999995,0.24500000000000002,-0.9450000000000001,-3.6050000000000004,1.05221875,0.091625,-0.45140625,1.25425,1.0111875000000001,-0.344625,-1.1880625,1.2258437500000001,0.01791976668361086,0.0292462451210767,True
16866,117148,0,117149,3165.0,39050.0,27947.0,0.0034159999999999998,0.002989,-0.008479,0.28,-0.7875000000000001,-3.8150000000000004,1.05453125,0.0904375,-0.4443125,1.26765625,1.01146875,-0.3455625,-1.1845,1.23,0.01790880781661956,0.02939059739125256,True
16867,117149,0,117150,3164.0,39048.0,27946.0,0.002562,0.00061,-0.006222,0.22750000000000004,-0.49000000000000005,-3.8150000000000004,1.05246875,0.0968125,-0.45096875000000003,1.2476875,1.01184375,-0.34321875,-1.18546875,1.22525,0.01807613259852911,0.02916364222921204,True
16868,117150,0,117151,3163.0,39048.0,27949.0,-0.00244,-0.0030499999999999998,-0.000122,-0.10500000000000001,-0.0175,-3.7975000000000003,1.0635937500000001,0.09406250000000001,-0.44478125,1.2663125,1.01678125,-0.34334375,-1.1851562500000001,1.22840625,0.0179682074283653,0.02939727642150325,True
16869,117151,0,117152,3162.0,39047.0,27948.0,-0.0035989999999999998,-0.006161,0.001403,-0.08750000000000001,0.10500000000000001,-3.9550000000000005,1.0658125,0.09496875,-0.44515625000000003,1.260625,1.01578125,-0.34334375,-1.18578125,1.22825,0.01800543526400312,0.029406473146430585,True
16870,117152,0,117153,3161.0,39048.0,27946.0,-0.002806,-0.0062829999999999995,0.00183,-0.0175,-0.035,-3.9200000000000004,1.06459375,0.10334375,-0.44428125,1.2628125000000001,1.01503125,-0.3428125,-1.18596875,1.229625,0.018328048576967022,0.029448440413871315,True
16871,117153,0,117154,3159.0,39051.0,27949.0,-0.003355,-0.004026,0.002379,0.12250000000000001,-0.10500000000000001,-3.9200000000000004,1.0535,0.096,-0.44878125,1.25428125,1.0064375,-0.34325,-1.18434375,1.2216875,0.018044016308422253,0.02920713389643119,True
16872,117154,0,117155,3160.0,39051.0,27950.0,-0.003965,0.001281,0.0015249999999999999,0.45500000000000007,-0.14,-3.9550000000000005,1.05465625,0.0933125,-0.45,1.256875,1.0051875000000001,-0.343,-1.1869375,1.2256875,0.017923530378342854,0.02925871793662886,True
16873,117155,0,117156,3161.0,39050.0,27951.0,-0.0015249999999999999,0.008845,0.003355,0.9450000000000001,-0.47250000000000003,-3.9200000000000004,1.05584375,0.09259375,-0.44996875000000003,1.25603125,1.012125,-0.34265625,-1.18790625,1.226,0.017880135821249993,0.029297294212376222,True
16874,117156,0,117157,3160.0,39052.0,27950.0,-0.000366,0.008418,0.001037,0.8575,-0.8750000000000001,-3.8675,1.04521875,0.10028125,-0.44984375,1.2583125,1.01259375,-0.34325,-1.19065625,1.2469375,0.01821988641615232,0.02940822552012713,True
16875,117157,0,117158,3160.0,39057.0,27951.0,0.002013,0.0051849999999999995,-0.001586,0.7350000000000001,-1.2600000000000002,-3.8325000000000005,1.0559687500000001,0.0925625,-0.44921875,1.2571875000000001,1.0069375,-0.335,-1.18940625,1.23425,0.017569858228888433,0.029384872857017023,True
16876,117158,0,117159,3160.0,39054.0,27953.0,0.0059169999999999995,0.0028669999999999998,-0.00061,0.525,-1.3125000000000002,-3.9200000000000004,1.058375,0.09259375,-0.4471875,1.25390625,1.00434375,-0.3479375,-1.1910625000000001,1.22096875,0.01809316497547277,0.02952932215542715,True
16877,117159,0,117160,3160.0,39052.0,27949.0,0.005673,-0.000122,-0.001586,0.29750000000000004,-1.3650000000000002,-3.9200000000000004,1.05459375,0.09290625,-0.44765625000000003,1.25703125,0.99784375,-0.34368750000000003,-1.19053125,1.2403125,0.01793457749570602,0.02949024745160942,True
16878,117160,0,117161,3160.0,39053.0,27952.0,-0.002562,-0.006405,-0.001037,-0.052500000000000005,-0.45500000000000007,-3.7275000000000005,1.05446875,0.09215625,-0.445625,1.25684375,1.00178125,-0.339375,-1.1908125,1.21346875,0.01772975887836068,0.02958171754086932,True
16879,117161,0,117162,3160.0,39055.0,27951.0,-0.0050019999999999995,-0.007259,0.000732,-0.12250000000000001,-0.31500000000000006,-3.7100000000000004,1.06325,0.094875,-0.43921875,1.26365625,1.01621875,-0.3461875,-1.181,1.23603125,0.01811628617416998,0.029457974266311904,True
16880,117162,0,117163,3159.0,39054.0,27951.0,-0.0066489999999999995,-0.006222,-0.002257,0.0,-0.43750000000000006,-3.8325000000000005,1.05478125,0.09531250000000001,-0.44606250000000003,1.26209375,1.036875,-0.34165625,-1.17959375,1.22371875,0.017951479780674334,0.029131973187613482,True
16881,117163,0,117164,3160.0,39053.0,27949.0,-0.006527,-0.002989,0.000488,0.15750000000000003,-0.8400000000000001,-3.8325000000000005,1.0548125,0.09540625,-0.4429375,1.24975,1.01784375,-0.34175,-1.187625,1.230875,0.01795911345733154,0.029565610096227806,True
16882,117164,0,117165,3159.0,39053.0,27950.0,-0.004514,0.001647,0.0011589999999999999,0.42000000000000004,-1.1725,-3.7275000000000005,1.0591875,0.09434375,-0.445625,1.2610000000000001,0.996375,-0.35246875,-1.1829687500000001,1.23034375,0.018347729118839338,0.02927946094520727,True
16883,117165,0,117166,3159.0,39051.0,27949.0,-0.001586,0.005307,0.000976,0.7875000000000001,-2.0650000000000004,-3.4475000000000002,1.05528125,0.0984375,-0.44753125,1.2570937500000001,1.0140625,-0.3350625,-1.19565625,1.2145625,0.017813802615053897,0.029692618147225285,True
16884,117166,0,117167,3161.0,39053.0,27948.0,0.003294,0.004758,0.0017079999999999999,0.7350000000000001,-2.415,-3.5525,1.062625,0.09521875,-0.44684375,1.25684375,1.0206250000000001,-0.34640625,-1.1820625,1.2391875,0.01813922742704583,0.029196129189179798,True
16885,117167,0,117168,3160.0,39053.0,27948.0,0.0066489999999999995,0.001098,-0.000488,0.56,-2.7825,-3.535,1.05484375,0.09415625,-0.44003125,1.25715625,0.99840625,-0.34896875,-1.182625,1.221125,0.018198922695648042,0.02948833769315153,True
16886,117168,0,117169,3160.0,39050.0,27948.0,0.009882,-0.0013419999999999999,-0.00244,0.2625,-2.9050000000000002,-3.5175000000000005,1.0616875000000001,0.09525,-0.44703125,1.255875,1.012875,-0.34153125,-1.1839375,1.22234375,0.017943869081777673,0.02926096246863701,True
16887,117169,0,117170,3158.0,39051.0,27949.0,0.009577,-0.002989,-0.0026839999999999998,0.22750000000000004,-2.7475,-3.6225000000000005,1.04921875,0.09253125,-0.44640625,1.2585625,1.011625,-0.3464375,-1.1853125,1.229375,0.01803010193996555,0.029338776320524115,True
16888,117170,0,117171,3159.0,39051.0,27949.0,0.0055509999999999995,-0.0023179999999999997,-0.0028669999999999998,0.31500000000000006,-1.7325000000000002,-3.8675,1.06140625,0.09446875,-0.44553125,1.26278125,1.0183125,-0.341125,-1.18534375,1.2324375,0.017895382814064675,0.029374723146274307,True
16889,117171,0,117172,3157.0,39052.0,27949.0,0.0025009999999999998,0.000976,-0.003111,0.525,-0.9975,-4.095000000000001,1.05725,0.09503125,-0.44556250000000003,1.2627187500000001,1.01275,-0.343875,-1.18525,1.23228125,0.018029432454775583,0.029369869268718787,True
