frame_seq,absolute_seq_u64,segment_id,sample_seq,PPG_G,PPG_R,PPG_IR,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Uh1,Uh2,Uh3,Uh4,Uc1,Uc2,Uc3,Uc4,UD1,UD2,parser_valid
2072,43853,0,43854,3713.0,37705.0,28292.0,-0.001769,0.00122,-0.00122,0.45500000000000007,-1.61,-3.8150000000000004,0.99734375,0.130125,0.58340625,1.27625,0.9751562500000001,-0.32865625,-0.02725,1.2550625,0.018857648580570492,0.02541515362765194,True
2073,43854,0,43855,3716.0,37705.0,28292.0,-0.0021349999999999997,0.000305,-0.001403,0.4025,-1.7675,-3.7625,1.01375,0.13034375,0.5796875,1.27171875,0.976375,-0.3243125,-0.029500000000000002,1.26096875,0.018691432697224227,0.025351651095528414,True
2074,43855,0,43856,3715.0,37707.0,28294.0,-0.00122,0.001037,-0.000122,0.45500000000000007,-2.3800000000000003,-3.8675,1.0113125,0.13284375,0.57603125,1.27990625,0.9795625,-0.32940625,-0.02803125,1.25521875,0.018999641637370415,0.025139908206170652,True
2075,43856,0,43857,3716.0,37706.0,28294.0,0.000549,0.002562,0.00122,0.6125,-2.66,-3.99,1.015875,0.1345625,0.57896875,1.27146875,0.9760625,-0.32803125,-0.02803125,1.2551875000000001,0.01901484527236457,0.02526216125176714,True
2076,43857,0,43858,3715.0,37707.0,28297.0,0.003294,0.0023179999999999997,0.0037819999999999998,0.56,-2.87,-3.9375000000000004,1.00796875,0.1325,0.57946875,1.27178125,0.9780625000000001,-0.33075,-0.031343750000000004,1.2615625,0.019039692570101623,0.025417326070249397,True
2077,43858,0,43859,3717.0,37711.0,28298.0,0.0064659999999999995,-6.1e-05,0.002623,0.35000000000000003,-2.8525000000000005,-3.8150000000000004,1.0098125,0.13259375,0.57953125,1.2720625,0.9785625,-0.33178125,-0.03115625,1.26375,0.01908512143968087,0.02541232280490041,True
2078,43859,0,43860,3717.0,37709.0,28297.0,0.004697,-0.0030499999999999998,-0.001464,0.10500000000000001,-2.6075000000000004,-3.7275000000000005,1.0089375,0.132375,0.577625,1.2725,0.9830625000000001,-0.33265625,-0.025531250000000002,1.26034375,0.01911140506906228,0.02510480387400383,True
2079,43860,0,43861,3716.0,37712.0,28301.0,0.002257,-0.001281,-0.003477,0.29750000000000004,-1.6975000000000002,-3.8500000000000005,1.01028125,0.12984375,0.578875,1.26346875,0.98071875,-0.3278125,-0.029437500000000002,1.25796875,0.01881205924289329,0.02531530336488318,True
2080,43861,0,43862,3718.0,37711.0,28299.0,-0.000366,-0.002379,-0.0046359999999999995,0.29750000000000004,-1.2600000000000002,-3.9025000000000003,1.008625,0.13159375,0.57875,1.27140625,0.98,-0.3320625,-0.03015625,1.26059375,0.019055361624194415,0.02533925471250317,True
2081,43862,0,43863,3719.0,37710.0,28294.0,-0.002928,-0.0037819999999999998,-0.003843,0.21000000000000002,-0.9100000000000001,-3.9725000000000006,1.00215625,0.13175,0.57896875,1.2720625,0.9826875,-0.32953125,-0.0308125,1.26375,0.01895972615584199,0.025374974316827618,True
