Time(s),Seq,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,8073,0,885.54382,954.66614,1715.0116,1844.63501,-0.05554,-0.01245,0.99771,-0.613,0.088,-0.035,6065,54414,77800
0.01,8074,0,885.54382,954.66614,1715.08789,1844.7113,-0.05493,-0.01123,0.99771,-0.508,0.193,0.035,6065,54414,77800
0.02,8075,0,885.54382,954.51355,1715.16418,1844.48242,-0.0564,-0.01123,0.99857,-0.735,0.298,0.053,6068,54414,77803
0.03,8076,0,885.54382,954.51355,1714.70642,1844.63501,-0.05835,-0.01245,0.99796,-0.858,0.333,-0.018,6068,54414,77803
0.04,8077,0,885.54382,954.51355,1715.31677,1844.86389,-0.05933,-0.01245,0.99783,-0.893,0.21,0.035,6069,54415,77803
0.05,8078,0,885.54382,954.51355,1714.85901,1844.63501,-0.05823,-0.01257,0.99722,-0.928,0.193,0.053,6069,54415,77803
0.06,8079,0,885.54382,954.51355,1714.9353,1844.7113,-0.05628,-0.01184,0.99698,-0.998,0.298,0.14,6069,54418,77807
0.07,8080,0,885.54382,954.51355,1715.16418,1844.40613,-0.05835,-0.01257,0.9971,-1.033,0.368,0.053,6069,54418,77807
0.08,8081,0,885.54382,954.51355,1714.78271,1844.48242,-0.05884,-0.01379,0.99698,-1.033,0.473,0.228,6071,54420,77805
0.09,8082,0,885.54382,954.51355,1714.85901,1844.86389,-0.05799,-0.01404,0.99722,-1.173,0.508,0.228,6071,54420,77805
0.1,8083,0,885.54382,954.51355,1714.85901,1844.63501,-0.05737,-0.0127,0.99893,-0.945,0.385,0.368,6074,54417,77806
0.11,8084,0,885.54382,954.51355,1714.85901,1844.32983,-0.05994,-0.01233,1.00186,-0.875,0.315,0.245,6074,54417,77806
0.12,8085,0,885.54382,954.58984,1715.08789,1844.7876,-0.06201,-0.01379,1.00101,-0.98,0.403,0.368,6075,54418,77810
0.13,8086,0,885.54382,954.58984,1714.63013,1844.7876,-0.06336,-0.01672,0.99747,-1.068,0.403,0.28,6075,54418,77810
