Time(s),Seq,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,8214,0,867.91992,939.71252,1679.6875,1814.80408,-0.04102,0.01697,0.99796,0.053,-0.21,0.245,5152,53473,80085
0.01,8215,0,867.91992,939.71252,1679.91638,1814.72778,-0.04163,0.01917,0.99734,0.175,-0.14,0.28,5154,53472,80081
0.02,8216,0,867.91992,939.71252,1679.38232,1814.80408,-0.04236,0.0188,0.99649,-0.088,-0.053,-0.07,5154,53472,80081
0.03,8217,0,867.91992,939.71252,1679.61121,1814.88037,-0.04334,0.01502,0.99966,-0.56,0.105,-0.018,5152,53474,80082
0.04,8218,0,867.91992,939.71252,1679.53491,1814.95667,-0.0448,0.01404,0.99808,-0.263,0.0,-0.193,5152,53474,80082
0.05,8219,0,867.91992,939.71252,1679.61121,1814.5752,-0.04492,0.01611,1.00015,0.123,0.14,-0.315,5155,53472,80084
0.06,8220,0,867.91992,939.71252,1679.84009,1814.95667,-0.04187,0.02271,1.00003,0.753,0.088,-0.28,5155,53472,80084
0.07,8221,0,867.91992,939.71252,1679.84009,1814.72778,-0.03845,0.02905,0.99539,1.085,-0.245,-0.298,5153,53469,80082
0.08,8222,0,867.91992,939.71252,1679.76379,1814.65149,-0.0343,0.03186,0.99796,0.228,-0.14,-0.525,5153,53469,80082
0.09,8223,0,867.91992,939.71252,1679.84009,1814.72778,-0.03467,0.03027,0.99588,-0.49,-0.018,-0.385,5153,53470,80079
0.1,8224,0,867.91992,939.71252,1679.76379,1814.72778,-0.03552,0.026,0.99796,-0.928,0.0,-0.018,5153,53470,80079
0.11,8225,0,867.91992,939.55994,1679.61121,1814.65149,-0.03101,0.0238,0.99576,-0.998,0.053,-0.018,5158,53474,80083
0.12,8226,0,867.91992,939.55994,1679.61121,1814.5752,-0.0293,0.02673,0.99759,-0.753,0.053,0.193,5158,53474,80083
0.13,8227,0,867.91992,939.55994,1679.76379,1814.80408,-0.02893,0.0282,0.99759,-0.543,0.14,0.263,5158,53469,80079
0.14,8228,0,867.91992,939.55994,1679.76379,1814.65149,-0.02893,0.02637,0.99649,-0.648,0.21,0.385,5158,53469,80079
0.15,8229,0,867.91992,939.55994,1679.84009,1814.5752,-0.02893,0.02649,0.99698,-0.928,0.263,0.665,5157,53471,80084
0.16,8230,0,867.91992,939.55994,1679.84009,1814.72778,-0.03052,0.02625,0.99808,-1.085,0.263,0.63,5157,53471,80084
0.17,8231,0,867.91992,939.55994,1679.84009,1814.65149,-0.02918,0.02368,0.99393,-1.4,0.298,0.63,5158,53470,80084
0.18,8232,0,867.91992,939.55994,1679.84009,1814.65149,-0.03198,0.02173,0.99698,-1.645,0.438,0.595,5158,53470,80084
0.19,8233,0,867.91992,939.55994,1679.91638,1814.72778,-0.03589,0.01953,1.00052,-1.873,0.49,0.438,5160,53474,80088
0.2,8234,0,867.91992,939.55994,1679.84009,1814.72778,-0.03894,0.02002,1.00137,-1.68,0.438,0.543,5160,53474,80088
0.21,8235,0,867.91992,939.63623,1679.76379,1814.72778,-0.03967,0.021,1.0004,-1.313,0.263,0.49,5161,53471,80089
0.22,8236,0,867.91992,939.63623,1679.45862,1814.72778,-0.0398,0.02124,0.99954,-1.085,0.228,0.718,5161,53471,80089
0.23,8237,0,867.91992,939.63623,1679.76379,1814.65149,-0.04102,0.02234,0.99722,-0.945,0.21,0.893,5160,53470,80089
0.24,8238,0,867.91992,939.63623,1679.76379,1814.72778,-0.04505,0.02539,0.99576,-0.91,0.35,0.683,5160,53470,80089
0.25,8239,0,867.91992,939.63623,1679.6875,1814.72778,-0.04688,0.02441,0.99673,-1.085,0.315,0.753,5163,53471,80094
0.26,8240,0,867.91992,939.63623,1679.76379,1814.72778,-0.04663,0.02161,1.00027,-1.225,0.333,0.613,5163,53471,80094
0.27,8241,0,867.91992,939.63623,1679.61121,1814.72778,-0.04248,0.01953,1.00174,-1.26,0.35,0.298,5163,53473,80094
0.28,8242,0,867.91992,939.63623,1679.53491,1814.72778,-0.04053,0.01868,1.00333,-1.278,0.56,0.228,5163,53473,80094
0.29,8243,0,867.91992,939.63623,1679.61121,1814.72778,-0.03467,0.01697,0.99954,-0.665,0.42,-0.158,5164,53470,80089
0.3,8244,0,867.91992,939.63623,1679.6875,1814.72778,-0.02991,0.01843,0.99625,-0.14,0.333,0.088,5164,53470,80089
0.31,8245,0,867.91992,939.55994,1679.91638,1814.65149,-0.02808,0.02246,0.99307,-0.123,0.385,-0.123,5165,53466,80083
0.32,8246,0,867.91992,939.55994,1679.38232,1814.65149,-0.02527,0.0238,0.98636,-0.333,0.595,0.053,5165,53466,80083
0.33,8247,0,867.91992,939.55994,1679.53491,1814.80408,-0.02905,0.02185,0.99283,-0.508,0.823,0.158,5164,53465,80080
0.34,8248,0,867.91992,939.55994,1679.53491,1814.72778,-0.03906,0.02136,1.00284,-1.19,0.91,-0.14,5164,53465,80080
0.35,8249,0,867.91992,939.55994,1679.61121,1814.80408,-0.03943,0.02149,1.00137,-0.77,0.718,0.018,5167,53465,80087
0.36,8250,0,867.91992,939.55994,1679.84009,1814.88037,-0.03919,0.02515,0.99796,-0.508,0.473,-0.21,5167,53465,80087
0.37,8251,0,867.91992,939.55994,1679.53491,1814.80408,-0.0387,0.02515,0.99539,-0.42,0.315,-0.403,5168,53468,80085
0.38,8252,0,867.91992,939.55994,1679.76379,1814.80408,-0.0387,0.02417,0.99356,-0.683,0.228,-0.175,5168,53468,80085
0.39,8253,0,867.91992,939.55994,1679.76379,1814.72778,-0.03894,0.02051,0.99698,-1.523,0.508,-0.315,5166,53465,80083
0.4,8254,0,867.91992,939.55994,1679.61121,1814.80408,-0.03931,0.01721,0.99649,-1.558,0.56,-0.543,5166,53465,80083
0.41,8255,0,867.91992,939.71252,1679.6875,1814.72778,-0.04309,0.01721,1.0004,-1.575,0.718,-0.543,5166,53463,80084
0.42,8256,0,867.91992,939.71252,1679.53491,1814.65149,-0.04285,0.01685,1.00027,-1.103,0.648,-0.665,5166,53463,80084
0.43,8257,0,867.91992,939.71252,1679.6875,1814.65149,-0.04212,0.01868,1.00089,-0.7,0.455,-0.77,5167,53468,80080
0.44,8258,0,867.91992,939.71252,1679.6875,1814.65149,-0.03955,0.02136,0.99893,-0.648,0.35,-0.665,5167,53468,80080
0.45,8259,0,867.91992,939.71252,1679.84009,1814.72778,-0.03833,0.02136,0.99722,-0.665,0.385,-0.578,5165,53470,80079
0.46,8260,0,867.84363,939.71252,1679.84009,1814.72778,-0.04187,0.02173,0.9993,-0.665,0.368,-0.718,5165,53470,80079
0.47,8261,0,867.84363,939.71252,1679.61121,1814.72778,-0.04309,0.01965,0.9971,-0.683,0.263,-0.473,5163,53469,80077
0.48,8262,0,867.84363,939.71252,1679.6875,1814.95667,-0.04358,0.02197,0.99857,-0.385,0.193,-0.753,5163,53469,80077
0.49,8263,0,867.84363,939.71252,1679.61121,1814.80408,-0.04517,0.02332,0.99942,-0.403,0.158,-0.928,5161,53465,80071
