Time(s),Seq,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,12006,0,877.0752,950.0885,1698.22693,1835.70862,-0.03345,0.03296,0.99979,-1.12,0.088,-0.298,5500,51715,78387
0.01,12007,0,877.0752,950.0885,1698.07434,1835.78491,-0.03296,0.03223,0.99918,-0.823,0.123,-0.28,5500,51715,78387
0.02,12008,0,877.0752,950.0885,1698.15063,1835.86121,-0.03186,0.0332,0.9971,-0.683,0.07,-0.63,5499,51715,78387
0.03,12009,0,877.0752,950.0885,1698.30322,1835.78491,-0.03259,0.03589,0.99747,-0.385,0.018,-0.473,5499,51715,78387
0.04,12010,0,876.9989,950.0885,1698.15063,1835.9375,-0.03467,0.0387,0.99954,-0.525,0.175,-0.42,5499,51717,78392
0.05,12011,0,876.9989,950.0885,1697.92175,1835.78491,-0.03491,0.03735,0.99686,-0.7,0.298,-0.578,5499,51717,78392
0.06,12012,0,876.9989,950.0885,1698.15063,1835.86121,-0.03626,0.0365,0.99734,-0.77,0.175,-0.543,5503,51715,78389
0.07,12013,0,876.9989,950.0885,1698.15063,1835.78491,-0.0343,0.03723,0.99673,-0.508,0.018,-0.665,5503,51715,78389
0.08,12014,0,876.9989,950.0885,1698.22693,1835.78491,-0.03296,0.03967,0.99771,-0.35,-0.123,-0.508,5501,51713,78384
0.09,12015,0,876.9989,950.24109,1698.22693,1835.78491,-0.03308,0.04321,0.99759,-0.21,0.018,-0.298,5501,51713,78384
0.1,12016,0,876.9989,950.24109,1698.07434,1835.9375,-0.0332,0.04248,0.99747,-0.508,0.035,-0.21,5503,51713,78388
0.11,12017,0,876.9989,950.24109,1698.07434,1835.9375,-0.03296,0.04102,0.99796,-0.63,-0.07,-0.123,5503,51713,78388
0.12,12018,0,876.9989,950.24109,1697.99805,1835.9375,-0.03101,0.04041,0.99722,-0.595,-0.158,-0.158,5505,51712,78396
0.13,12019,0,876.9989,950.24109,1697.84546,1835.9375,-0.03076,0.04053,0.9971,-0.77,-0.07,-0.105,5505,51712,78396
0.14,12020,0,876.92261,950.24109,1698.15063,1836.01379,-0.03113,0.03955,0.9938,-1.348,0.018,0.053,5506,51717,78401
0.15,12021,0,876.92261,950.24109,1697.92175,1835.86121,-0.02869,0.03882,0.99222,-1.47,0.123,0.053,5506,51717,78401
0.16,12022,0,876.92261,950.24109,1697.99805,1835.70862,-0.02857,0.04016,0.99576,-1.523,0.14,0.088,5507,51718,78410
0.17,12023,0,876.92261,950.24109,1698.07434,1835.86121,-0.0271,0.04004,0.99661,-1.75,0.333,0.053,5507,51718,78410
0.18,12024,0,876.92261,950.24109,1698.07434,1835.9375,-0.02832,0.03772,0.99979,-2.1,0.63,0.193,5508,51718,78408
0.19,12025,0,876.92261,950.01221,1698.30322,1835.86121,-0.03076,0.03296,0.99881,-2.555,0.578,0.21,5508,51718,78408
0.2,12026,0,876.92261,950.01221,1697.92175,1835.86121,-0.02966,0.03211,0.99844,-2.24,0.613,0.105,5510,51718,78407
0.21,12027,0,876.92261,950.01221,1697.99805,1835.9375,-0.03101,0.03601,0.99783,-1.75,0.42,0.088,5510,51718,78407
0.22,12028,0,876.92261,950.01221,1697.99805,1836.01379,-0.0304,0.04016,0.99625,-1.68,0.473,0.07,5510,51718,78414
0.23,12029,0,876.92261,950.01221,1697.99805,1836.01379,-0.03211,0.04187,0.99442,-1.873,0.7,0.123,5510,51718,78414
0.24,12030,0,876.92261,950.01221,1698.15063,1835.78491,-0.03369,0.03748,1.0004,-2.468,0.788,-0.158,5512,51720,78423
0.25,12031,0,876.92261,950.01221,1697.76917,1835.86121,-0.03394,0.02722,1.0054,-2.03,0.578,0.175,5512,51720,78423
0.26,12032,0,876.92261,950.01221,1698.07434,1835.9375,-0.03406,0.02905,0.99979,-1.26,0.245,0.263,5514,51723,78423
0.27,12033,0,876.92261,950.01221,1698.22693,1835.78491,-0.02844,0.03821,0.9949,-0.438,0.0,0.49,5514,51723,78423
0.28,12034,0,876.92261,950.01221,1698.15063,1835.9375,-0.02551,0.05017,0.99149,-0.578,0.28,0.473,5514,51725,78429
0.29,12035,0,876.92261,950.16479,1698.22693,1836.01379,-0.02918,0.04297,0.99783,-2.625,0.718,0.508,5514,51725,78429
0.3,12036,0,876.92261,950.16479,1698.15063,1836.01379,-0.03442,0.03272,1.00125,-3.29,0.98,0.648,5516,51720,78430
0.31,12037,0,876.92261,950.16479,1698.22693,1835.9375,-0.03894,0.02869,1.0043,-3.098,1.068,0.788,5516,51720,78430
