Time(s),SampleIndex,Seq,ValidFlag,InterpFlag,GapLen,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,0,19847,1,0,0,0,824.43237,881.80542,1592.86499,1700.43945,-0.0293,0.00684,0.99673,-0.14,0.263,-1.103,6517,66531,100785
0.01,1,19848,1,0,0,0,824.43237,881.80542,1592.86499,1700.43945,-0.02844,0.00989,0.99551,-0.123,0.123,-1.068,6517,66531,100785
0.02,2,19849,1,0,0,0,824.43237,881.80542,1593.24646,1700.51575,-0.02527,0.01294,0.99295,-0.035,0.193,-0.963,6518,66533,100782
0.03,3,19850,1,0,0,0,824.0509,881.80542,1593.01758,1700.74463,-0.01917,0.01672,0.99332,-0.613,0.123,-0.893,6518,66533,100777
0.04,4,19851,1,0,0,0,824.0509,881.80542,1592.48352,1700.43945,-0.02075,0.01685,0.99503,-0.91,0.193,-0.648,6518,66533,100777
0.05,5,19852,1,0,0,0,824.0509,881.80542,1592.63611,1700.59204,-0.0199,0.01477,0.99539,-1.103,0.298,-0.49,6518,66533,100777
0.06,6,19853,1,0,0,0,824.0509,881.80542,1592.25464,1700.43945,-0.02014,0.01917,0.99588,-1.138,0.298,-0.245,6519,66534,100781
0.07,7,19854,1,0,0,0,824.0509,881.80542,1592.25464,1700.51575,-0.01831,0.02185,0.99588,-1.278,0.333,0.07,6519,66534,100781
0.08,8,19855,1,0,0,0,824.0509,881.57654,1592.55981,1700.21057,-0.01721,0.02637,0.99283,-2.275,0.455,0.368,6519,66530,100779
0.09,9,19856,1,0,0,0,824.0509,881.57654,1591.94946,1700.28687,-0.01782,0.02673,0.99539,-2.765,0.543,0.613,6519,66530,100779
0.1,10,19857,1,0,0,0,824.0509,881.57654,1592.33093,1700.36316,-0.01941,0.02576,0.99661,-3.15,0.613,0.998,6521,66537,100784
0.11,11,19858,1,0,0,0,824.0509,881.57654,1593.24646,1700.43945,-0.01868,0.0221,0.9938,-3.43,0.648,1.365,6521,66537,100784
0.12,12,19859,1,0,0,0,824.0509,881.57654,1592.86499,1700.36316,-0.02222,0.02039,0.99564,-3.745,0.823,1.505,6523,66535,100790
0.13,13,19860,1,0,0,0,824.20349,881.57654,1592.94128,1700.43945,-0.02698,0.01038,0.99857,-4.2,0.718,1.733,6527,66535,100791
0.14,14,19861,1,0,0,0,824.20349,881.57654,1592.94128,1700.28687,-0.02783,0.00391,0.99796,-4.183,0.665,1.89,6527,66535,100791
0.15,15,19862,1,0,0,0,824.20349,881.57654,1593.01758,1700.36316,-0.02991,0.00012,0.99796,-4.06,0.665,1.803,6527,66535,100791
0.16,16,19863,1,0,0,0,824.20349,881.57654,1592.86499,1700.59204,-0.03015,-0.00122,0.99918,-3.518,0.613,1.663,6531,66540,100795
0.17,17,19864,1,0,0,0,824.20349,881.57654,1593.62793,1700.51575,-0.03394,-0.00049,1.00052,-3.185,0.525,1.558,6531,66540,100795
0.18,18,19865,1,0,0,0,824.20349,881.57654,1592.86499,1700.66833,-0.03394,0.00574,0.99734,-2.415,0.333,1.33,6529,66539,100799
0.19,19,19866,1,0,0,0,824.20349,881.57654,1592.63611,1700.36316,-0.03247,0.00659,0.99551,-2.118,0.403,1.348,6529,66539,100799
0.2,20,19867,1,0,0,0,824.20349,881.57654,1593.24646,1700.36316,-0.03174,0.00684,0.99588,-2.135,0.438,1.068,6534,66541,100804
0.21,21,19868,1,0,0,0,824.20349,881.57654,1592.86499,1700.28687,-0.03284,0.00598,0.99881,-2.205,0.42,0.753,6534,66541,100804
0.22,22,19869,1,0,0,0,824.20349,881.57654,1592.48352,1700.36316,-0.03235,0.00403,1.00003,-2.258,0.455,0.56,6535,66545,100805
0.23,23,19870,1,0,0,0,824.43237,881.57654,1593.17017,1700.28687,-0.0282,0.00024,1.00015,-1.943,0.42,0.403,6536,66545,100810
0.24,24,19871,1,0,0,0,824.43237,881.57654,1592.7124,1700.28687,-0.0282,0.00024,1.00015,-1.628,0.368,0.403,6536,66545,100810
0.25,25,19872,1,0,0,0,824.43237,881.57654,1592.94128,1700.28687,-0.02795,0.00061,0.99979,-0.928,0.193,0.315,6536,66545,100810
0.26,26,19873,1,0,0,0,824.43237,881.57654,1593.32275,1700.36316,-0.02759,0.00146,0.99783,-0.63,0.035,0.088,6541,66544,100811
0.27,27,19874,1,0,0,0,824.43237,881.57654,1592.86499,1700.43945,-0.02795,0.00574,0.9982,-0.35,0.035,-0.018,6541,66544,100811
0.28,28,19875,1,0,0,0,824.43237,881.57654,1592.94128,1700.21057,-0.02795,0.01001,0.996,-0.123,0.0,-0.228,6540,66546,100809
0.29,29,19876,1,0,0,0,824.43237,881.57654,1593.17017,1700.51575,-0.02734,0.01111,0.996,-0.35,0.105,-0.543,6540,66546,100809
0.3,30,19877,1,0,0,0,824.43237,881.57654,1592.7887,1700.36316,-0.02844,0.00903,0.99771,-0.543,0.245,-0.508,6543,66542,100811
0.31,31,19878,1,0,0,0,824.43237,881.57654,1592.7887,1700.43945,-0.02673,0.00977,0.99551,-0.49,0.263,-0.805,6543,66542,100811
0.32,32,19879,1,0,0,0,824.43237,881.57654,1593.93311,1700.82092,-0.02466,0.01147,0.991,-0.403,0.298,-0.893,6546,66542,100814
0.33,33,19880,1,0,0,0,824.1272,881.57654,1592.94128,1700.59204,-0.02283,0.01782,0.98086,-0.595,0.473,-0.858,6546,66542,100814
