Time(s),Seq,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,21302,0,843.58215,906.60095,1630.40161,1748.73352,-0.05115,-0.00574,0.99905,-5.268,0.875,0.56,7099,57486,81612
0.01,21303,0,843.58215,906.60095,1630.85938,1748.65723,-0.04968,-0.01404,1.00247,-5.338,0.788,0.753,7102,57488,81617
0.02,21304,0,843.58215,906.60095,1630.40161,1748.73352,-0.05103,-0.01465,1.00137,-4.935,0.805,0.648,7102,57488,81617
0.03,21305,0,843.58215,906.52466,1630.47791,1748.73352,-0.05335,-0.01648,0.99759,-4.27,0.928,0.648,7107,57493,81630
0.04,21306,0,843.58215,906.52466,1630.47791,1748.88611,-0.05567,-0.01685,0.99808,-3.763,0.945,0.455,7107,57493,81630
0.05,21307,0,843.58215,906.52466,1630.47791,1748.73352,-0.05908,-0.01575,0.99625,-3.185,1.033,0.49,7107,57500,81638
0.06,21308,0,843.58215,906.52466,1630.5542,1748.73352,-0.06189,-0.01404,0.99722,-2.608,0.98,0.508,7107,57500,81638
0.07,21309,0,843.58215,906.52466,1630.93567,1748.80981,-0.06824,-0.00818,0.99625,-1.505,0.735,0.28,7111,57497,81639
0.08,21310,0,843.50586,906.52466,1630.5542,1748.88611,-0.06836,-0.00684,0.99356,-1.225,0.665,0.228,7113,57493,81637
0.09,21311,0,843.50586,906.52466,1630.40161,1748.80981,-0.06848,-0.00696,0.99283,-1.488,0.613,0.123,7113,57493,81637
0.1,21312,0,843.50586,906.52466,1630.78308,1748.80981,-0.06836,-0.00806,0.99551,-1.698,0.49,-0.07,7113,57493,81637
0.11,21313,0,843.50586,906.52466,1630.5542,1748.73352,-0.06275,-0.01257,0.99478,-1.995,0.333,-0.14,7117,57499,81641
0.12,21314,0,843.50586,906.52466,1630.5542,1748.80981,-0.05506,-0.0144,0.996,-1.313,-0.14,-0.263,7117,57499,81641
0.13,21315,0,843.50586,906.82983,1630.70679,1748.88611,-0.0481,-0.01233,0.99905,-0.665,-0.175,-0.175,7116,57503,81646
0.14,21316,0,843.50586,906.82983,1630.24902,1748.80981,-0.04529,-0.00818,0.99734,-0.175,-0.035,-0.333,7116,57503,81646
0.15,21317,0,843.50586,906.82983,1630.63049,1748.88611,-0.04297,-0.00562,0.99283,-0.193,0.07,-0.175,7121,57500,81649
0.16,21318,0,843.50586,906.82983,1630.85938,1748.73352,-0.04578,-0.00256,0.99454,-0.508,0.298,-0.035,7121,57500,81649
0.17,21319,0,843.50586,906.82983,1630.47791,1748.80981,-0.0492,0.0,0.98917,-1.208,0.858,0.35,7123,57504,81646
0.18,21320,0,843.42957,906.82983,1630.47791,1748.65723,-0.05164,0.00464,0.99063,-1.365,0.84,0.525,7125,57501,81650
0.19,21321,0,843.42957,906.82983,1630.5542,1748.88611,-0.04993,0.00732,0.99234,-1.453,0.735,0.788,7125,57501,81650
0.2,21322,0,843.42957,906.82983,1630.40161,1748.80981,-0.05005,0.01099,0.99442,-1.995,0.91,0.945,7125,57501,81650
0.21,21323,0,843.42957,906.82983,1630.5542,1748.80981,-0.05152,0.01209,0.99588,-2.713,1.033,1.12,7128,57501,81649
0.22,21324,0,843.42957,906.82983,1630.93567,1748.88611,-0.05493,0.00403,0.99185,-4.743,1.383,1.313,7128,57501,81649
0.23,21325,0,843.42957,906.60095,1630.5542,1748.58093,-0.05506,-0.00281,0.98795,-5.373,1.61,1.26,7132,57502,81656
0.24,21326,0,843.42957,906.60095,1630.32532,1748.80981,-0.0575,-0.00684,0.9899,-5.513,1.435,1.365,7132,57502,81656
0.25,21327,0,843.42957,906.60095,1630.70679,1748.88611,-0.05506,-0.00952,0.99454,-5.688,1.418,1.225,7134,57503,81663
0.26,21328,0,843.42957,906.60095,1630.40161,1748.58093,-0.05432,-0.01306,0.99966,-5.705,1.645,0.893,7134,57503,81663
0.27,21329,0,843.42957,906.60095,1630.40161,1748.65723,-0.05579,-0.02026,1.00223,-6.405,1.435,0.578,7140,57508,81672
0.28,21330,0,843.65845,906.60095,1631.24084,1748.88611,-0.0553,-0.02722,0.9993,-6.51,1.33,0.595,7140,57508,81672
0.29,21331,0,843.65845,906.60095,1630.40161,1748.9624,-0.05823,-0.02722,0.99625,-5.985,1.225,0.578,7144,57511,81677
0.3,21332,0,843.65845,906.60095,1630.47791,1748.88611,-0.05774,-0.02515,0.99307,-4.883,1.313,0.385,7144,57511,81677
0.31,21333,0,843.65845,906.60095,1630.70679,1748.88611,-0.05689,-0.01782,0.99039,-3.92,1.383,0.123,7144,57517,81688
0.32,21334,0,843.65845,906.60095,1630.40161,1748.88611,-0.0625,-0.00964,0.996,-3.255,1.54,-0.105,7144,57517,81688
0.33,21335,0,843.65845,906.52466,1630.47791,1748.80981,-0.07385,-0.00745,0.99832,-3.833,1.978,-0.665,7147,57513,81685
0.34,21336,0,843.65845,906.52466,1630.63049,1748.88611,-0.07422,-0.01575,0.99637,-4.743,1.523,-0.858,7147,57513,81685
0.35,21337,0,843.65845,906.52466,1630.5542,1748.88611,-0.07202,-0.02271,0.996,-5.233,1.138,-0.753,7149,57514,81682
0.36,21338,0,843.65845,906.52466,1630.47791,1748.65723,-0.06824,-0.0293,0.99649,-5.163,0.753,-0.788,7149,57514,81682
0.37,21339,0,843.65845,906.52466,1630.78308,1748.9624,-0.0625,-0.03467,0.99637,-4.428,0.613,-1.138,7150,57511,81682
0.38,21340,0,843.50586,906.52466,1630.47791,1748.9624,-0.06384,-0.03211,0.99869,-2.748,0.893,-1.593,7150,57511,81682
0.39,21341,0,843.50586,906.52466,1630.5542,1748.65723,-0.06446,-0.03052,0.99722,-2.31,1.015,-2.45,7147,57508,81674
0.4,21342,0,843.50586,906.52466,1630.85938,1749.26758,-0.0647,-0.02783,0.99979,-1.995,0.805,-2.993,7147,57508,81674
0.41,21343,0,843.50586,906.52466,1630.5542,1749.26758,-0.06384,-0.02551,1.00089,-1.593,0.665,-3.133,7144,57508,81667
0.42,21344,0,843.50586,906.52466,1630.5542,1749.26758,-0.06507,-0.02075,1.0015,-1.085,0.455,-3.325,7144,57508,81667
0.43,21345,0,843.50586,906.98242,1630.78308,1749.11499,-0.06568,-0.01477,0.9971,-0.245,0.385,-3.798,7142,57506,81654
0.44,21346,0,843.50586,906.98242,1630.40161,1748.88611,-0.06519,-0.00928,0.99576,0.053,0.228,-3.675,7142,57506,81654
0.45,21347,0,843.50586,906.98242,1630.70679,1749.26758,-0.05982,-0.00684,0.99124,0.28,0.053,-3.605,7141,57501,81652
0.46,21348,0,843.50586,906.98242,1631.08826,1749.11499,-0.05676,-0.00366,0.98917,0.07,-0.105,-3.168,7141,57501,81652
0.47,21349,0,843.50586,906.98242,1630.63049,1748.73352,-0.05274,-0.0022,0.99161,-0.525,-0.035,-2.713,7136,57502,81646
0.48,21350,0,843.50586,906.98242,1630.63049,1748.73352,-0.05103,-0.00476,0.99478,-1.575,0.298,-2.24,7136,57502,81646
0.49,21351,0,843.50586,906.98242,1630.85938,1748.88611,-0.0492,-0.00537,0.99661,-1.663,0.403,-1.89,7135,57500,81643
0.5,21352,0,843.50586,906.98242,1630.5542,1748.73352,-0.05066,-0.00354,0.99979,-1.383,0.49,-1.54,7135,57500,81643
0.51,21353,0,843.50586,906.98242,1630.5542,1748.73352,-0.05017,-0.00269,0.99881,-1.54,0.508,-1.383,7134,57496,81641
0.52,21354,0,843.50586,906.98242,1630.85938,1748.73352,-0.04907,-0.00378,0.99429,-1.68,0.508,-1.033,7134,57496,81641
0.53,21355,0,843.50586,906.60095,1630.63049,1748.73352,-0.05493,-0.00391,0.99173,-1.873,0.718,-0.228,7133,57496,81639
0.54,21356,0,843.50586,906.60095,1630.40161,1748.80981,-0.05664,-0.00562,0.99173,-2.275,0.84,0.035,7133,57496,81639
0.55,21357,0,843.50586,906.60095,1630.78308,1748.88611,-0.05982,-0.00549,0.99368,-2.433,0.788,0.56,7133,57498,81642
0.56,21358,0,843.50586,906.60095,1630.47791,1748.73352,-0.06177,-0.00818,0.99478,-2.853,0.858,0.665,7133,57498,81642
0.57,21359,0,843.50586,906.60095,1630.47791,1748.65723,-0.06299,-0.00818,0.99551,-2.993,0.753,0.98,7130,57496,81645
0.58,21360,0,843.58215,906.60095,1631.01196,1749.19128,-0.06104,-0.01147,0.99564,-3.028,0.595,1.435,7130,57496,81645
0.59,21361,0,843.58215,906.60095,1630.40161,1748.80981,-0.0586,-0.01233,0.99661,-2.8,0.508,1.698,7131,57500,81655
0.6,21362,0,843.58215,906.60095,1630.5542,1749.0387,-0.05689,-0.01355,0.99612,-2.573,0.385,1.908,7131,57500,81655
0.61,21363,0,843.58215,906.60095,1630.93567,1748.9624,-0.05493,-0.01147,0.99612,-2.66,0.473,2.013,7132,57500,81653
0.62,21364,0,843.58215,906.60095,1630.5542,1748.58093,-0.05518,-0.01196,0.99661,-2.818,0.648,2.03,7132,57500,81653
0.63,21365,0,843.58215,906.60095,1630.70679,1749.0387,-0.05518,-0.01538,0.99576,-3.238,0.893,1.768,7133,57500,81656
0.64,21366,0,843.58215,906.60095,1630.78308,1748.80981,-0.05908,-0.01709,0.99722,-3.448,0.998,1.47,7133,57500,81656
0.65,21367,0,843.58215,906.60095,1630.70679,1749.0387,-0.05786,-0.02063,0.99454,-3.518,1.138,1.208,7134,57505,81663
0.66,21368,0,843.58215,906.60095,1630.63049,1748.73352,-0.06238,-0.02271,0.9982,-3.483,1.103,1.278,7134,57505,81663
0.67,21369,0,843.58215,906.60095,1631.08826,1748.80981,-0.06494,-0.02417,0.99991,-3.255,1.05,1.068,7135,57505,81670
0.68,21370,0,843.58215,906.60095,1630.63049,1749.0387,-0.06873,-0.02576,1.0004,-2.363,0.823,0.595,7135,57505,81670
0.69,21371,0,843.58215,906.60095,1630.5542,1748.88611,-0.06934,-0.02576,0.99661,-2.118,0.735,0.21,7135,57511,81678
0.7,21372,0,843.58215,906.60095,1631.01196,1749.19128,-0.06775,-0.02576,0.99234,-1.575,0.438,0.018,7135,57511,81678
