Time(s),Seq,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,9902,0,858.30688,933.07495,1658.09631,1800.15564,-0.04077,-0.16053,0.9938,-2.748,0.665,-1.12,6730,59585,86639
0.01,9903,0,858.30688,933.07495,1658.63037,1799.92676,-0.04004,-0.16138,0.9938,-2.783,0.683,-1.05,6730,59585,86639
0.02,9904,0,858.1543,933.07495,1658.09631,1800.15564,-0.03931,-0.16285,0.99014,-2.643,0.683,-1.068,6726,59585,86637
0.03,9905,0,858.1543,933.07495,1658.02002,1800.15564,-0.03931,-0.16309,0.99075,-2.608,0.648,-1.015,6726,59585,86637
0.04,9906,0,858.1543,933.07495,1658.40149,1800.15564,-0.04089,-0.16395,0.99344,-2.555,0.788,-1.12,6727,59582,86634
0.05,9907,0,858.1543,933.07495,1658.2489,1800.15564,-0.04382,-0.16553,0.99271,-2.555,0.84,-1.418,6727,59582,86634
0.06,9908,0,858.1543,933.07495,1658.2489,1800.15564,-0.04736,-0.16626,0.99442,-2.468,0.718,-1.383,6724,59580,86627
0.07,9909,0,858.1543,933.07495,1658.40149,1800.15564,-0.04553,-0.1626,0.98672,-2.03,0.613,-1.348,6724,59580,86627
0.08,9910,0,858.1543,933.07495,1658.17261,1800.30823,-0.04395,-0.15992,0.98611,-1.908,0.543,-1.505,6723,59584,86625
0.09,9911,0,858.1543,933.07495,1658.17261,1800.15564,-0.0437,-0.15564,0.98941,-1.995,0.595,-1.418,6723,59584,86625
0.1,9912,0,858.1543,933.07495,1658.63037,1800.07935,-0.04028,-0.15064,0.98856,-2.31,0.735,-1.383,6721,59576,86619
0.11,9913,0,858.1543,933.07495,1658.09631,1800.15564,-0.03882,-0.15064,0.991,-2.415,0.77,-1.208,6721,59576,86619
0.12,9914,0,858.078,933.07495,1658.3252,1800.30823,-0.03748,-0.15308,0.99625,-3.343,0.875,-1.19,6719,59578,86623
0.13,9915,0,858.078,933.07495,1658.02002,1800.15564,-0.03601,-0.15381,0.99112,-3.798,0.805,-1.103,6719,59578,86623
0.14,9916,0,858.078,933.07495,1657.94373,1800.23193,-0.03174,-0.14905,0.98648,-4.095,0.945,-0.963,6719,59581,86621
0.15,9917,0,858.078,933.07495,1658.02002,1800.23193,-0.02881,-0.15589,0.98868,-4.2,0.98,-0.7,6719,59581,86621
